Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538165682653,1834641217898497,2.078167,3.7014358,9.246407
android.sensor.accelerometer,1538165682653,1834641237875634,2.2170308,3.7253778,8.772355
android.sensor.accelerometer,1538165682653,1834641257931105,2.0733786,3.6008794,8.796297
android.sensor.accelerometer,1538165682671,1834641277379440,1.8914193,3.5482068,8.992621
android.sensor.accelerometer,1538165682691,1834641297733974,1.8626889,3.4284968,9.275137
android.sensor.accelerometer,1538165682711,1834641317311528,1.9297266,3.5338416,9.165004
android.sensor.accelerometer,1538165682730,1834641337225957,1.934515,3.6583402,8.954314
android.sensor.accelerometer,1538165682749,1834641357100698,2.0925324,3.691859,8.844181
android.sensor.accelerometer,1538165682770,1834641377013252,2.006341,3.5817258,8.872911
android.sensor.accelerometer,1538165682789,1834641396880025,1.9632454,3.5529952,9.131485
android.sensor.accelerometer,1538165682809,1834641417034610,1.8483237,3.5003228,8.949526
android.sensor.accelerometer,1538165682829,1834641436724769,1.958457,3.5673606,8.628703
android.sensor.accelerometer,1538165682849,1834641456790135,1.8818425,3.6296098,8.389283
android.sensor.accelerometer,1538165682871,1834641476509460,1.733402,3.5482068,8.801085
android.sensor.accelerometer,1538165682891,1834641496577639,1.685518,3.514688,9.011775
android.sensor.accelerometer,1538165682911,1834641516285558,1.3838485,3.5913026,8.7532015
android.sensor.accelerometer,1538165682930,1834641536345299,1.0965444,3.6774938,8.743625
android.sensor.accelerometer,1538165682950,1834641556047853,0.6655881,3.8115692,8.75799
android.sensor.accelerometer,1538165682970,1834641576140564,0.06703765,3.892972,8.944737
android.sensor.accelerometer,1538165682990,1834641595828118,-0.06703765,3.8402996,9.667787
android.sensor.accelerometer,1538165683009,1834641615936245,-0.8858546,3.53863,10.0987425
android.sensor.accelerometer,1538165683029,1834641635609164,-1.4700398,3.7493198,10.342952
android.sensor.accelerometer,1538165683051,1834641655853541,-2.5905263,4.4484267,10.802638
android.sensor.accelerometer,1538165683069,1834641675571147,-2.873042,4.88896,11.15698
android.sensor.accelerometer,1538165683091,1834641695264586,-3.1747115,4.534618,13.321339
android.sensor.accelerometer,1538165683109,1834641715398286,-3.7062242,4.4005427,15.030798
