Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538165731133,1834689699537492,-0.0692443,0.02130594,-0.03089361
android.sensor.gyroscope,1538165731133,1834689719183692,-0.01384886,-0.0063917814,-0.0074570784
android.sensor.gyroscope,1538165731133,1834689739347757,0.028763017,-0.04154658,-0.034089502
android.sensor.gyroscope,1538165731154,1834689759029426,0.04261188,-0.028763017,-0.04261188
android.sensor.gyroscope,1538165731171,1834689779040000,0.04793836,-0.01065297,-0.023436533
android.sensor.gyroscope,1538165731191,1834689798835471,0.053264845,-0.01384886,-0.011718267
android.sensor.gyroscope,1538165731212,1834689818904327,0.02130594,-0.01065297,-0.011718267
android.sensor.gyroscope,1538165731232,1834689838545423,0.022371236,-0.0085223755,-0.0085223755
android.sensor.gyroscope,1538165731251,1834689858448654,0.06285252,-0.02450183,-0.031958908
android.sensor.gyroscope,1538165731271,1834689878319854,0.08096257,-0.03728539,-0.044742472
android.sensor.gyroscope,1538165731291,1834689898386314,0.11079088,-0.07776668,-0.05219955
android.sensor.gyroscope,1538165731311,1834689918115848,0.11505207,-0.05219955,-0.02130594
android.sensor.gyroscope,1538165731333,1834689938231110,0.031958908,0.012783563,0.04261188
android.sensor.gyroscope,1538165731352,1834689958011476,0.06178722,-0.0042611877,0.026632423
android.sensor.gyroscope,1538165731372,1834689978049864,0.10866029,0.0010652969,0.017044751
android.sensor.gyroscope,1538165731392,1834689998015960,0.0692443,0.06285252,0.020240642
android.sensor.gyroscope,1538165731411,1834690017990493,0.06604841,0.009587673,0.04261188
android.sensor.gyroscope,1538165731432,1834690037698932,0.09055024,-0.07670138,0.07244019
android.sensor.gyroscope,1538165731452,1834690057777893,0.057526033,-0.08096257,0.04900366
android.sensor.gyroscope,1538165731470,1834690077301280,-0.029828314,0.057526033,0.02769772
android.sensor.gyroscope,1538165731491,1834690097357324,0.0042611877,0.01065297,0.057526033
android.sensor.gyroscope,1538165731512,1834690117246857,0.026632423,-0.06178722,0.09055024
android.sensor.gyroscope,1538165731531,1834690137299880,0.026632423,-0.08735435,0.17790459
android.sensor.gyroscope,1538165731551,1834690157077486,0.10120321,-0.045807768,0.26419365
android.sensor.gyroscope,1538165731573,1834690177148946,0.19388404,0.1022685,0.32278496
android.sensor.gyroscope,1538165731593,1834690196879104,0.15553336,0.44103295,0.38670278
android.sensor.gyroscope,1538165731613,1834690216748429,0.25034478,0.40587813,0.57099915
android.sensor.gyroscope,1538165731632,1834690236633900,0.81921333,0.12783563,0.7552955
android.sensor.gyroscope,1538165731652,1834690256736194,1.4370855,0.25780186,0.8948494
android.sensor.gyroscope,1538165731671,1834690276411612,1.8898368,0.8362581,1.043991
android.sensor.gyroscope,1538165731696,1834690298162344,2.5503209,1.2634422,1.4285632
android.sensor.gyroscope,1538165731714,1834690317915210,3.3887095,1.2719646,1.9132733
android.sensor.gyroscope,1538165731733,1834690337024327,4.0673037,1.416845,2.2648213
android.sensor.gyroscope,1538165731754,1834690357677037,4.3655868,1.5872924,2.4874682
android.sensor.gyroscope,1538165731774,1834690377747925,4.2409472,1.9686687,2.6035857
android.sensor.gyroscope,1538165731793,1834690397470270,4.0449324,2.5247538,2.7889473
android.sensor.gyroscope,1538165731813,1834690417987876,3.8340037,2.8038616,3.0595329
android.sensor.gyroscope,1538165731833,1834690436842410,3.6465113,2.766576,3.0595329
android.sensor.gyroscope,1538165731853,1834690457319547,3.3450325,2.8059921,2.9263706
android.sensor.gyroscope,1538165731873,1834690477026997,3.1447566,2.780425,2.8177104
android.sensor.gyroscope,1538165731893,1834690497101270,3.0659246,2.63661,2.7069194
android.sensor.gyroscope,1538165731910,1834690516713615,2.67283,2.8837588,2.557778
android.sensor.gyroscope,1538165731933,1834690536784607,2.191316,2.941285,2.2861273
android.sensor.gyroscope,1538165731953,1834690556585234,1.8110048,2.8017309,2.1540303
android.sensor.gyroscope,1538165731973,1834690576653726,1.5574641,2.6504588,2.127398
android.sensor.gyroscope,1538165731993,1834690596358623,1.2581156,2.5172966,2.0368478
android.sensor.gyroscope,1538165732013,1834690616357636,1.1782184,2.453379,1.9761258
android.sensor.gyroscope,1538165732033,1834690636154513,1.1633042,2.7101154,2.0411088
android.sensor.gyroscope,1538165732053,1834690656212171,1.1579778,2.8315592,2.0762637
android.sensor.gyroscope,1538165732074,1834690675944360,1.2250915,2.6856136,2.1178102
android.sensor.gyroscope,1538165732094,1834690695979362,1.2581156,2.5599086,2.1050267
android.sensor.gyroscope,1538165732113,1834690715693948,1.0759499,2.3521757,1.8397678
android.sensor.gyroscope,1538165732134,1834690735809367,0.818148,2.2413847,1.7715888
