Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538165983813,1834942404529230,4.9464207,2.2649148,6.5218053
android.sensor.accelerometer,1538165983826,1834942424016315,4.88896,2.4181437,8.145074
android.sensor.accelerometer,1538165983838,1834942444222828,4.4963107,2.4037786,10.070012
android.sensor.accelerometer,1538165983856,1834942463852986,4.6399627,2.3511062,10.079589
android.sensor.accelerometer,1538165983876,1834942483986477,4.7548847,2.4612393,8.2169
android.sensor.accelerometer,1538165983896,1834942503690073,4.975151,2.3654714,6.8186865
android.sensor.accelerometer,1538165983915,1834942523717471,5.046977,2.1787236,6.83784
android.sensor.accelerometer,1538165983936,1834942543482890,4.6255975,2.135628,7.417237
android.sensor.accelerometer,1538165983956,1834942563651589,4.0078936,2.0685902,8.403648
android.sensor.accelerometer,1538165983976,1834942583358779,3.7062242,1.9632454,8.939949
android.sensor.accelerometer,1538165983996,1834942603315135,3.4955344,2.0973208,8.221688
android.sensor.accelerometer,1538165984016,1834942623018262,3.9121256,2.111686,7.359776
android.sensor.accelerometer,1538165984036,1834942643147639,4.256891,2.1212628,7.714118
android.sensor.accelerometer,1538165984056,1834942662669568,4.3861775,1.9967642,7.9631147
android.sensor.accelerometer,1538165984078,1834942682804778,4.3622355,1.8722657,7.867347
android.sensor.accelerometer,1538165984097,1834942702653791,4.879383,2.0446482,7.704541
android.sensor.accelerometer,1538165984117,1834942722721397,5.803545,2.2936451,7.608773
android.sensor.accelerometer,1538165984137,1834942742442805,6.775591,2.9017725,8.063671
android.sensor.accelerometer,1538165984157,1834942762535411,8.872911,3.845088,9.782708
android.sensor.accelerometer,1538165984177,1834942782339997,13.091495,4.8602295,11.176133
android.sensor.accelerometer,1538165984197,1834942802293072,16.266207,5.5880666,10.357317
android.sensor.accelerometer,1538165984216,1834942821801928,17.03714,5.0900726,10.19451
android.sensor.accelerometer,1538165984237,1834942841881409,16.2279,4.2281604,12.995727
android.sensor.accelerometer,1538165984257,1834942861573546,15.610195,3.2992098,15.634137
android.sensor.accelerometer,1538165984278,1834942881659225,14.446613,2.6048915,15.892711
android.sensor.accelerometer,1538165984297,1834942901431102,13.259089,2.5139117,13.584701
android.sensor.accelerometer,1538165984316,1834942921522198,14.781801,3.371036,10.462662
android.sensor.accelerometer,1538165984335,1834942941155533,13.417107,2.825158,8.2169
android.sensor.accelerometer,1538165984357,1834942962148973,12.191275,2.906561,7.4124484
android.sensor.accelerometer,1538165984377,1834942982173246,9.102755,2.4899697,9.3421755
android.sensor.accelerometer,1538165984397,1834943002987310,6.2871737,1.5610195,12.631808
android.sensor.accelerometer,1538165984416,1834943020858145,4.223372,0.7565677,13.330915
android.sensor.accelerometer,1538165984439,1834943042208304,3.8355112,0.31603462,10.888829
android.sensor.accelerometer,1538165984457,1834943062164035,3.1794999,0.62249243,9.174581
android.sensor.accelerometer,1538165984477,1834943082188047,1.7621324,0.8619126,9.533711
android.sensor.accelerometer,1538165984499,1834943102184716,0.5267244,0.7661445,10.304645
android.sensor.accelerometer,1538165984519,1834943122185239,-1.043872,0.7757214,9.524135
android.sensor.accelerometer,1538165984540,1834943142849147,-1.8483237,1.13964,7.1826053
android.sensor.accelerometer,1538165984557,1834943162185399,-1.13964,1.5945383,4.975151
android.sensor.accelerometer,1538165984579,1834943181965089,-1.5131354,2.2361844,4.525041
android.sensor.accelerometer,1538165984599,1834943202017174,-2.6767175,2.3750482,4.295198
android.sensor.accelerometer,1538165984613,1834943219829936,-3.3662477,2.5474305,4.1611223
android.sensor.accelerometer,1538165984637,1834943241817959,-4.247314,2.882619,4.189853
