Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538165790255,1834748841336874,0.2777274,4.271256,8.848969
android.sensor.accelerometer,1538165790255,1834748861502345,0.21547815,4.3382936,8.825027
android.sensor.accelerometer,1538165790274,1834748880756930,0.33518824,4.2521024,8.920795
android.sensor.accelerometer,1538165790293,1834748900736880,0.23463176,4.189853,8.810662
android.sensor.accelerometer,1538165790313,1834748920668601,0.25857377,4.132392,9.006987
android.sensor.accelerometer,1538165790333,1834748940569124,0.29209262,4.223372,9.011775
android.sensor.accelerometer,1538165790353,1834748960446209,0.5267244,4.2904096,8.949526
android.sensor.accelerometer,1538165790373,1834748980302878,0.5363012,4.309563,8.7532015
android.sensor.accelerometer,1538165790392,1834749000137151,0.36870706,4.31914,8.858546
android.sensor.accelerometer,1538165790413,1834749019984236,0.36391866,4.1515455,9.165004
android.sensor.accelerometer,1538165790432,1834749040112988,0.4309563,4.156334,8.963891
android.sensor.accelerometer,1538165790452,1834749059979552,0.4405331,4.2185836,8.810662
android.sensor.accelerometer,1538165790473,1834749079969398,0.7374141,4.2664676,8.66701
android.sensor.accelerometer,1538165790493,1834749099824088,0.34476504,4.261679,8.676587
android.sensor.accelerometer,1538165790513,1834749119830965,0.36870706,4.1371803,8.916007
android.sensor.accelerometer,1538165790534,1834749139596800,0.35434186,4.0653543,8.796297
android.sensor.accelerometer,1538165790553,1834749159473260,1.1300632,4.309563,8.7053175
android.sensor.accelerometer,1538165790573,1834749179376335,2.2840683,4.5441947,8.24563
android.sensor.accelerometer,1538165790593,1834749199235348,3.3518825,4.984728,7.714118
android.sensor.accelerometer,1538165790616,1834749219026912,4.525041,5.329493,7.61835
android.sensor.accelerometer,1538165790632,1834749239081497,5.9280434,5.4204726,7.2831616
android.sensor.accelerometer,1538165790652,1834749258981343,6.7612257,5.329493,7.656657
android.sensor.accelerometer,1538165790675,1834749278667960,7.541735,5.233725,9.255983
android.sensor.accelerometer,1538165790693,1834749298446555,9.006987,5.291186,11.123461
android.sensor.accelerometer,1538165790712,1834749318667182,10.189722,4.9224787,11.348516
android.sensor.accelerometer,1538165790733,1834749338468278,10.472239,4.4101195,11.36767
android.sensor.accelerometer,1538165790751,1834749358268436,10.491392,3.821146,11.60709
android.sensor.accelerometer,1538165790771,1834749378225418,10.156203,3.2752678,12.0571995
android.sensor.accelerometer,1538165790790,1834749398092451,10.13705,2.873042,10.884041
android.sensor.accelerometer,1538165790813,1834749419544849,10.0508585,2.327164,11.262324
android.sensor.accelerometer,1538165790833,1834749439623444,9.141062,1.6567876,12.133814
android.sensor.accelerometer,1538165790853,1834749459527561,10.390836,2.1021092,13.158532
android.sensor.accelerometer,1538165790873,1834749478648761,9.437943,2.1978772,13.828909
android.sensor.accelerometer,1538165790892,1834749498573346,9.165004,2.2649148,11.832145
