Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166109852,1835068441164442,7.4603324,6.205771,1.436521
android.sensor.accelerometer,1538166109863,1835068461207100,7.2544312,6.2249246,1.5849615
android.sensor.accelerometer,1538166109874,1835068480911894,7.5944076,6.2249246,1.5227122
android.sensor.accelerometer,1538166109894,1835068500980958,7.7572136,6.2249246,1.6519991
android.sensor.accelerometer,1538166109913,1835068520684085,7.723695,6.1866174,1.4221559
android.sensor.accelerometer,1538166109933,1835068540765910,7.4986396,6.181829,1.4077905
android.sensor.accelerometer,1538166109953,1835068560464870,7.589619,6.1004257,1.4556746
android.sensor.accelerometer,1538166109973,1835068580695758,7.517793,6.133945,1.3120226
android.sensor.accelerometer,1538166109993,1835068600242791,7.4842744,6.033388,1.460463
android.sensor.accelerometer,1538166110013,1835068620406387,7.264008,6.009446,1.70946
android.sensor.accelerometer,1538166110033,1835068640024826,7.345411,6.0716953,1.4556746
android.sensor.accelerometer,1538166110054,1835068660094463,7.374141,6.0238113,1.2641385
android.sensor.accelerometer,1538166110074,1835068680085038,7.714118,6.229713,1.0103531
android.sensor.accelerometer,1538166110094,1835068700141915,7.690176,6.435614,0.5410896
android.sensor.accelerometer,1538166110114,1835068719863636,7.326257,6.129156,0.521936
android.sensor.accelerometer,1538166110134,1835068739915201,6.919243,5.995081,0.5315128
android.sensor.accelerometer,1538166110154,1835068759728640,6.5457473,5.8945246,0.38307226
android.sensor.accelerometer,1538166110175,1835068779727757,6.315904,5.5162406,0.12449849
android.sensor.accelerometer,1538166110193,1835068799576352,5.626374,5.243302,0.062249243
android.sensor.accelerometer,1538166110214,1835068819490834,4.76925,4.7070007,0.46447513
android.sensor.accelerometer,1538166110233,1835068839311252,4.3287168,4.261679,0.8283938
android.sensor.accelerometer,1538166110253,1835068859194171,3.787627,4.1659107,-0.15322891
android.sensor.accelerometer,1538166110273,1835068879140267,3.7493198,3.7541082,-2.2649148
android.sensor.accelerometer,1538166110296,1835068899227196,4.4819455,3.9983168,-3.4811692
android.sensor.accelerometer,1538166110315,1835068918959333,4.9895163,3.7924154,-3.5529952
android.sensor.accelerometer,1538166110334,1835068938660533,5.00867,3.442862,-2.6527755
android.sensor.accelerometer,1538166110352,1835068958498191,4.7644615,3.2513258,-1.5753847
android.sensor.accelerometer,1538166110373,1835068978325589,4.525041,2.9161377,-1.2449849
android.sensor.accelerometer,1538166110395,1835069000304133,4.9703627,2.7389667,-1.5131354
android.sensor.accelerometer,1538166110414,1835069020277624,5.434838,2.5234885,-1.0390835
android.sensor.accelerometer,1538166110435,1835069039938564,6.751649,2.255338,0.08619126
android.sensor.accelerometer,1538166110452,1835069058197264,7.3645644,2.078167,0.2825158
android.sensor.accelerometer,1538166110474,1835069078613307,7.120356,2.0207062,0.1340753
android.sensor.accelerometer,1538166110494,1835069099812476,7.493851,1.6950948,0.6655881
android.sensor.accelerometer,1538166110518,1835069119534353,8.6574335,1.2737153,1.283292
android.sensor.accelerometer,1538166110537,1835069139592324,9.23683,1.0055647,1.5849615
android.sensor.accelerometer,1538166110558,1835069159310711,9.782708,1.1348516,2.6192567
android.sensor.accelerometer,1538166110578,1835069179371859,11.228806,1.4221559,3.145981
android.sensor.accelerometer,1538166110598,1835069199087225,12.86644,1.9057846,1.6280571
android.sensor.accelerometer,1538166110619,1835069219158373,13.929465,1.8722657,1.3263878
android.sensor.accelerometer,1538166110632,1835069237036083,14.00608,1.0773908,2.4995465
android.sensor.accelerometer,1538166110655,1835069258937648,12.483368,0.90979666,4.3861775
android.sensor.accelerometer,1538166110674,1835069278645046,12.028469,0.8714894,3.6870706
android.sensor.accelerometer,1538166110693,1835069299101142,13.64695,0.46926352,2.0446482
android.sensor.accelerometer,1538166110713,1835069318441977,14.571112,0.009576807,2.1404164
android.sensor.accelerometer,1538166110734,1835069338483489,14.647726,-0.37828386,2.3223755
android.sensor.accelerometer,1538166110755,1835069358210731,14.379576,-0.7517793,1.8148049
android.sensor.accelerometer,1538166110774,1835069378263389,14.499286,-1.0295067,1.4077905
android.sensor.accelerometer,1538166110792,1835069396572089,14.494497,-1.0630256,1.6328455
android.sensor.accelerometer,1538166110812,1835069418042039,14.96376,-1.1013328,1.733402
android.sensor.accelerometer,1538166110834,1835069437768031,15.667656,-1.1492168,1.4413095
android.sensor.accelerometer,1538166110854,1835069457827720,15.844827,-1.2401965,1.3551182
android.sensor.accelerometer,1538166110872,1835069477533972,16.40507,-1.6472107,1.3024458
android.sensor.accelerometer,1538166110894,1835069497774703,16.189592,-1.4077905,1.4748282
android.sensor.accelerometer,1538166110915,1835069517305591,16.500837,-1.2737153,0.17717093
android.sensor.accelerometer,1538166110932,1835069537384134,17.262194,-1.3215994,-0.5746084
android.sensor.accelerometer,1538166110951,1835069557105386,17.678785,-1.5897499,-1.2737153
android.sensor.accelerometer,1538166110973,1835069577147471,17.18558,-1.7621324,-1.2976574
android.sensor.accelerometer,1538166110994,1835069596862838,16.682798,-1.3072342,-0.21068975
android.sensor.accelerometer,1538166111014,1835069616924038,16.759413,-1.7860745,-1.067814
android.sensor.accelerometer,1538166111032,1835069634945654,15.466543,-1.7669208,-1.733402
android.sensor.accelerometer,1538166111052,1835069656707375,16.108189,-1.0390835,-2.542642
android.sensor.accelerometer,1538166111075,1835069676422429,16.534357,-0.9816227,-3.715801
android.sensor.accelerometer,1538166111094,1835069696468160,17.57344,-0.8858546,-3.2800562
android.sensor.accelerometer,1538166111113,1835069716179569,16.725893,-1.1779473,-3.7780502
android.sensor.accelerometer,1538166111133,1835069736255821,15.610195,-1.1540052,-3.9743748
android.sensor.accelerometer,1538166111153,1835069755989573,15.26543,-1.2880806,-3.821146
android.sensor.accelerometer,1538166111170,1835069776034783,14.60463,-1.2880806,-4.189853
android.sensor.accelerometer,1538166111191,1835069795754056,14.15452,-1.6041151,-5.1140146
android.sensor.accelerometer,1538166111211,1835069815476349,13.038822,-1.5993267,-5.425261
android.sensor.accelerometer,1538166111232,1835069835552862,11.851298,-1.4460979,-5.391742
android.sensor.accelerometer,1538166111249,1835069855779478,10.879252,-1.3263878,-5.449203
android.sensor.accelerometer,1538166111270,1835069873414741,9.935937,-1.3455414,-5.6407394
android.sensor.accelerometer,1538166111289,1835069895364691,8.987833,-1.3072342,-5.5258174
android.sensor.accelerometer,1538166111312,1835069915083703,7.398083,-0.89064306,-5.3103395
android.sensor.accelerometer,1538166111329,1835069935191830,6.694188,-0.56982,-5.932832
android.sensor.accelerometer,1538166111347,1835069953029644,5.837064,0.023942016,-6.1530986
android.sensor.accelerometer,1538166111371,1835069974928553,5.511452,0.6464345,-5.482722
android.sensor.accelerometer,1538166111391,1835069994642409,5.449203,1.0055647,-4.3382936
android.sensor.accelerometer,1538166111411,1835070014707307,4.9559975,1.4077905,-3.4955344
android.sensor.accelerometer,1538166111430,1835070034423194,3.7445314,1.7142484,-3.289633
android.sensor.accelerometer,1538166111449,1835070054479446,3.083732,2.1643584,-3.5194764
android.sensor.accelerometer,1538166111470,1835070074212052,2.695871,2.4372973,-3.1411927
android.sensor.accelerometer,1538166111490,1835070095099867,2.791639,2.6288335,-2.6240451
android.sensor.accelerometer,1538166111511,1835070114623202,2.4420857,3.1603463,-1.7717092
android.sensor.accelerometer,1538166111530,1835070134021642,2.2649148,3.4093432,-1.4413095
android.sensor.accelerometer,1538166111551,1835070153742321,1.6232687,3.5242648,-0.4405331
android.sensor.accelerometer,1538166111570,1835070173838208,0.91458505,3.916914,0.2633622
android.sensor.accelerometer,1538166111592,1835070193537741,0.78050977,4.19943,0.023942016
android.sensor.accelerometer,1538166111609,1835070213580452,1.0630256,4.4484267,-0.6847417
android.sensor.accelerometer,1538166111628,1835070231479880,1.1444284,4.5537715,0.047884032
android.sensor.accelerometer,1538166111651,1835070253368841,1.5658079,4.807557,1.2593501
android.sensor.accelerometer,1538166111665,1835070271267905,1.3982137,5.109226,1.3599066
android.sensor.accelerometer,1538166111691,1835070293157543,1.6376339,5.21936,0.63206923
android.sensor.accelerometer,1538166111711,1835070313368014,2.60968,5.080496,1.4508862
android.sensor.accelerometer,1538166111727,1835070332932338,2.480393,5.1523223,3.1124623
android.sensor.accelerometer,1538166111744,1835070350557653,1.5897499,5.171476,3.9839516
android.sensor.accelerometer,1538166111765,1835070370789842,1.6663644,5.1235914,3.7493198
android.sensor.accelerometer,1538166111784,1835070390496980,2.566584,5.1762643,3.4141316
android.sensor.accelerometer,1538166111804,1835070410595055,3.5098996,5.559336,4.5633483
android.sensor.accelerometer,1538166111824,1835070430241984,3.7062242,6.2488666,5.559336
android.sensor.accelerometer,1538166111844,1835070450349694,4.5441947,6.244078,5.1762643
android.sensor.accelerometer,1538166111863,1835070470170946,5.7748146,6.38773,5.2624555
android.sensor.accelerometer,1538166111883,1835070490229073,6.009446,6.766014,5.554548
android.sensor.accelerometer,1538166111903,1835070509600116,6.0860605,6.9383965,6.205771
android.sensor.accelerometer,1538166111923,1835070529662046,7.5225816,7.2544312,7.2113357
android.sensor.accelerometer,1538166111942,1835070549570277,7.6949644,7.393295,6.9527617
android.sensor.accelerometer,1538166111962,1835070569712466,7.7428484,7.153875,6.775591
android.sensor.accelerometer,1538166111982,1835070589367260,7.6710224,7.73806,6.967127
android.sensor.accelerometer,1538166112002,1835070609209033,8.346188,7.6231384,6.4787097
android.sensor.accelerometer,1538166112021,1835070628927785,8.772355,7.393295,5.6215854
android.sensor.accelerometer,1538166112043,1835070649180703,8.264784,7.5848308,5.497087
android.sensor.accelerometer,1538166112062,1835070668982320,8.355764,7.479486,5.889736
android.sensor.accelerometer,1538166112083,1835070689053989,8.451532,7.273585,6.019023
android.sensor.accelerometer,1538166112104,1835070708769615,8.37013,6.8282633,5.506664
