Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166086412,1835044992207001,-0.046873067,-0.03835069,-0.009587673
android.sensor.gyroscope,1538166086412,1835045012007524,-0.064983115,-0.088419646,0.03089361
android.sensor.gyroscope,1538166086423,1835045031987369,-0.05539544,-0.050068956,0.063917816
android.sensor.gyroscope,1538166086444,1835045051846486,-0.017044751,0.0,0.02450183
android.sensor.gyroscope,1538166086465,1835045071947165,-0.005326485,-0.03728539,0.01065297
android.sensor.gyroscope,1538166086485,1835045091614250,0.022371236,-0.16618632,0.04900366
android.sensor.gyroscope,1538166086505,1835045111674825,-0.04793836,-0.22477765,0.09587672
android.sensor.gyroscope,1538166086524,1835045131315348,-0.1736434,-0.12144385,0.10759499
android.sensor.gyroscope,1538166086543,1835045151435454,-0.18536167,-0.05539544,0.070309594
android.sensor.gyroscope,1538166086567,1835045171165196,-0.10866029,-0.03089361,0.058591332
android.sensor.gyroscope,1538166086585,1835045191237698,-0.0042611877,-0.03089361,0.063917816
android.sensor.gyroscope,1538166086604,1835045210924991,0.1043991,-0.09800732,0.07883197
android.sensor.gyroscope,1538166086624,1835045230999368,0.116117366,-0.11824796,0.088419646
android.sensor.gyroscope,1538166086645,1835045250741141,0.091615535,-0.088419646,0.088419646
android.sensor.gyroscope,1538166086665,1835045270773695,0.08096257,-0.058591332,0.05646074
android.sensor.gyroscope,1538166086686,1835045290503176,0.06285252,-0.057526033,0.009587673
android.sensor.gyroscope,1538166086705,1835045310638647,0.07137489,-0.1043991,0.018110048
android.sensor.gyroscope,1538166086725,1835045330290368,0.044742472,-0.113986775,0.035154797
android.sensor.gyroscope,1538166086745,1835045350357713,0.04261188,-0.23969181,0.045807768
android.sensor.gyroscope,1538166086765,1835045370064799,0.064983115,-0.31958908,0.04900366
android.sensor.gyroscope,1538166086784,1835045390303030,0.068179004,-0.312132,0.039415985
android.sensor.gyroscope,1538166086803,1835045410034646,0.05646074,-0.36326626,0.058591332
android.sensor.gyroscope,1538166086825,1835045430181680,0.08735435,-0.5816521,0.10120321
android.sensor.gyroscope,1538166086845,1835045449882255,0.117182665,-0.87567407,0.13209683
android.sensor.gyroscope,1538166086864,1835045469911684,0.10652969,-1.172892,0.15659864
android.sensor.gyroscope,1538166086884,1835045489202102,0.120378554,-1.2932705,0.25034478
android.sensor.gyroscope,1538166086905,1835045509691896,0.2737813,-1.3390783,0.4175964
android.sensor.gyroscope,1538166086927,1835045529247471,0.2428877,-1.2655728,0.5901745
android.sensor.gyroscope,1538166086948,1835045551172890,0.07350549,-1.3262947,0.6210681
android.sensor.gyroscope,1538166086971,1835045570874715,-0.08522376,-1.4456079,0.653027
android.sensor.gyroscope,1538166086988,1835045590944665,-0.21305938,-1.3454701,0.818148
android.sensor.gyroscope,1538166087006,1835045610666906,-0.3462215,-0.9694202,1.0258809
android.sensor.gyroscope,1538166087027,1835045630741335,-0.5827174,-0.50921196,1.0993865
android.sensor.gyroscope,1538166087047,1835045650453837,-0.81921333,-0.24927948,1.1441289
android.sensor.gyroscope,1538166087068,1835045670494829,-0.7052266,-0.67220235,1.2336138
android.sensor.gyroscope,1538166087087,1835045690216862,-0.47512242,-1.0099015,1.392343
android.sensor.gyroscope,1538166087107,1835045710452437,-0.77766675,-0.0074570784,1.6927568
android.sensor.gyroscope,1538166087125,1835045730029522,-0.98539966,0.45914298,1.7822418
android.sensor.gyroscope,1538166087147,1835045750137857,-0.7840586,-0.2087982,1.8110048
android.sensor.gyroscope,1538166087168,1835045769771505,-0.53264844,-0.50921196,1.7875682
android.sensor.gyroscope,1538166087185,1835045789882966,-0.36539686,0.034089502,2.0283253
android.sensor.gyroscope,1538166087205,1835045808238124,0.01065297,0.15766394,2.2051647
android.sensor.gyroscope,1538166087228,1835045829610626,0.6370476,-0.10120321,2.156161
android.sensor.gyroscope,1538166087247,1835045849999117,0.6871165,0.45807767,2.2030342
android.sensor.gyroscope,1538166087268,1835045869398130,0.4452941,0.8469111,2.1210063
android.sensor.gyroscope,1538166087288,1835045889138809,0.7382508,0.4559471,1.9292527
android.sensor.gyroscope,1538166087304,1835045907335165,1.0780805,0.6072193,1.9260569
android.sensor.gyroscope,1538166087328,1835045928903240,1.0599705,0.965159,1.9782565
android.sensor.gyroscope,1538166087348,1835045948999596,1.1771531,0.8042992,1.890902
android.sensor.gyroscope,1538166087361,1835045966967254,1.5255052,0.4218576,1.7907641
android.sensor.gyroscope,1538166087384,1835045988718298,1.6149901,0.8618252,1.6980833
android.sensor.gyroscope,1538166087405,1835046008487727,1.5084604,1.1441289,1.5904883
android.sensor.gyroscope,1538166087425,1835046028516219,1.7801112,0.7883197,1.3412088
android.sensor.gyroscope,1538166087444,1835046048215543,2.2360582,0.48044893,1.2101773
android.sensor.gyroscope,1538166087463,1835046066569920,2.2030342,0.7659485,1.104713
android.sensor.gyroscope,1538166087485,1835046086683464,2.1518998,0.7723403,0.83306223
android.sensor.gyroscope,1538166087504,1835046108060081,2.371351,0.40055165,0.5582156
android.sensor.gyroscope,1538166087524,1835046127792843,2.5311456,0.29402196,0.32491556
android.sensor.gyroscope,1538166087544,1835046147847585,2.6099775,0.54223615,0.10759499
android.sensor.gyroscope,1538166087564,1835046167551753,2.5417986,0.4559471,-0.11185618
android.sensor.gyroscope,1538166087584,1835046187604984,2.7346172,0.0010652969,-0.41866168
android.sensor.gyroscope,1538166087604,1835046207340299,2.9071953,-0.120378554,-0.6999001
android.sensor.gyroscope,1538166087622,1835046225500769,2.7889473,0.08202787,-0.965159
android.sensor.gyroscope,1538166087641,1835046245255615,2.6781566,-0.0085223755,-1.1686307
android.sensor.gyroscope,1538166087662,1835046265059680,2.571627,-0.42824936,-1.4871545
android.sensor.gyroscope,1538166087681,1835046284920671,2.3330002,-0.29402196,-1.7385646
android.sensor.gyroscope,1538166087698,1835046304996767,1.9100775,0.47725302,-1.9473628
android.sensor.gyroscope,1538166087718,1835046324564894,1.9399058,0.29828313,-2.0847862
