Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166153433,1835112018299772,4.5298295,5.9663506,5.7604494
android.sensor.accelerometer,1538166153433,1835112038133212,4.606444,5.8801594,5.6982
android.sensor.accelerometer,1538166153454,1835112057935870,4.8219223,6.033388,5.631162
android.sensor.accelerometer,1538166153470,1835112077863372,5.104438,5.985504,5.8705826
android.sensor.accelerometer,1538166153490,1835112097926812,4.8123455,6.0142345,5.6359506
android.sensor.accelerometer,1538166153510,1835112117634001,4.510676,5.985504,5.463568
android.sensor.accelerometer,1538166153530,1835112137483326,4.630386,5.8705826,5.583278
android.sensor.accelerometer,1538166153553,1835112157191870,4.7979803,5.841852,5.66947
android.sensor.accelerometer,1538166153570,1835112177312340,4.865018,5.985504,5.6551046
android.sensor.accelerometer,1538166153590,1835112197188332,4.9559975,6.0381765,5.722142
android.sensor.accelerometer,1538166153610,1835112217195157,5.118803,6.0142345,5.731719
android.sensor.accelerometer,1538166153630,1835112236908336,4.7979803,6.114791,5.6407394
android.sensor.accelerometer,1538166153653,1835112256977504,5.171476,6.181829,5.93762
android.sensor.accelerometer,1538166153671,1835112276724277,6.1387334,7.005434,6.823475
android.sensor.accelerometer,1538166153691,1835112296797769,6.9958572,7.599196,7.9631147
android.sensor.accelerometer,1538166153710,1835112316551469,8.418014,8.839393,10.400413
android.sensor.accelerometer,1538166153731,1835112336536210,10.740389,8.556877,11.401189
android.sensor.accelerometer,1538166153752,1835112356293816,11.803414,8.935161,11.856087
android.sensor.accelerometer,1538166153770,1835112376347256,10.860099,8.00621,13.570335
android.sensor.accelerometer,1538166153789,1835112396082987,8.039729,6.823475,15.945383
android.sensor.accelerometer,1538166153810,1835112416153562,5.386954,5.683835,16.85518
android.sensor.accelerometer,1538166153830,1835112436056533,4.027047,4.486734,15.993267
android.sensor.accelerometer,1538166153850,1835112455921691,3.217807,3.620033,14.092271
android.sensor.accelerometer,1538166153870,1835112475833464,2.3702598,2.9400797,12.4785795
android.sensor.accelerometer,1538166153890,1835112495895028,1.4939818,2.183512,10.85531
android.sensor.accelerometer,1538166153910,1835112515620759,0.1340753,1.8052281,8.422802
android.sensor.accelerometer,1538166153930,1835112535673626,-0.51235914,1.5658079,5.592855
android.sensor.accelerometer,1538166153948,1835112555169826,-0.6847417,1.412579,3.6774938
android.sensor.accelerometer,1538166153970,1835112575445297,-1.1731589,1.7477672,2.0015526
android.sensor.accelerometer,1538166153993,1835112596828840,-0.7278373,2.0254946,1.0486604
android.sensor.accelerometer,1538166154010,1835112616882332,-0.29209262,2.360683,0.48841715
android.sensor.accelerometer,1538166154032,1835112636587334,-0.46447513,2.4468741,0.22505496
android.sensor.accelerometer,1538166154054,1835112656687805,-0.2777274,2.480393,-0.32561144
android.sensor.accelerometer,1538166154068,1835112674718119,-0.023942016,2.6192567,-0.9528923
android.sensor.accelerometer,1538166154091,1835112696512184,0.79487497,2.72939,-0.59376204
android.sensor.accelerometer,1538166154112,1835112716748488,1.2641385,2.7102363,-0.23942018
android.sensor.accelerometer,1538166154132,1835112736277344,1.6998832,2.6001031,-0.5267244
android.sensor.accelerometer,1538166154151,1835112756015367,2.030283,2.8107927,-1.1540052
android.sensor.accelerometer,1538166154171,1835112774289483,3.107674,2.3463178,-1.4748282
android.sensor.accelerometer,1538166154188,1835112793674485,3.5338416,2.0111294,-0.79966336
android.sensor.accelerometer,1538166154209,1835112815202977,3.4045548,1.7956513,-0.61291564
android.sensor.accelerometer,1538166154227,1835112833554124,3.6966474,1.5610195,-0.7182605
android.sensor.accelerometer,1538166154246,1835112853940845,4.984728,1.4269443,-1.388637
android.sensor.accelerometer,1538166154267,1835112873318243,5.841852,1.3263878,-1.8866309
android.sensor.accelerometer,1538166154286,1835112893473245,6.3685765,0.8714894,-0.521936
android.sensor.accelerometer,1538166154306,1835112913128143,6.2632318,1.1204864,0.5554548
android.sensor.accelerometer,1538166154327,1835112933212416,7.7428484,0.842759,-0.22984336
android.sensor.accelerometer,1538166154347,1835112952924345,9.3421755,0.60333884,-1.6089035
android.sensor.accelerometer,1538166154366,1835112973001899,10.529699,1.0534488,-0.095768064
android.sensor.accelerometer,1538166154386,1835112992777994,11.9374895,0.6895301,2.336741
android.sensor.accelerometer,1538166154406,1835113012838205,11.473015,1.13964,1.4891934
android.sensor.accelerometer,1538166154427,1835113032537113,11.784261,1.3790601,-0.0047884034
android.sensor.accelerometer,1538166154447,1835113052666490,13.962984,0.45489833,0.7374141
android.sensor.accelerometer,1538166154469,1835113073748471,14.475344,-0.50278234,1.0534488
android.sensor.accelerometer,1538166154486,1835113092260088,12.708423,-0.9816227,0.33997664
android.sensor.accelerometer,1538166154508,1835113112326131,12.004527,-1.7717092,1.6041151
android.sensor.accelerometer,1538166154526,1835113132260144,13.057976,-2.7102363,3.9456444
android.sensor.accelerometer,1538166154549,1835113153809260,14.346057,-2.6862943,4.841076
android.sensor.accelerometer,1538166154568,1835113174177179,16.25184,-1.7764976,4.807557
android.sensor.accelerometer,1538166154586,1835113191696712,17.884687,-1.8914193,3.8786068
android.sensor.accelerometer,1538166154613,1835113213640412,17.238253,-2.4516625,3.3039982
android.sensor.accelerometer,1538166154633,1835113233352914,15.14572,-2.791639,4.43885
android.sensor.accelerometer,1538166154651,1835113253418645,15.361198,-2.528277,6.5265937
android.sensor.accelerometer,1538166154668,1835113273137502,17.00841,-2.906561,6.0046577
android.sensor.accelerometer,1538166154689,1835113293198858,17.329231,-3.514688,3.8833952
android.sensor.accelerometer,1538166154705,1835113311102818,17.03235,-4.5777135,3.098097
android.sensor.accelerometer,1538166154730,1835113333861987,15.433024,-5.6359506,4.620809
android.sensor.accelerometer,1538166154749,1835113352708134,13.809755,-5.6982,7.785944
android.sensor.accelerometer,1538166154774,1835113372756470,14.149732,-5.1140146,8.892065
android.sensor.accelerometer,1538166154789,1835113392480013,15.538369,-4.8698063,6.8665705
android.sensor.accelerometer,1538166154811,1835113412544859,15.921441,-4.8841715,5.971139
android.sensor.accelerometer,1538166154826,1835113430685330,15.634137,-4.596867,7.785944
android.sensor.accelerometer,1538166154848,1835113452302103,16.069881,-4.3526587,9.093178
