Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166130093,1835088668701716,0.07350549,-0.08202787,0.0074570784
android.sensor.gyroscope,1538166130093,1835088688393385,-0.009587673,0.04261188,0.023436533
android.sensor.gyroscope,1538166130105,1835088708465783,-0.053264845,0.07989727,0.035154797
android.sensor.gyroscope,1538166130121,1835088728164535,-0.019175345,0.043677174,-0.005326485
android.sensor.gyroscope,1538166130142,1835088748289276,0.009587673,0.07350549,-0.026632423
android.sensor.gyroscope,1538166130161,1835088767986830,-0.017044751,0.0692443,0.0085223755
android.sensor.gyroscope,1538166130181,1835088788066259,-0.07137489,0.033024207,0.064983115
android.sensor.gyroscope,1538166130204,1835088807694334,-0.088419646,0.03089361,0.05539544
android.sensor.gyroscope,1538166130221,1835088827827409,-0.02769772,0.11079088,0.040481284
android.sensor.gyroscope,1538166130240,1835088847542932,-0.05219955,0.13529271,-0.011718267
android.sensor.gyroscope,1538166130261,1835088867602830,-0.044742472,0.012783563,-0.04793836
android.sensor.gyroscope,1538166130280,1835088887316478,0.04900366,-0.07457078,-0.053264845
android.sensor.gyroscope,1538166130301,1835088907484032,0.022371236,-0.04154658,-0.034089502
android.sensor.gyroscope,1538166130321,1835088927143357,-0.113986775,0.0042611877,0.039415985
android.sensor.gyroscope,1538166130340,1835088947218202,-0.1043991,-0.036220096,0.014914157
android.sensor.gyroscope,1538166130361,1835088966922215,-0.13422741,-0.15233746,-0.063917816
android.sensor.gyroscope,1538166130381,1835088987010915,-0.20134112,-0.16831692,-0.092680834
android.sensor.gyroscope,1538166130400,1835089006658938,-0.2066676,-0.2801731,-0.13422741
android.sensor.gyroscope,1538166130421,1835089026764252,-0.10120321,-0.47618774,-0.10652969
android.sensor.gyroscope,1538166130440,1835089046523160,-0.4154658,-0.380311,0.009587673
android.sensor.gyroscope,1538166130460,1835089066537016,-0.4527512,-0.36539686,0.050068956
android.sensor.gyroscope,1538166130480,1835089086297487,-0.020240642,-0.51666903,-0.028763017
android.sensor.gyroscope,1538166130500,1835089106249208,0.2780425,-0.6295905,-0.35793978
android.sensor.gyroscope,1538166130520,1835089126020876,0.27271602,-0.42505348,-0.72014076
android.sensor.gyroscope,1538166130538,1835089146033899,0.33343795,-0.053264845,-0.96302843
android.sensor.gyroscope,1538166130560,1835089165816401,0.7595567,0.119313255,-1.0834069
android.sensor.gyroscope,1538166130580,1835089185877705,1.1132354,0.2056023,-1.1089741
android.sensor.gyroscope,1538166130599,1835089205509895,1.3369477,0.25993246,-0.975812
android.sensor.gyroscope,1538166130619,1835089225614845,1.521244,0.2119941,-0.94278777
android.sensor.gyroscope,1538166130641,1835089245412607,1.6533408,0.14381509,-0.9193513
android.sensor.gyroscope,1538166130658,1835089265429224,1.7992865,0.1747087,-0.86289054
android.sensor.gyroscope,1538166130678,1835089285146621,1.8632044,0.22158176,-0.760622
android.sensor.gyroscope,1538166130698,1835089305174436,1.8195271,0.47618774,-0.57632565
android.sensor.gyroscope,1538166130718,1835089324939282,1.747087,0.68072474,-0.42718408
android.sensor.gyroscope,1538166130741,1835089344984023,1.8940979,0.6370476,-0.33024204
