Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166306954,1835265529655221,6.3302693,6.1770406,4.2042184
android.sensor.accelerometer,1538166306954,1835265549766890,6.244078,6.181829,4.027047
android.sensor.accelerometer,1538166306966,1835265569451371,5.9807158,6.3589997,4.1946416
android.sensor.accelerometer,1538166306983,1835265589305540,6.349423,6.229713,4.027047
android.sensor.accelerometer,1538166307001,1835265609225958,6.459556,6.229713,4.213795
android.sensor.accelerometer,1538166307021,1835265629300439,6.3206925,6.229713,4.357447
android.sensor.accelerometer,1538166307044,1835265649026535,5.932832,6.1626754,4.4101195
android.sensor.accelerometer,1538166307064,1835265669075027,6.0046577,6.181829,4.477157
android.sensor.accelerometer,1538166307082,1835265688707164,6.2488666,6.14831,4.6016555
android.sensor.accelerometer,1538166307101,1835265708857843,6.4787097,6.1770406,4.5394063
android.sensor.accelerometer,1538166307121,1835265728564876,6.114791,6.0046577,4.5394063
android.sensor.accelerometer,1538166307141,1835265748629670,5.793968,5.985504,4.501099
android.sensor.accelerometer,1538166307163,1835265768538526,5.7604494,6.2345014,4.4580035
android.sensor.accelerometer,1538166307183,1835265788584309,5.961562,6.421249,4.122815
android.sensor.accelerometer,1538166307203,1835265808303166,6.6079965,7.1155677,5.21936
android.sensor.accelerometer,1538166307222,1835265828372438,7.216124,8.087613,6.14831
android.sensor.accelerometer,1538166307243,1835265848083013,9.030929,9.605537,6.2728086
android.sensor.accelerometer,1538166307263,1835265868157859,11.674128,10.328587,6.847417
android.sensor.accelerometer,1538166307286,1835265887715413,13.215993,10.189722,9.821015
android.sensor.accelerometer,1538166307310,1835265907700728,12.35887,8.944737,12.41633
android.sensor.accelerometer,1538166307321,1835265927427136,9.835381,7.651869,13.479356
android.sensor.accelerometer,1538166307345,1835265947697294,7.335834,6.5936313,13.31655
android.sensor.accelerometer,1538166307362,1835265967003129,5.78918,5.741296,12.684481
android.sensor.accelerometer,1538166307384,1835265987534538,4.548983,5.3247046,11.046846
android.sensor.accelerometer,1538166307403,1835266007240321,4.271256,4.9799395,7.3789296
android.sensor.accelerometer,1538166307423,1835266027310739,5.00867,4.7644615,6.1387334
android.sensor.accelerometer,1538166307443,1835266046598554,5.133168,4.76925,4.582502
android.sensor.accelerometer,1538166307462,1835266067073816,4.132392,4.630386,2.2697031
android.sensor.accelerometer,1538166307481,1835266086600850,3.6535518,4.6255975,1.9201498
android.sensor.accelerometer,1538166307502,1835266106862570,3.0693667,4.596867,2.078167
android.sensor.accelerometer,1538166307521,1835266126426479,2.5570073,4.31914,1.8722657
android.sensor.accelerometer,1538166307545,1835266148119033,1.8483237,3.9217024,1.4748282
android.sensor.accelerometer,1538166307563,1835266168045597,1.541866,3.9217024,1.1683705
android.sensor.accelerometer,1538166307585,1835266187986901,1.2497733,4.0557775,-0.25857377
android.sensor.accelerometer,1538166307605,1835266208333049,1.4269443,4.510676,-2.1930888
android.sensor.accelerometer,1538166307624,1835266227854301,1.5227122,4.783615,-3.1316159
android.sensor.accelerometer,1538166307644,1835266245697688,2.1404164,4.9320555,-2.078167
android.sensor.accelerometer,1538166307665,1835266266336180,2.9161377,4.9703627,-1.8291701
android.sensor.accelerometer,1538166307683,1835266287386547,3.3279405,4.9895163,-2.4181437
android.sensor.accelerometer,1538166307704,1835266307444361,3.1603463,5.094861,-2.408567
android.sensor.accelerometer,1538166307723,1835266327191603,3.083732,5.3678,-2.3989902
android.sensor.accelerometer,1538166307742,1835266345320719,3.8115692,5.0661306,-2.3798366
android.sensor.accelerometer,1538166307764,1835266367019784,4.807557,4.7405195,-2.585738
android.sensor.accelerometer,1538166307780,1835266385287494,4.620809,4.525041,-2.834735
android.sensor.accelerometer,1538166307800,1835266404805725,4.2904096,4.3622355,-2.7820623
android.sensor.accelerometer,1538166307822,1835266424633435,4.477157,4.2281604,-3.074155
android.sensor.accelerometer,1538166307836,1835266444330000,5.1666875,3.7588966,-4.5681367
android.sensor.accelerometer,1538166307859,1835266464604898,4.6016555,3.490746,-5.554548
android.sensor.accelerometer,1538166307881,1835266484342660,4.3622355,3.3087866,-5.837064
android.sensor.accelerometer,1538166307897,1835266504165474,4.3957543,2.7389667,-5.8945246
android.sensor.accelerometer,1538166307917,1835266524107820,4.0892963,2.2266076,-5.2624555
android.sensor.accelerometer,1538166307940,1835266544123083,5.6407394,2.0446482,-9.136273
android.sensor.accelerometer,1538166307956,1835266563897720,7.1826053,1.532289,-8.676587
android.sensor.accelerometer,1538166307977,1835266583956785,6.4020953,1.9297266,-7.9870567
android.sensor.accelerometer,1538166307996,1835266603681943,6.3781533,1.7429788,-7.4124484
android.sensor.accelerometer,1538166308016,1835266623738195,7.441179,1.7525556,-9.557653
android.sensor.accelerometer,1538166308039,1835266643417155,9.303867,1.733402,-11.63582
android.sensor.accelerometer,1538166308059,1835266663510490,9.572019,1.6807296,-12.287044
android.sensor.accelerometer,1538166308077,1835266683022003,8.360553,1.7429788,-10.16578
android.sensor.accelerometer,1538166308097,1835266703083359,8.48984,1.2880806,-9.428367
android.sensor.accelerometer,1538166308118,1835266723044611,9.021352,0.9911995,-8.585608
