Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166306954,1835265529685741,-0.05113425,0.067113705,0.012783563
android.sensor.gyroscope,1538166306954,1835265549797410,-0.054330144,0.031958908,0.0042611877
android.sensor.gyroscope,1538166306966,1835265569481891,-0.064983115,0.015979454,-0.0074570784
android.sensor.gyroscope,1538166306983,1835265589366581,-0.057526033,-0.07776668,0.02130594
android.sensor.gyroscope,1538166307002,1835265609256478,-0.089484945,0.0042611877,0.009587673
android.sensor.gyroscope,1538166307021,1835265629330959,-0.1043991,0.08522376,-0.019175345
android.sensor.gyroscope,1538166307044,1835265649057055,-0.094811425,0.011718267,-0.034089502
android.sensor.gyroscope,1538166307064,1835265669136068,-0.07457078,-0.035154797,0.005326485
android.sensor.gyroscope,1538166307082,1835265688737684,-0.07457078,0.019175345,0.043677174
android.sensor.gyroscope,1538166307101,1835265708888363,-0.04154658,0.018110048,0.050068956
android.sensor.gyroscope,1538166307122,1835265728595396,-0.020240642,-0.031958908,-0.0085223755
android.sensor.gyroscope,1538166307141,1835265748660190,-0.026632423,-0.029828314,0.0074570784
android.sensor.gyroscope,1538166307163,1835265768599567,-0.03728539,0.005326485,0.07457078
android.sensor.gyroscope,1538166307184,1835265788614829,-0.043677174,-0.05219955,0.14807628
android.sensor.gyroscope,1538166307203,1835265808333686,-0.13422741,-0.15979454,0.18003519
android.sensor.gyroscope,1538166307222,1835265828402958,-0.07989727,-0.18429637,0.15766394
android.sensor.gyroscope,1538166307243,1835265848113533,0.023436533,-0.2056023,0.23330003
android.sensor.gyroscope,1538166307263,1835265868188379,-0.04793836,-0.43464115,0.1374233
android.sensor.gyroscope,1538166307286,1835265887745933,-0.3845722,-0.40587813,-0.2418224
android.sensor.gyroscope,1538166307310,1835265907731248,-0.36646214,0.3163932,-0.7542302
android.sensor.gyroscope,1538166307321,1835265927457656,0.07989727,0.71481425,-1.1196271
android.sensor.gyroscope,1538166307345,1835265947727814,0.6711371,0.82453984,-1.2240262
android.sensor.gyroscope,1538166307362,1835265967033649,1.3199029,0.6796594,-1.1473248
android.sensor.gyroscope,1538166307384,1835265987565058,2.1572263,-0.08096257,-1.1004517
android.sensor.gyroscope,1538166307403,1835266007270841,2.8027961,-0.8735435,-1.0024444
android.sensor.gyroscope,1538166307423,1835266027341259,2.7793598,-0.60402334,-0.7659485
android.sensor.gyroscope,1538166307443,1835266046629074,2.8432775,-0.40055165,-0.71481425
android.sensor.gyroscope,1538166307462,1835266067134857,2.7868168,-0.13422741,-0.7925809
android.sensor.gyroscope,1538166307481,1835266086631370,2.4405954,0.26952013,-0.7467731
android.sensor.gyroscope,1538166307502,1835266106893090,2.2626908,0.31745848,-0.7180101
android.sensor.gyroscope,1538166307521,1835266126456999,2.1977077,0.13316211,-0.7180101
android.sensor.gyroscope,1538166307545,1835266148149553,2.1220715,0.36220095,-0.63811284
android.sensor.gyroscope,1538166307563,1835266168076117,2.1359203,0.7169448,-0.39629045
android.sensor.gyroscope,1538166307585,1835266188017421,2.345784,0.7041613,-0.18749227
android.sensor.gyroscope,1538166307605,1835266208363569,2.3841345,0.17151281,-0.09374613
android.sensor.gyroscope,1538166307624,1835266227915342,2.0645454,0.018110048,-0.023436533
android.sensor.gyroscope,1538166307644,1835266245728208,1.553203,0.6839206,0.15872924
android.sensor.gyroscope,1538166307665,1835266266366700,1.5372235,0.8085604,0.29082605
android.sensor.gyroscope,1538166307683,1835266287417067,1.6256431,0.5827174,0.29721785
android.sensor.gyroscope,1538166307704,1835266307474881,1.4914157,0.6711371,0.3185238
android.sensor.gyroscope,1538166307723,1835266327222123,1.434955,0.75316495,0.42824936
android.sensor.gyroscope,1538166307742,1835266345351239,1.4775668,0.58058685,0.61787224
android.sensor.gyroscope,1538166307764,1835266367050304,1.531897,0.4239882,0.74570787
