Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166182655,1835141234820652,5.7125654,6.0142345,5.2049947
android.sensor.accelerometer,1538166182655,1835141255135393,5.81791,6.114791,5.0900726
android.sensor.accelerometer,1538166182669,1835141274796697,5.683835,6.009446,5.626374
android.sensor.accelerometer,1538166182688,1835141294928053,5.386954,5.875371,5.5162406
android.sensor.accelerometer,1538166182708,1835141314374618,5.511452,5.913678,5.4683566
android.sensor.accelerometer,1538166182727,1835141334584307,5.865794,5.985504,5.3821654
android.sensor.accelerometer,1538166182747,1835141354331132,5.827487,6.0238113,5.085284
android.sensor.accelerometer,1538166182767,1835141374213061,5.506664,5.985504,4.8602295
android.sensor.accelerometer,1538166182787,1835141394157959,5.497087,5.9519854,5.2480903
android.sensor.accelerometer,1538166182808,1835141414207909,5.6215854,5.9663506,5.3199162
android.sensor.accelerometer,1538166182827,1835141433932599,5.717354,5.9902925,5.1379566
android.sensor.accelerometer,1538166182848,1835141453993746,5.9663506,6.0381765,5.386954
android.sensor.accelerometer,1538166182868,1835141473756925,5.6886234,5.961562,5.391742
android.sensor.accelerometer,1538166182888,1835141493819271,5.305551,5.884948,5.3199162
android.sensor.accelerometer,1538166182908,1835141513583544,5.080496,5.9424086,5.6359506
android.sensor.accelerometer,1538166182928,1835141533592192,5.1523223,6.0525417,5.6120086
android.sensor.accelerometer,1538166182948,1835141553496048,5.3342814,6.2249246,5.755661
android.sensor.accelerometer,1538166182968,1835141573589748,5.21936,6.033388,5.8705826
android.sensor.accelerometer,1538166182988,1835141593233916,4.2664676,5.8945246,6.1770406
android.sensor.accelerometer,1538166183008,1835141613305793,3.0933087,5.267244,7.3885064
android.sensor.accelerometer,1538166183026,1835141632991108,2.078167,5.0613422,8.322245
android.sensor.accelerometer,1538166183047,1835141653087204,2.96881,4.8745947,7.3406224
android.sensor.accelerometer,1538166183067,1835141672784758,4.879383,5.0613422,6.244078
android.sensor.accelerometer,1538166183087,1835141692854812,6.3302693,4.9703627,4.9176903
android.sensor.accelerometer,1538166183107,1835141712614033,8.99741,4.1659107,2.9831753
android.sensor.accelerometer,1538166183127,1835141732686743,11.013328,3.845088,0.50757074
android.sensor.accelerometer,1538166183146,1835141752391589,12.488156,3.9504328,0.51235914
android.sensor.accelerometer,1538166183167,1835141772207997,19.484013,5.645528,0.14844051
android.sensor.accelerometer,1538166183187,1835141792160603,28.246792,8.748413,-7.1586633
android.sensor.accelerometer,1538166183211,1835141813901438,34.61058,8.78672,-15.049952
android.sensor.accelerometer,1538166183231,1835141833634461,37.986404,5.1475334,-19.622877
android.sensor.accelerometer,1538166183250,1835141853723109,35.69276,1.2545617,-16.989256
android.sensor.accelerometer,1538166183270,1835141873420976,31.378407,-0.23463176,-9.509769
android.sensor.accelerometer,1538166183292,1835141894604467,27.427975,-2.8395233,-6.4260373
android.sensor.accelerometer,1538166183311,1835141913171761,23.93244,-5.0517654,-11.506534
android.sensor.accelerometer,1538166183329,1835141933242440,24.545357,-11.496957,-4.6686935
android.sensor.accelerometer,1538166183350,1835141952954890,20.049046,-19.814413,15.543158
android.sensor.accelerometer,1538166183369,1835141973018850,12.038046,-26.168625,29.965828
android.sensor.accelerometer,1538166183389,1835141992532185,3.3758245,-22.486341,41.228153
android.sensor.accelerometer,1538166183408,1835142012834115,-0.10534488,-16.127342,48.05163
android.sensor.accelerometer,1538166183426,1835142032537398,-3.0214825,-10.840945,42.822693
