Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166202013,1835160596820548,0.10866029,-0.059656627,-0.0031958907
android.sensor.gyroscope,1538166202013,1835160616756175,0.094811425,-0.02130594,0.015979454
android.sensor.gyroscope,1538166202029,1835160636431177,0.0692443,0.022371236,0.023436533
android.sensor.gyroscope,1538166202049,1835160656527898,0.1043991,0.044742472,0.01384886
android.sensor.gyroscope,1538166202069,1835160676461598,0.07457078,-0.025567126,-0.019175345
android.sensor.gyroscope,1538166202090,1835160696318110,0.014914157,-0.029828314,-0.0031958907
android.sensor.gyroscope,1538166202109,1835160716208216,-0.02450183,-0.023436533,0.089484945
android.sensor.gyroscope,1538166202129,1835160735931187,-0.029828314,-0.034089502,0.1054644
android.sensor.gyroscope,1538166202149,1835160755939210,-0.0031958907,-0.011718267,0.012783563
android.sensor.gyroscope,1538166202169,1835160775879472,0.025567126,-0.009587673,-0.029828314
android.sensor.gyroscope,1538166202190,1835160795780047,0.012783563,-0.043677174,-0.0042611877
android.sensor.gyroscope,1538166202208,1835160815659060,0.0010652969,0.022371236,0.057526033
android.sensor.gyroscope,1538166202231,1835160835739010,0.01384886,0.09055024,0.10120321
android.sensor.gyroscope,1538166202250,1835160855602657,-0.012783563,0.070309594,0.08735435
android.sensor.gyroscope,1538166202270,1835160875491305,-0.053264845,-0.033024207,0.045807768
android.sensor.gyroscope,1538166202289,1835160895391307,-0.014914157,-0.026632423,0.064983115
android.sensor.gyroscope,1538166202310,1835160915327924,0.068179004,0.034089502,0.19814523
android.sensor.gyroscope,1538166202330,1835160935176624,0.3813763,0.10866029,0.36433154
android.sensor.gyroscope,1538166202349,1835160955067303,0.8650211,0.17151281,0.44849002
android.sensor.gyroscope,1538166202368,1835160974770951,0.9481143,-0.012783563,0.61787224
android.sensor.gyroscope,1538166202389,1835160994457932,0.742512,-0.1747087,0.71055305
android.sensor.gyroscope,1538166202409,1835161014666267,0.6615494,0.009587673,0.6455699
android.sensor.gyroscope,1538166202429,1835161034679186,0.29615256,1.0216198,0.34089503
android.sensor.gyroscope,1538166202450,1835161054555125,-0.2109288,2.0965044,0.22903883
android.sensor.gyroscope,1538166202470,1835161074485075,-0.66794115,2.730356,0.43037996
android.sensor.gyroscope,1538166202489,1835161093880337,-0.57632565,2.8049269,0.89165354
android.sensor.gyroscope,1538166202508,1835161114025860,0.35367858,1.4935462,0.44422883
android.sensor.gyroscope,1538166202528,1835161134053206,1.3007276,0.045807768,-0.5230608
android.sensor.gyroscope,1538166202551,1835161155774094,0.42079228,-0.5475626,-1.5830313
android.sensor.gyroscope,1538166202570,1835161175576700,-1.7758499,-0.5347791,-2.8901505
android.sensor.gyroscope,1538166202592,1835161195469723,-2.1071572,-1.7353687,-3.8148284
android.sensor.gyroscope,1538166202610,1835161215366547,-1.4211061,-4.2931466,-4.438027
android.sensor.gyroscope,1538166202632,1835161235223529,-1.6746467,-5.77604,-4.509402
android.sensor.gyroscope,1538166202650,1835161255143010,-3.501631,-6.391782,-4.6404333
android.sensor.gyroscope,1538166202671,1835161275018741,-5.083597,-6.4983115,-4.965349
android.sensor.gyroscope,1538166202691,1835161294949681,-5.39999,-5.811195,-5.0324626
android.sensor.gyroscope,1538166202710,1835161313275620,-4.444419,-5.445798,-4.2878203
android.sensor.gyroscope,1538166202731,1835161334720049,-1.4754362,-5.937965,-2.7069194
android.sensor.gyroscope,1538166202751,1835161354549999,0.1725781,-5.7217097,-1.592619
android.sensor.gyroscope,1538166202772,1835161374464688,-0.31106672,-4.2824936,-1.334817
android.sensor.gyroscope,1538166202791,1835161394368857,-0.26952013,-1.8323107,-1.2495933
android.sensor.gyroscope,1538166202811,1835161414243182,0.07883197,0.5891092,-0.20240642
android.sensor.gyroscope,1538166202831,1835161434145788,1.395539,0.82880104,1.3028581
android.sensor.gyroscope,1538166202851,1835161453647613,1.9665382,1.2932705,2.4097016
android.sensor.gyroscope,1538166202865,1835161471988604,1.5350928,4.926998,3.9554474
android.sensor.gyroscope,1538166202891,1835161493580742,4.1088505,5.7877584,5.574699
android.sensor.gyroscope,1538166202912,1835161513331733,6.0082746,5.7984114,6.905255
android.sensor.gyroscope,1538166202931,1835161533547933,5.68762,7.2770433,7.3739853
android.sensor.gyroscope,1538166202950,1835161553452050,5.81226,7.932201,6.6708894
android.sensor.gyroscope,1538166202969,1835161573366114,4.391154,7.6467013,5.528891
android.sensor.gyroscope,1538166202990,1835161593247366,1.7747847,8.372169,4.5967565
android.sensor.gyroscope,1538166203008,1835161613135962,0.02450183,7.9971843,3.8659625
android.sensor.gyroscope,1538166203031,1835161633010912,-0.9481143,6.895667,3.5538306
android.sensor.gyroscope,1538166203050,1835161652912008,-0.7680791,5.0164833,3.827612
android.sensor.gyroscope,1538166203069,1835161672797478,0.092680834,4.438027,3.228915
android.sensor.gyroscope,1538166203089,1835161692682689,-0.005326485,3.4345174,2.686679
android.sensor.gyroscope,1538166203109,1835161712581962,0.46873066,1.4860892,2.3042374
android.sensor.gyroscope,1538166203128,1835161732455245,0.6658106,-0.15446806,1.1153659
android.sensor.gyroscope,1538166203144,1835161750566809,0.035154797,-1.0908641,-0.22264706
android.sensor.gyroscope,1538166203168,1835161772262072,-0.43464115,-1.2719646,-1.9399058
android.sensor.gyroscope,1538166203184,1835161790318323,-0.65622294,-2.2339277,-3.4419744
android.sensor.gyroscope,1538166203206,1835161812011190,-1.1292148,-3.1458218,-4.193009
android.sensor.gyroscope,1538166203228,1835161831901036,-2.3053026,-4.660674,-4.44868
android.sensor.gyroscope,1538166203244,1835161849975517,-4.6212583,-7.4112706,-5.0132875
android.sensor.gyroscope,1538166203268,1835161871677863,-7.150273,-8.017425,-5.668445
android.sensor.gyroscope,1538166203289,1835161891602813,-8.44887,-6.8583817,-6.129719
android.sensor.gyroscope,1538166203307,1835161911480992,-5.453255,-6.869035,-5.442602
android.sensor.gyroscope,1538166203326,1835161931356358,-3.124516,-6.2948394,-3.3801873
android.sensor.gyroscope,1538166203345,1835161949390110,0.08309316,-5.183735,-1.6746467
android.sensor.gyroscope,1538166203363,1835161968980998,1.1089741,-3.8361342,-0.78725445
android.sensor.gyroscope,1538166203383,1835161989310270,-1.3614495,-1.8919674,-1.1878061
android.sensor.gyroscope,1538166203403,1835162009198189,-2.0315213,-1.4370855,-1.6714509
android.sensor.gyroscope,1538166203423,1835162029085378,-1.8387026,-0.50388545,-1.5020686
