Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166430214,1835388809697554,3.8355112,4.0653543,4.232949
android.sensor.accelerometer,1538166430225,1835388829480837,3.715801,3.8833952,4.76925
android.sensor.accelerometer,1538166430244,1835388849541933,2.7724855,3.8881836,5.717354
android.sensor.accelerometer,1538166430263,1835388869262508,2.72939,4.4196963,5.7987566
android.sensor.accelerometer,1538166430282,1835388889285114,4.271256,4.1036615,5.195418
android.sensor.accelerometer,1538166430301,1835388908970012,5.813122,3.5865142,4.012682
android.sensor.accelerometer,1538166430324,1835388929004754,5.971139,3.083732,4.0222588
android.sensor.accelerometer,1538166430342,1835388948773818,4.4819455,3.6774938,5.209783
android.sensor.accelerometer,1538166430362,1835388968834289,3.7541082,3.8067808,6.7947445
android.sensor.accelerometer,1538166430382,1835388988551010,4.9081135,3.016694,6.8569937
android.sensor.accelerometer,1538166430402,1835389008625126,5.6551046,2.992752,5.5641246
android.sensor.accelerometer,1538166430423,1835389028524503,6.694188,3.1555579,5.1235914
android.sensor.accelerometer,1538166430443,1835389048560495,7.398083,3.1555579,5.5737014
android.sensor.accelerometer,1538166430462,1835389068277424,7.1826053,3.572149,6.3446345
android.sensor.accelerometer,1538166430483,1835389088334509,7.7428484,3.7445314,6.813898
android.sensor.accelerometer,1538166430502,1835389108051907,9.078813,3.9600096,6.95755
android.sensor.accelerometer,1538166430523,1835389128132065,10.424355,3.6056678,6.967127
android.sensor.accelerometer,1538166430543,1835389147835348,11.042058,3.3518825,6.95755
android.sensor.accelerometer,1538166430563,1835389167948944,10.448297,3.6535518,6.8330517
android.sensor.accelerometer,1538166430581,1835389187612696,10.170568,3.6487634,6.895301
android.sensor.accelerometer,1538166430603,1835389207687490,10.237606,3.5242648,6.8282633
android.sensor.accelerometer,1538166430621,1835389227420773,11.066,3.9600096,6.7468605
android.sensor.accelerometer,1538166430641,1835389247310254,12.023681,3.9264908,7.038953
android.sensor.accelerometer,1538166430662,1835389267225256,11.956643,3.9983168,7.1634517
android.sensor.accelerometer,1538166430682,1835389287286508,11.401189,4.0414124,6.8426285
android.sensor.accelerometer,1538166430700,1835389306888854,11.137826,3.6152446,6.5696893
android.sensor.accelerometer,1538166430723,1835389327974325,11.27669,3.6583402,6.742072
android.sensor.accelerometer,1538166430742,1835389346577868,11.645397,3.442862,6.6654577
android.sensor.accelerometer,1538166430760,1835389366584589,11.089942,3.323152,6.71813
android.sensor.accelerometer,1538166430779,1835389386369695,10.34774,3.064578,6.895301
android.sensor.accelerometer,1538166430800,1835389406396416,10.19451,2.9640217,6.871359
android.sensor.accelerometer,1538166430819,1835389426147303,11.003751,3.0693667,6.5601125
android.sensor.accelerometer,1538166430840,1835389446180118,12.042834,3.2465374,6.009446
android.sensor.accelerometer,1538166430861,1835389465898036,12.11466,3.4620156,6.435614
android.sensor.accelerometer,1538166430880,1835389485984705,11.669339,3.2369606,7.359776
android.sensor.accelerometer,1538166430900,1835389505723353,11.45865,3.3279405,7.675811
android.sensor.accelerometer,1538166430920,1835389525756428,11.856087,3.620033,7.465121
android.sensor.accelerometer,1538166430940,1835389545479503,12.349293,4.0078936,7.201759
android.sensor.accelerometer,1538166430961,1835389565274244,12.794614,3.8977604,7.144298
android.sensor.accelerometer,1538166430983,1835389587174559,12.65575,3.6487634,7.5321584
android.sensor.accelerometer,1538166430999,1835389605072113,11.880029,3.0310593,7.5561004
android.sensor.accelerometer,1538166431019,1835389624774094,10.333375,2.801216,7.393295
android.sensor.accelerometer,1538166431041,1835389644828262,9.337387,2.705448,7.369353
android.sensor.accelerometer,1538166431065,1835389666832119,9.193734,2.552219,6.9767036
android.sensor.accelerometer,1538166431080,1835389684601912,8.504205,2.2888567,6.5457473
android.sensor.accelerometer,1538166431100,1835389704569258,6.847417,2.4995465,6.2105594
android.sensor.accelerometer,1538166431121,1835389724650250,5.8083334,2.3463178,5.6982
android.sensor.accelerometer,1538166431140,1835389744095095,5.185841,2.1883004,4.8841715
android.sensor.accelerometer,1538166431158,1835389764156139,4.3957543,2.4756045,4.6255975
android.sensor.accelerometer,1538166431179,1835389783886818,4.405331,2.4708161,4.6495395
android.sensor.accelerometer,1538166431199,1835389804023695,3.916914,2.4612393,4.3047748
android.sensor.accelerometer,1538166431221,1835389823651145,3.265691,2.743755,3.6152446
android.sensor.accelerometer,1538166431239,1835389843717501,2.1883004,2.873042,3.1316159
android.sensor.accelerometer,1538166431261,1835389863430680,1.9728222,2.896984,3.074155
android.sensor.accelerometer,1538166431281,1835389883502505,1.8579005,2.9640217,3.466804
android.sensor.accelerometer,1538166431301,1835389903208340,1.6998832,2.954445,3.5817258
android.sensor.accelerometer,1538166431318,1835389923568759,1.5753847,3.1507695,3.8881836
android.sensor.accelerometer,1538166431337,1835389943233188,1.5179238,3.2130187,3.6774938
android.sensor.accelerometer,1538166431358,1835389963304336,1.3599066,3.3997664,3.4093432
android.sensor.accelerometer,1538166431380,1835389983023504,1.4987702,3.2704794,3.2130187
android.sensor.accelerometer,1538166431400,1835390002927725,1.4939818,3.1986535,3.1507695
android.sensor.accelerometer,1538166431420,1835390022936633,1.3742718,3.3279405,2.9879637
android.sensor.accelerometer,1538166431438,1835390042937885,0.8762778,3.514688,3.1794999
android.sensor.accelerometer,1538166431458,1835390062552992,1.115698,3.4572272,3.6966474
android.sensor.accelerometer,1538166431476,1835390082617525,1.958457,3.5338416,3.8833952
