Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538922931840,2591944716988950,-0.0031958907,-0.04261188,0.012783563
android.sensor.gyroscope,1538922931840,2591944735315775,-0.005326485,-0.022371236,-0.01384886
android.sensor.gyroscope,1538922931840,2591944755036245,-0.0010652969,-0.039415985,0.009587673
android.sensor.gyroscope,1538922931857,2591944775128487,-0.029828314,0.014914157,0.025567126
android.sensor.gyroscope,1538922931875,2591944794855260,-0.07563608,0.07670138,-0.0074570784
android.sensor.gyroscope,1538922931897,2591944814885366,-0.067113705,0.044742472,-0.02450183
android.sensor.gyroscope,1538922931916,2591944834612920,-0.044742472,0.018110048,-0.012783563
android.sensor.gyroscope,1538922931935,2591944854616412,0.009587673,-0.0031958907,-0.014914157
android.sensor.gyroscope,1538922931957,2591944874427663,0.019175345,0.025567126,0.0074570784
android.sensor.gyroscope,1538922931976,2591944894466728,-0.009587673,0.03728539,0.01384886
android.sensor.gyroscope,1538922931996,2591944914143136,-0.026632423,0.029828314,-0.0074570784
android.sensor.gyroscope,1538922932015,2591944934234440,0.017044751,-0.015979454,-0.018110048
android.sensor.gyroscope,1538922932035,2591944953947932,0.039415985,-0.031958908,0.018110048
android.sensor.gyroscope,1538922932058,2591944974958038,0.046873067,0.0042611877,0.028763017
android.sensor.gyroscope,1538922932076,2591944993743665,0.03089361,0.02450183,0.0031958907
android.sensor.gyroscope,1538922932097,2591945013860125,0.0063917814,0.0042611877,-0.04154658
android.sensor.gyroscope,1538922932116,2591945033580648,-0.04154658,0.031958908,-0.089484945
android.sensor.gyroscope,1538922932136,2591945053648046,-0.07989727,0.046873067,-0.113986775
android.sensor.gyroscope,1538922932156,2591945073360027,-0.07563608,0.044742472,-0.09694202
android.sensor.gyroscope,1538922932176,2591945093407529,0.022371236,-0.023436533,-0.01384886
android.sensor.gyroscope,1538922932195,2591945113076958,0.08202787,-0.025567126,0.015979454
android.sensor.gyroscope,1538922932215,2591945133142012,-0.0021305939,0.08309316,0.0074570784
android.sensor.gyroscope,1538922932235,2591945152923108,-0.11824796,0.120378554,0.054330144
android.sensor.gyroscope,1538922932255,2591945172709516,-0.08415846,0.028763017,0.19494934
android.sensor.gyroscope,1538922932274,2591945192781966,0.02130594,0.05539544,0.27058542
android.sensor.gyroscope,1538922932295,2591945212847854,-0.02769772,0.16192514,0.37498453
android.sensor.gyroscope,1538922932314,2591945232526605,-0.21518998,0.25460598,0.44422883
android.sensor.gyroscope,1538922932334,2591945252587962,-0.19068815,0.16938221,0.4452941
android.sensor.gyroscope,1538922932355,2591945271984578,-0.0010652969,-0.070309594,0.49429777
android.sensor.gyroscope,1538922932374,2591945292369841,0.07137489,-0.18216577,0.61361104
android.sensor.gyroscope,1538922932394,2591945312080572,-0.0085223755,-0.06604841,0.77340555
android.sensor.gyroscope,1538922932414,2591945332152136,-0.16405573,0.1043991,0.89165354
android.sensor.gyroscope,1538922932434,2591945351881930,-0.21732058,0.23862651,0.9332001
android.sensor.gyroscope,1538922932454,2591945371929432,-0.19281875,0.28763017,0.88845766
android.sensor.gyroscope,1538922932474,2591945391649538,-0.2077329,0.21625528,0.8309316
android.sensor.gyroscope,1538922932494,2591945411697352,-0.26952013,0.19494934,0.75742614
android.sensor.gyroscope,1538922932513,2591945431432406,-0.19494934,0.120378554,0.8298663
android.sensor.gyroscope,1538922932534,2591945451492929,-0.091615535,0.0,0.98007315
android.sensor.gyroscope,1538922932553,2591945471210327,-0.16831692,0.09800732,1.072754
android.sensor.gyroscope,1538922932573,2591945491314548,-0.44103295,0.21518998,1.0567746
android.sensor.gyroscope,1538922932593,2591945510978404,-0.74570787,0.26206306,0.9118942
android.sensor.gyroscope,1538922932613,2591945531053875,-0.7979074,0.17790459,1.0258809
android.sensor.gyroscope,1538922932639,2591945550760752,-0.4953631,0.057526033,1.2474627
android.sensor.gyroscope,1538922932652,2591945570492941,-0.22477765,0.092680834,1.1569124
android.sensor.gyroscope,1538922932671,2591945590209089,-0.19707993,0.20347172,1.0993865
android.sensor.gyroscope,1538922932690,2591945610385810,-0.2098635,0.19707993,1.0631664
android.sensor.gyroscope,1538922932710,2591945630164041,-0.17896989,0.088419646,1.1153659
android.sensor.gyroscope,1538922932730,2591945650291491,-0.2098635,0.04261188,1.140933
android.sensor.gyroscope,1538922932750,2591945669983368,-0.30360964,0.094811425,0.9055024
android.sensor.gyroscope,1538922932770,2591945689832849,-0.33876443,0.1033338,0.60189277
android.sensor.gyroscope,1538922932790,2591945709565507,-0.22690825,0.040481284,0.46340418
android.sensor.gyroscope,1538922932811,2591945729842436,-0.040481284,0.0074570784,0.312132
android.sensor.gyroscope,1538922932830,2591945749563063,-0.011718267,0.015979454,0.19707993
android.sensor.gyroscope,1538922932850,2591945769528794,-0.19707993,0.064983115,0.054330144
android.sensor.gyroscope,1538922932871,2591945789187390,-0.23330003,0.04261188,-0.15553336
android.sensor.gyroscope,1538922932890,2591945809316038,-0.1747087,-0.028763017,-0.31319728
android.sensor.gyroscope,1538922932910,2591945829075206,-0.13103153,-0.14701098,-0.4218576
android.sensor.gyroscope,1538922932931,2591945849101563,-0.08735435,-0.22051647,-0.52519137
android.sensor.gyroscope,1538922932950,2591945868883388,-0.04154658,-0.15979454,-0.6327864
