Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538922841440,2591854325604686,4.7309427,6.799533,5.410896
android.sensor.accelerometer,1538922841440,2591854345408125,4.525041,6.7085533,5.434838
android.sensor.accelerometer,1538922841456,2591854365210731,4.084508,6.5457473,5.8705826
android.sensor.accelerometer,1538922841468,2591854385108077,4.1276035,6.564901,5.9424086
android.sensor.accelerometer,1538922841487,2591854405227246,4.477157,6.6846113,5.463568
android.sensor.accelerometer,1538922841506,2591854424945737,4.8841715,6.8569937,5.291186
android.sensor.accelerometer,1538922841526,2591854444984020,4.6926355,6.909666,4.984728
android.sensor.accelerometer,1538922841545,2591854464619179,4.510676,6.7947445,5.12838
android.sensor.accelerometer,1538922841566,2591854484822254,4.4915223,6.7468605,5.602432
android.sensor.accelerometer,1538922841585,2591854504450172,4.548983,6.751649,5.779603
android.sensor.accelerometer,1538922841605,2591854524545799,4.5681367,6.742072,5.473145
android.sensor.accelerometer,1538922841625,2591854544266166,4.663905,6.789956,5.521029
android.sensor.accelerometer,1538922841645,2591854564328095,4.8602295,6.8282633,5.449203
android.sensor.accelerometer,1538922841666,2591854584240597,4.5202527,6.751649,5.8705826
android.sensor.accelerometer,1538922841686,2591854604290286,4.6160207,6.83784,5.913678
android.sensor.accelerometer,1538922841705,2591854624007997,4.951209,6.9048777,5.6215854
android.sensor.accelerometer,1538922841726,2591854644069717,4.673482,7.120356,5.6790466
android.sensor.accelerometer,1538922841746,2591854663791699,4.5537715,7.374141,5.7125654
android.sensor.accelerometer,1538922841766,2591854683876128,5.195418,7.6853876,5.21936
android.sensor.accelerometer,1538922841786,2591854703554098,6.1195793,8.154651,4.620809
android.sensor.accelerometer,1538922841805,2591854723422798,5.363012,7.015011,6.133945
android.sensor.accelerometer,1538922841826,2591854743331654,4.462792,1.5370775,9.294291
android.sensor.accelerometer,1538922841845,2591854763056813,-2.9831753,-9.9790325,12.105083
android.sensor.accelerometer,1538922841865,2591854782965825,-17.654844,-23.69781,6.6415157
android.sensor.accelerometer,1538922841885,2591854803027650,-26.364948,-23.487118,-6.603208
android.sensor.accelerometer,1538922841904,2591854822507964,-12.186486,-16.323668,-11.348516
android.sensor.accelerometer,1538922841924,2591854842700518,0.21547815,-5.142745,3.916914
android.sensor.accelerometer,1538922841944,2591854862282552,14.915876,5.4779334,9.021352
android.sensor.accelerometer,1538922841966,2591854882514637,24.248474,12.186486,-1.8435353
android.sensor.accelerometer,1538922841985,2591854902202451,25.426422,13.728353,-0.8619126
android.sensor.accelerometer,1538922842004,2591854922268235,21.993137,13.196839,11.975797
android.sensor.accelerometer,1538922842026,2591854941934643,20.384233,14.341269,16.745047
android.sensor.accelerometer,1538922842046,2591854961963291,21.499931,16.146496,10.888829
android.sensor.accelerometer,1538922842066,2591854981623397,22.333113,16.381128,4.817134
android.sensor.accelerometer,1538922842086,2591855001881211,20.96363,16.596605,4.343082
android.sensor.accelerometer,1538922842105,2591855021402776,22.37142,16.01242,3.0597897
android.sensor.accelerometer,1538922842123,2591855041463819,25.833437,16.318878,0.14844051
android.sensor.accelerometer,1538922842143,2591855061466321,29.668947,15.959748,-3.2465374
android.sensor.accelerometer,1538922842165,2591855081519657,28.093563,15.112201,-3.5242648
android.sensor.accelerometer,1538922842186,2591855102103825,23.769634,12.373235,-7.0341644
