Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166369653,1835328238715634,0.08202787,-0.122509144,-0.0031958907
android.sensor.gyroscope,1538166369664,1835328258554542,0.14168449,-0.12783563,-0.05113425
android.sensor.gyroscope,1538166369673,1835328278224075,0.07350549,0.04793836,-0.022371236
android.sensor.gyroscope,1538166369692,1835328298380484,-0.063917816,0.14701098,-0.0042611877
android.sensor.gyroscope,1538166369711,1835328318157100,-0.11824796,0.120378554,-0.05539544
android.sensor.gyroscope,1538166369730,1835328338128561,-0.070309594,0.043677174,-0.088419646
android.sensor.gyroscope,1538166369751,1835328358035229,0.05219955,-0.022371236,-0.07883197
android.sensor.gyroscope,1538166369771,1835328377922106,0.07670138,-0.022371236,-0.028763017
android.sensor.gyroscope,1538166369791,1835328397775754,0.017044751,-0.009587673,-0.033024207
android.sensor.gyroscope,1538166369811,1835328417444506,-0.026632423,0.043677174,-0.018110048
android.sensor.gyroscope,1538166369831,1835328437322216,0.0031958907,-0.04154658,-0.012783563
android.sensor.gyroscope,1538166369850,1835328457301958,0.046873067,-0.11185618,-0.02769772
android.sensor.gyroscope,1538166369871,1835328477185085,0.046873067,-0.08096257,0.012783563
android.sensor.gyroscope,1538166369891,1835328497032222,0.04261188,-0.012783563,0.046873067
android.sensor.gyroscope,1538166369911,1835328517035922,-0.009587673,0.06178722,0.029828314
android.sensor.gyroscope,1538166369931,1835328536983528,-0.1043991,0.15553336,-0.091615535
android.sensor.gyroscope,1538166369951,1835328556882072,-0.15020686,0.1384886,-0.23649593
android.sensor.gyroscope,1538166369971,1835328576769522,-0.063917816,0.043677174,-0.2119941
android.sensor.gyroscope,1538166369992,1835328596702753,-0.033024207,0.42079228,-0.23649593
android.sensor.gyroscope,1538166370010,1835328616563901,-0.10120321,0.6626147,-0.4836448
android.sensor.gyroscope,1538166370030,1835328636475049,0.0010652969,0.49216717,-0.7851238
android.sensor.gyroscope,1538166370051,1835328656529738,0.19281875,0.88739234,0.053264845
android.sensor.gyroscope,1538166370072,1835328676453959,-0.063917816,1.8344413,1.8887714
android.sensor.gyroscope,1538166370092,1835328696132815,-0.88313115,1.460522,3.892595
android.sensor.gyroscope,1538166370111,1835328716229848,-1.5297664,0.85756403,4.814077
android.sensor.gyroscope,1538166370130,1835328736128861,-1.036534,-0.47405714,5.331811
android.sensor.gyroscope,1538166370151,1835328756015477,-0.23436533,-0.50814664,5.1965184
android.sensor.gyroscope,1538166370170,1835328775476833,-0.68498594,0.9236124,4.520055
android.sensor.gyroscope,1538166370190,1835328795771158,-1.9196651,0.88419646,3.6284013
android.sensor.gyroscope,1538166370214,1835328817455223,-2.2808008,0.3057402,3.35462
android.sensor.gyroscope,1538166370232,1835328837237412,-1.6597326,-0.2098635,3.307747
android.sensor.gyroscope,1538166370251,1835328857176529,-1.4179102,0.26525894,2.6525893
android.sensor.gyroscope,1538166370274,1835328877408979,-1.7374994,0.72759783,1.521244
android.sensor.gyroscope,1538166370293,1835328896902783,-1.4253674,0.25460598,1.0056403
android.sensor.gyroscope,1538166370312,1835328916796899,-0.975812,0.33769912,0.57739097
android.sensor.gyroscope,1538166370333,1835328936693256,-0.46020827,0.16725162,-0.36220095
android.sensor.gyroscope,1538166370351,1835328956601122,0.4868407,-1.1633042,-1.8738573
android.sensor.gyroscope,1538166370373,1835328976477270,0.66368,-1.7822418,-3.278984
android.sensor.gyroscope,1538166370393,1835328996378730,-0.19707993,-0.7840586,-4.0736957
android.sensor.gyroscope,1538166370413,1835329016284357,-1.1601083,-0.81601745,-5.3105054
android.sensor.gyroscope,1538166370432,1835329036936755,-1.287944,-1.890902,-6.263946
android.sensor.gyroscope,1538166370452,1835329056027486,-0.6189375,-3.907509,-6.165939
android.sensor.gyroscope,1538166370473,1835329075931551,-0.32811147,-3.6848621,-5.101707
android.sensor.gyroscope,1538166370492,1835329095807959,0.38670278,-2.866714,-4.2782326
android.sensor.gyroscope,1538166370512,1835329115704471,1.7556094,-2.9316971,-3.856375
android.sensor.gyroscope,1538166370533,1835329135483067,2.2957149,-2.6067817,-3.4696722
android.sensor.gyroscope,1538166370552,1835329155072652,1.3433394,-0.75209963,-2.3436532
android.sensor.gyroscope,1538166370571,1835329175355727,0.6498311,0.14594568,-1.2389404
android.sensor.gyroscope,1538166370591,1835329195165938,0.96302843,-0.6072193,-1.0972558
android.sensor.gyroscope,1538166370612,1835329215139533,0.0085223755,0.064983115,-0.9534408
android.sensor.gyroscope,1538166370631,1835329235050473,-0.70735717,1.4988728,-0.12463974
android.sensor.gyroscope,1538166370651,1835329254906881,0.25141007,1.4072572,0.98539966
android.sensor.gyroscope,1538166370669,1835329274796518,0.9949873,-0.07457078,2.1774669
android.sensor.gyroscope,1538166370691,1835329294715427,-0.64770055,0.9406572,4.3698483
android.sensor.gyroscope,1538166370710,1835329314576210,-2.3734815,1.2708993,6.1893754
android.sensor.gyroscope,1538166370730,1835329334470535,-2.418224,-0.27058542,7.0192413
android.sensor.gyroscope,1538166370751,1835329354349495,-1.0578399,-1.1537166,8.095191
android.sensor.gyroscope,1538166370771,1835329374240330,-1.1665001,-0.6359823,8.411585
android.sensor.gyroscope,1538166370791,1835329394656843,-2.453379,0.08096257,6.213877
android.sensor.gyroscope,1538166370811,1835329414030855,-2.6376753,1.4328244,3.9756882
android.sensor.gyroscope,1538166370831,1835329433666951,-1.4029961,1.550007,2.6355445
android.sensor.gyroscope,1538166370851,1835329453808099,0.23756121,0.95024484,2.1902504
android.sensor.gyroscope,1538166370870,1835329473684194,0.2737813,0.87993526,1.697018
android.sensor.gyroscope,1538166370891,1835329493811020,-0.71161836,1.2719646,0.67539823
android.sensor.gyroscope,1538166370909,1835329513468209,-0.7595567,1.3294905,-0.14168449
android.sensor.gyroscope,1538166370927,1835329533346492,-0.28123838,1.1590431,-0.25247538
android.sensor.gyroscope,1538166370952,1835329553230140,0.0692443,0.9715508,-0.175774
android.sensor.gyroscope,1538166370966,1835329571248944,0.3185238,0.7563608,-0.25354066
android.sensor.gyroscope,1538166370992,1835329593030665,0.5592809,0.35580918,-0.56354207
android.sensor.gyroscope,1538166371008,1835329612906083,0.29615256,0.556085,-0.9108289
