Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538165867713,1834826300903600,0.023436533,-0.0042611877,-0.033024207
android.sensor.gyroscope,1538165867724,1834826320794592,0.034089502,-0.11505207,-0.043677174
android.sensor.gyroscope,1538165867734,1834826340649334,-0.019175345,-0.14914156,-0.09374613
android.sensor.gyroscope,1538165867754,1834826360629127,-0.0074570784,-0.07670138,-0.13316211
android.sensor.gyroscope,1538165867774,1834826380658348,-0.05539544,0.16618632,-0.17044751
android.sensor.gyroscope,1538165867793,1834826400303454,-0.13422741,0.25034478,-0.19707993
android.sensor.gyroscope,1538165867813,1834826420364758,-0.063917816,0.036220096,-0.21305938
android.sensor.gyroscope,1538165867835,1834826440111687,0.036220096,-0.31319728,-0.23543063
android.sensor.gyroscope,1538165867854,1834826460191377,0.07776668,-0.44635943,-0.3185238
android.sensor.gyroscope,1538165867874,1834826479919556,-0.03728539,-0.29828313,-0.4932325
android.sensor.gyroscope,1538165867893,1834826499950391,-0.22903883,-0.13103153,-0.67326766
android.sensor.gyroscope,1538165867912,1834826519659403,-0.3057402,-0.25673655,-0.84584576
android.sensor.gyroscope,1538165867934,1834826539834197,-0.25460598,-0.51666903,-0.9044371
android.sensor.gyroscope,1538165867955,1834826559531230,-0.10013791,-0.75742614,-0.91615534
android.sensor.gyroscope,1538165867975,1834826579598159,0.025567126,-1.1867408,-0.8564987
android.sensor.gyroscope,1538165867996,1834826599300557,0.21518998,-1.9004897,-0.7989727
android.sensor.gyroscope,1538165868014,1834826619406861,0.36220095,-2.6770911,-0.78618914
android.sensor.gyroscope,1538165868033,1834826639286811,0.53690964,-3.4004278,-0.6999001
android.sensor.gyroscope,1538165868053,1834826659283480,0.6498311,-4.4039373,-0.58058685
android.sensor.gyroscope,1538165868072,1834826679009524,-0.16618632,-4.3144526,-0.43251055
android.sensor.gyroscope,1538165868093,1834826698863900,-2.0038235,-3.106406,-0.6200028
android.sensor.gyroscope,1538165868112,1834826718787027,-3.2150662,-2.7388785,-0.8437152
android.sensor.gyroscope,1538165868133,1834826738891040,-3.509088,-3.2161314,-0.886327
