Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538165682653,1834641217959538,0.028763017,-0.113986775,0.02769772
android.sensor.gyroscope,1538165682653,1834641237906154,0.08628905,-0.117182665,0.02769772
android.sensor.gyroscope,1538165682653,1834641257961625,0.036220096,0.0,0.0010652969
android.sensor.gyroscope,1538165682671,1834641277409960,-0.028763017,0.05539544,-0.0074570784
android.sensor.gyroscope,1538165682691,1834641297764494,-0.039415985,-0.012783563,-0.005326485
android.sensor.gyroscope,1538165682711,1834641317342048,0.0021305939,-0.045807768,0.01065297
android.sensor.gyroscope,1538165682730,1834641337256477,0.05113425,-0.046873067,0.025567126
android.sensor.gyroscope,1538165682749,1834641357131218,0.033024207,0.0031958907,0.04793836
android.sensor.gyroscope,1538165682770,1834641377043772,-0.0063917814,0.05646074,0.039415985
android.sensor.gyroscope,1538165682789,1834641396910545,-0.011718267,0.019175345,0.036220096
android.sensor.gyroscope,1538165682810,1834641417095651,0.03835069,-0.058591332,0.035154797
android.sensor.gyroscope,1538165682829,1834641436755289,0.05219955,-0.09907261,0.057526033
android.sensor.gyroscope,1538165682849,1834641456820655,0.009587673,-0.07670138,0.059656627
android.sensor.gyroscope,1538165682871,1834641476539980,-0.09374613,-0.022371236,0.057526033
android.sensor.gyroscope,1538165682891,1834641496608159,-0.09587672,-0.015979454,0.057526033
android.sensor.gyroscope,1538165682911,1834641516316078,-0.04793836,-0.09694202,0.068179004
android.sensor.gyroscope,1538165682930,1834641536375819,-0.067113705,-0.19601464,0.10866029
android.sensor.gyroscope,1538165682950,1834641556078373,-0.1022685,-0.14807628,0.17683929
android.sensor.gyroscope,1538165682970,1834641576201605,-0.19281875,-0.1054644,0.21518998
android.sensor.gyroscope,1538165682990,1834641595858638,-0.23223473,-0.1374233,0.29508725
android.sensor.gyroscope,1538165683009,1834641615966765,-0.1374233,-0.24075711,0.35580918
android.sensor.gyroscope,1538165683029,1834641635670205,0.02130594,-0.24821419,0.49642837
android.sensor.gyroscope,1538165683051,1834641655884061,0.17151281,-0.18536167,0.6572882
android.sensor.gyroscope,1538165683070,1834641675601667,0.3494174,-0.122509144,0.8234745
android.sensor.gyroscope,1538165683091,1834641695325627,0.49429777,-0.09800732,0.8735435
android.sensor.gyroscope,1538165683110,1834641715428806,0.9491796,-0.31106672,0.907633
android.sensor.gyroscope,1538165683128,1834641735285423,1.4413468,-0.3142626,0.98966086
android.sensor.gyroscope,1538165683150,1834641755220841,1.6544062,0.0031958907,1.0642316
android.sensor.gyroscope,1538165683169,1834641774852718,1.9313834,0.409074,1.162239
android.sensor.gyroscope,1538165683192,1834641796112408,2.992419,0.16299044,1.219765
android.sensor.gyroscope,1538165683213,1834641816739389,4.011908,0.13635801,1.3124459
android.sensor.gyroscope,1538165683233,1834641836459860,4.0981975,0.789385,1.4189755
android.sensor.gyroscope,1538165683251,1834641856587154,3.8116324,1.6224473,1.5127217
android.sensor.gyroscope,1538165683272,1834641876159395,4.0204306,1.7343034,1.6767774
android.sensor.gyroscope,1538165683291,1834641895290334,4.3900886,1.3603842,1.8536167
android.sensor.gyroscope,1538165683312,1834641916040597,4.366652,1.2048508,1.9473628
android.sensor.gyroscope,1538165683332,1834641936098568,4.2004657,1.3912778,1.9835829
android.sensor.gyroscope,1538165683351,1834641955789611,3.8670278,2.1316593,2.1188755
android.sensor.gyroscope,1538165683360,1834641965947581,3.7029722,2.478946,2.142312
android.sensor.gyroscope,1538165683382,1834641983755395,3.3919055,2.8965423,2.0901127
android.sensor.gyroscope,1538165683399,1834642003810710,2.988158,2.8677793,2.1050267
android.sensor.gyroscope,1538165683420,1834642023593212,2.7250295,2.5780187,2.091178
android.sensor.gyroscope,1538165683440,1834642043632901,2.4491177,2.3308697,2.1753364
android.sensor.gyroscope,1538165683460,1834642063684882,2.0517619,2.5567126,2.2701478
android.sensor.gyroscope,1538165683477,1834642083419780,1.6192514,2.8837588,2.360698
android.sensor.gyroscope,1538165683497,1834642103105407,1.4786321,2.8890853,2.3287392
android.sensor.gyroscope,1538165683520,1834642123164003,1.4413468,2.8613875,2.575888
android.sensor.gyroscope,1538165683538,1834642142903224,1.5521376,2.389461,2.4661624
android.sensor.gyroscope,1538165683560,1834642162953434,1.3284253,2.7782943,2.4661624
android.sensor.gyroscope,1538165683581,1834642182725467,0.8064298,3.3429017,2.4650972
android.sensor.gyroscope,1538165683598,1834642202908073,0.8905882,3.0254433,2.2808008
android.sensor.gyroscope,1538165683617,1834642222494325,0.83306223,2.9125218,2.3255432
android.sensor.gyroscope,1538165683637,1834642242571306,0.7244019,2.787882,2.418224
android.sensor.gyroscope,1538165683657,1834642262276725,0.75742614,2.633414,2.3883958
android.sensor.gyroscope,1538165683676,1834642282343446,0.986465,2.3404574,2.2509725
android.sensor.gyroscope,1538165683697,1834642302052875,1.4040613,1.8280495,2.24245
android.sensor.gyroscope,1538165683716,1834642322103710,1.2911398,1.804613,2.2040994
android.sensor.gyroscope,1538165683736,1834642341754285,0.9449184,2.012346,2.0965044
android.sensor.gyroscope,1538165683756,1834642361840798,0.95450604,1.8312454,2.0656106
android.sensor.gyroscope,1538165683776,1834642381559706,1.1270841,1.6448184,2.2200787
android.sensor.gyroscope,1538165683796,1834642401925489,1.2325486,1.6650591,2.1071572
android.sensor.gyroscope,1538165683816,1834642421470074,1.0099015,1.8600085,1.7012792
android.sensor.gyroscope,1538165683836,1834642442191743,0.98433435,1.5276358,1.4860892
android.sensor.gyroscope,1538165683860,1834642461261224,1.0834069,0.85543346,1.5084604
android.sensor.gyroscope,1538165683876,1834642482166226,0.7467731,0.6977695,1.4967422
android.sensor.gyroscope,1538165683896,1834642502177582,0.37498453,0.96409374,1.0812764
android.sensor.gyroscope,1538165683916,1834642522171334,0.24608359,0.9055024,0.7723403
android.sensor.gyroscope,1538165683936,1834642542215503,0.039415985,0.61041516,0.7222713
android.sensor.gyroscope,1538165683956,1834642562180401,-0.21625528,0.25034478,0.692443
android.sensor.gyroscope,1538165683976,1834642582176444,-0.37285393,-0.05539544,0.506016
android.sensor.gyroscope,1538165683996,1834642602176967,-0.68498594,-0.26312834,0.26632422
android.sensor.gyroscope,1538165684016,1834642622146084,-0.9395919,-0.78725445,0.15127216
android.sensor.gyroscope,1538165684036,1834642642185878,-1.5041993,-1.104713,0.053264845
android.sensor.gyroscope,1538165684056,1834642661921765,-1.7705235,-1.366776,-0.12463974
android.sensor.gyroscope,1538165684076,1834642681987861,-1.9068816,-1.3156418,-0.25673655
android.sensor.gyroscope,1538165684096,1834642701729373,-2.4310076,-1.5148523,-0.47725302
android.sensor.gyroscope,1538165684114,1834642720049219,-2.9285014,-1.6895609,-0.88419646
android.sensor.gyroscope,1538165684134,1834642739773439,-3.565549,-2.1998382,-1.248528
android.sensor.gyroscope,1538165684154,1834642759819118,-3.8798115,-2.9466114,-1.765197
android.sensor.gyroscope,1538165684175,1834642781273756,-4.1812906,-3.3066816,-2.2882578
android.sensor.gyroscope,1538165684195,1834642801296675,-4.562667,-3.310943,-2.6280875
android.sensor.gyroscope,1538165684213,1834642818890843,-4.204727,-4.4465494,-2.6685688
android.sensor.gyroscope,1538165684234,1834642839134178,-4.0843487,-5.7771053,-2.4650972
android.sensor.gyroscope,1538165684252,1834642858942566,-4.745898,-6.4045653,-2.694136
android.sensor.gyroscope,1538165684274,1834642878918037,-6.3012314,-6.469548,-3.5516999
android.sensor.gyroscope,1538165684292,1834642898605122,-7.6147423,-6.263946,-4.5967565
android.sensor.gyroscope,1538165684310,1834642918492103,-7.584914,-6.058344,-5.5480666
android.sensor.gyroscope,1538165684330,1834642938206480,-6.902059,-5.7376895,-6.6346693
android.sensor.gyroscope,1538165684350,1834642958278357,-5.5310216,-5.786693,-7.2994146
android.sensor.gyroscope,1538165684370,1834642978119869,-4.4113946,-5.8069334,-7.257868
android.sensor.gyroscope,1538165684390,1834642998147371,-3.5133493,-6.5739474,-6.777419
android.sensor.gyroscope,1538165684410,1834643017803207,-3.164997,-6.6112328,-6.207485
android.sensor.gyroscope,1538165684431,1834643038064042,-2.571627,-5.707861,-5.805868
android.sensor.gyroscope,1538165684450,1834643057801231,-1.0099015,-5.502259,-4.655348
android.sensor.gyroscope,1538165684473,1834643079049827,-0.19388404,-5.5981355,-3.4323866
android.sensor.gyroscope,1538165684493,1834643099308111,0.16725162,-5.1240783,-2.898673
android.sensor.gyroscope,1538165684513,1834643119373113,0.36007038,-4.1440053,-2.5162313
android.sensor.gyroscope,1538165684534,1834643139127073,0.5827174,-3.8073711,-1.8418984
android.sensor.gyroscope,1538165684552,1834643157178220,0.60082746,-3.6284013,-1.191002
android.sensor.gyroscope,1538165684574,1834643178954733,0.5539544,-3.15754,-0.7755362
android.sensor.gyroscope,1538165684593,1834643197331974,0.5518238,-2.6312835,-0.47405714
android.sensor.gyroscope,1538165684613,1834643218779320,0.81708276,-2.7271602,-0.02130594
android.sensor.gyroscope,1538165684633,1834643238830833,0.88419646,-2.5961287,0.35687447
android.sensor.gyroscope,1538165684653,1834643256669949,0.52945256,-2.216883,0.5731298
android.sensor.gyroscope,1538165684674,1834643278594274,0.4154658,-2.1039615,0.74783844
android.sensor.gyroscope,1538165684693,1834643298325839,0.43677175,-1.8813144,0.74038136
android.sensor.gyroscope,1538165684712,1834643318397612,-0.012783563,-1.6203166,0.692443
android.sensor.gyroscope,1538165684733,1834643338131311,-0.409074,-1.4488038,0.624264
android.sensor.gyroscope,1538165684754,1834643358154022,-0.574195,-1.09406,0.57099915
