Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538165963653,1834922246667534,0.78529817,2.528277,9.830592
android.sensor.accelerometer,1538165963664,1834922266533370,1.0055647,2.7150247,9.610326
android.sensor.accelerometer,1538165963679,1834922286264674,1.1013328,2.791639,9.050082
android.sensor.accelerometer,1538165963699,1834922306292592,1.1540052,2.6527755,9.102755
android.sensor.accelerometer,1538165963722,1834922326291344,1.1875241,2.4947581,9.624691
android.sensor.accelerometer,1538165963739,1834922346073586,1.0726024,2.3558946,9.773131
android.sensor.accelerometer,1538165963761,1834922365977494,1.1013328,2.384625,9.23683
android.sensor.accelerometer,1538165963780,1834922385972444,1.6376339,2.4851813,8.7292595
android.sensor.accelerometer,1538165963799,1834922405764373,1.5658079,2.4468741,8.810662
android.sensor.accelerometer,1538165963819,1834922425661979,1.7477672,2.4947581,9.23683
android.sensor.accelerometer,1538165963839,1834922445560314,1.6711528,2.4899697,9.394848
android.sensor.accelerometer,1538165963859,1834922465490889,1.8818425,2.4229321,9.509769
android.sensor.accelerometer,1538165963880,1834922485356204,2.255338,2.5330653,8.791509
android.sensor.accelerometer,1538165963899,1834922505246258,2.681506,2.6862943,8.1642275
android.sensor.accelerometer,1538165963918,1834922524938239,3.0885203,2.719813,7.8050976
android.sensor.accelerometer,1538165963938,1834922545056262,3.5529952,2.873042,7.5800424
android.sensor.accelerometer,1538165963959,1834922564998503,4.55856,2.8443117,7.9104424
android.sensor.accelerometer,1538165963979,1834922584906578,5.3342814,2.815581,7.4986396
android.sensor.accelerometer,1538165963998,1834922604764809,5.8322754,2.3558946,7.2209125
android.sensor.accelerometer,1538165964018,1834922624590020,5.971139,2.0207062,8.566454
android.sensor.accelerometer,1538165964039,1834922644535282,5.6982,1.6663644,9.911995
android.sensor.accelerometer,1538165964061,1834922664620388,6.435614,1.2976574,9.873688
android.sensor.accelerometer,1538165964079,1834922684157005,7.019799,1.4939818,9.648633
android.sensor.accelerometer,1538165964099,1834922704148049,7.9248075,1.0965444,8.66701
android.sensor.accelerometer,1538165964118,1834922724113623,8.748413,1.283292,8.619126
android.sensor.accelerometer,1538165964139,1834922743765813,9.959879,1.0773908,10.160992
android.sensor.accelerometer,1538165964159,1834922764459721,11.602302,0.5650316,13.120225
android.sensor.accelerometer,1538165964180,1834922783752379,12.483368,1.1971009,17.03714
android.sensor.accelerometer,1538165964202,1834922803714777,12.282255,1.8722657,13.369223
android.sensor.accelerometer,1538165964217,1834922823543842,9.969456,2.528277,9.768343
android.sensor.accelerometer,1538165964240,1834922843426500,7.752425,2.5139117,10.0029745
android.sensor.accelerometer,1538165964260,1834922863299210,6.4499793,2.2649148,13.057976
android.sensor.accelerometer,1538165964280,1834922883214629,5.9424086,2.0207062,12.89517
android.sensor.accelerometer,1538165964299,1834922903099318,5.535394,2.2744915,11.238382
android.sensor.accelerometer,1538165964320,1834922922998904,4.936844,2.1691468,10.740389
android.sensor.accelerometer,1538165964339,1834922942940104,4.357447,2.5761611,10.299856
android.sensor.accelerometer,1538165964360,1834922962759689,4.4963107,3.0023289,10.840945
android.sensor.accelerometer,1538165964380,1834922982729430,4.429273,2.8299465,9.80665
android.sensor.accelerometer,1538165964400,1834923002526047,4.0940847,2.7006595,8.6334915
android.sensor.accelerometer,1538165964420,1834923022510580,4.8937483,2.944868,8.355764
android.sensor.accelerometer,1538165964438,1834923042338916,4.1611223,3.0262709,8.662222
android.sensor.accelerometer,1538165964456,1834923062270480,3.064578,3.323152,6.363788
android.sensor.accelerometer,1538165964476,1834923082187826,3.9839516,3.0310593,6.9048777
android.sensor.accelerometer,1538165964496,1834923102181213,3.8738184,3.3806129,8.710106
android.sensor.accelerometer,1538165964516,1834923121839340,3.6870706,3.1842883,12.301409
android.sensor.accelerometer,1538165964537,1834923142183092,2.5330653,3.0071173,14.211981
android.sensor.accelerometer,1538165964558,1834923161417105,0.047884032,3.1890767,12.785037
android.sensor.accelerometer,1538165964577,1834923182181117,-1.460463,3.4332852,11.36767
android.sensor.accelerometer,1538165964598,1834923202184661,-2.6671407,4.209007,9.706094
android.sensor.accelerometer,1538165964618,1834923221248308,-3.2034419,4.654328,8.2169
android.sensor.accelerometer,1538165964638,1834923242194456,-2.7820623,4.9176903,7.465121
android.sensor.accelerometer,1538165964655,1834923261398989,-3.1268275,4.984728,7.608773
android.sensor.accelerometer,1538165964675,1834923281006231,-4.6782703,4.7548847,6.564901
android.sensor.accelerometer,1538165964695,1834923300881806,-4.6351743,5.0038815,5.12838
android.sensor.accelerometer,1538165964716,1834923322185818,-3.9217024,4.9081135,5.0374002
android.sensor.accelerometer,1538165964740,1834923342174987,-5.2528787,4.6160207,4.8267107
android.sensor.accelerometer,1538165964756,1834923360558426,-6.019023,4.414908,4.4005427
android.sensor.accelerometer,1538165964775,1834923380545251,-6.540959,4.462792,4.525041
android.sensor.accelerometer,1538165964794,1834923400582649,-7.043741,4.3718123,4.4196963
android.sensor.accelerometer,1538165964815,1834923421806245,-6.9862804,4.0940847,3.8402996
android.sensor.accelerometer,1538165964835,1834923441789268,-6.5026517,4.146757,3.9743748
android.sensor.accelerometer,1538165964855,1834923461638801,-7.4363904,4.2664676,3.8786068
android.sensor.accelerometer,1538165964872,1834923479785834,-7.85777,4.31914,3.5098996
android.sensor.accelerometer,1538165964893,1834923499720263,-7.642292,4.5633483,3.0502129
android.sensor.accelerometer,1538165964914,1834923521310370,-8.020576,4.620809,2.6527755
android.sensor.accelerometer,1538165964936,1834923541866570,-8.317456,4.7165775,2.5139117
android.sensor.accelerometer,1538165964955,1834923561337717,-8.839393,4.697424,2.1164744
android.sensor.accelerometer,1538165964975,1834923581211001,-8.820239,4.673482,2.4229321
android.sensor.accelerometer,1538165964995,1834923601135325,-8.724471,4.6016555,2.0111294
android.sensor.accelerometer,1538165965013,1834923619314598,-8.623915,4.7022123,2.5617957
android.sensor.accelerometer,1538165965035,1834923640906684,-9.021352,4.5058875,2.815581
android.sensor.accelerometer,1538165965055,1834923660788352,-9.423578,4.189853,2.6192567
android.sensor.accelerometer,1538165965074,1834923680744292,-9.126697,4.381389,2.6192567
android.sensor.accelerometer,1538165965098,1834923700582992,-8.896853,4.2042184,2.0398598
android.sensor.accelerometer,1538165965114,1834923720448723,-9.356541,4.6255975,2.8491
android.sensor.accelerometer,1538165965134,1834923740338204,-9.428367,4.175488,3.1172507
android.sensor.accelerometer,1538165965154,1834923760241956,-9.016563,4.0653543,2.552219
android.sensor.accelerometer,1538165965174,1834923780143885,-9.035717,3.845088,1.8579005
android.sensor.accelerometer,1538165965194,1834923800005189,-7.800309,3.8307228,2.303222
android.sensor.accelerometer,1538165965214,1834923819896076,-7.029376,3.4763808,3.4093432
android.sensor.accelerometer,1538165965234,1834923839782537,-7.1586633,2.906561,3.9121256
android.sensor.accelerometer,1538165965254,1834923859674570,-6.4260373,2.8778305,4.6112323
android.sensor.accelerometer,1538165965274,1834923879582957,-5.463568,2.4660277,4.237737
android.sensor.accelerometer,1538165965294,1834923899459991,-4.3239284,1.757344,5.4300494
android.sensor.accelerometer,1538165965314,1834923919342180,-4.711789,1.0342951,5.9902925
android.sensor.accelerometer,1538165965334,1834923939240047,-5.741296,-0.14844051,5.841852
android.sensor.accelerometer,1538165965353,1834923957296194,-5.947197,-1.9393034,6.0860605
android.sensor.accelerometer,1538165965371,1834923977121613,-5.2959743,-4.3957543,5.0996494
android.sensor.accelerometer,1538165965391,1834923997216823,-5.837064,-6.9527617,6.081272
android.sensor.accelerometer,1538165965412,1834924017101252,-7.16824,-9.260772,6.5744777
android.sensor.accelerometer,1538165965434,1834924038678338,-6.7229185,-12.564771,8.805874
android.sensor.accelerometer,1538165965453,1834924058569277,-7.493851,-15.179238,9.394848
android.sensor.accelerometer,1538165965474,1834924078466519,-9.911995,-17.056293,8.801085
android.sensor.accelerometer,1538165965490,1834924096426052,-12.191275,-17.362751,10.70687
android.sensor.accelerometer,1538165965514,1834924118244700,-11.15698,-16.630125,10.702082
android.sensor.accelerometer,1538165965537,1834924138136473,-9.308656,-15.964537,11.765107
android.sensor.accelerometer,1538165965554,1834924158006475,-6.885724,-16.22311,14.901511
android.sensor.accelerometer,1538165965572,1834924177917206,-6.291962,-16.515203,19.891027
android.sensor.accelerometer,1538165965594,1834924198478041,-7.9726915,-15.643714,21.811178
android.sensor.accelerometer,1538165965614,1834924217675387,-10.453085,-14.283808,20.460848
android.sensor.accelerometer,1538165965632,1834924236356118,-8.336611,-13.283031,17.223886
android.sensor.accelerometer,1538165965652,1834924257455287,-1.508347,-12.847286,12.133814
android.sensor.accelerometer,1538165965672,1834924277353414,2.4277205,-13.177686,9.457097
android.sensor.accelerometer,1538165965692,1834924297294666,6.1243677,-13.139379,12.952631
android.sensor.accelerometer,1538165965712,1834924317134355,15.8783455,-10.658986,3.3279405
android.sensor.accelerometer,1538165965732,1834924337015972,19.196709,-8.231265,1.5562311
android.sensor.accelerometer,1538165965752,1834924356913213,14.207192,-9.639056,5.995081
android.sensor.accelerometer,1538165965771,1834924376794934,14.762648,-13.053187,-4.7070007
android.sensor.accelerometer,1538165965791,1834924395110977,29.65937,-14.887146,-20.326773
android.sensor.accelerometer,1538165965810,1834924414731761,45.93994,-8.6574335,-13.55597
android.sensor.accelerometer,1538165965833,1834924436461607,51.116207,6.4643445,2.030283
android.sensor.accelerometer,1538165965852,1834924456347025,32.642548,7.680599,-18.38268
android.sensor.accelerometer,1538165965870,1834924476241038,28.67296,11.042058,-11.291056
android.sensor.accelerometer,1538165965888,1834924494209112,27.178978,8.293514,12.962208
android.sensor.accelerometer,1538165965908,1834924514104531,14.595054,8.695741,21.212627
android.sensor.accelerometer,1538165965931,1834924535903075,10.19451,8.724471,3.691859
android.sensor.accelerometer,1538165965951,1834924555787348,12.880805,10.414778,-8.365341
android.sensor.accelerometer,1538165965967,1834924573888756,18.171991,10.553641,-8.623915
android.sensor.accelerometer,1538165965990,1834924595564435,10.903194,9.040505,-3.3518825
android.sensor.accelerometer,1538165966010,1834924615871677,7.4363904,8.7053175,-0.8714894
android.sensor.accelerometer,1538165966031,1834924635365012,9.198523,9.313444,-0.7661445
android.sensor.accelerometer,1538165966050,1834924655135430,10.649409,8.834604,0.91937345
android.sensor.accelerometer,1538165966070,1834924674718453,13.594277,8.892065,3.1411927
android.sensor.accelerometer,1538165966091,1834924695024809,12.98615,7.28795,1.7669208
android.sensor.accelerometer,1538165966111,1834924714837520,8.724471,8.221688,1.2689269
android.sensor.accelerometer,1538165966131,1834924734798615,6.2823853,6.655881,1.7908629
android.sensor.accelerometer,1538165966149,1834924752863305,6.7851677,7.4028716,4.4244847
android.sensor.accelerometer,1538165966171,1834924774573359,8.901642,7.005434,3.9600096
android.sensor.accelerometer,1538165966191,1834924794459871,8.408437,6.05733,2.4037786
android.sensor.accelerometer,1538165966210,1834924814323832,6.6367273,6.3542113,2.1021092
android.sensor.accelerometer,1538165966231,1834924835468313,5.9759274,6.2728086,2.9400797
android.sensor.accelerometer,1538165966249,1834924854131909,6.435614,6.291962,4.050989
android.sensor.accelerometer,1538165966268,1834924874225556,6.4787097,6.1195793,4.6782703
android.sensor.accelerometer,1538165966285,1834924891919569,6.7085533,5.851429,5.8226986
android.sensor.accelerometer,1538165966307,1834924913435925,6.2105594,6.0477533,5.5880666
android.sensor.accelerometer,1538165966331,1834924933533844,6.0477533,6.459556,4.807557
android.sensor.accelerometer,1538165966349,1834924953447439,3.739743,7.422025,1.292869
android.sensor.accelerometer,1538165966367,1834924973304004,5.6359506,6.5026517,2.6048915
android.sensor.accelerometer,1538165966384,1834924991355516,6.7708025,6.6893997,6.1004257
