Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538165973413,1834932012080590,0.07457078,0.15553336,-0.06604841
android.sensor.gyroscope,1538165973424,1834932032144185,0.22797355,-0.08202787,-0.064983115
android.sensor.gyroscope,1538165973450,1834932051855750,0.31106672,-0.16085984,-0.050068956
android.sensor.gyroscope,1538165973465,1834932071957262,0.14381509,-0.11185618,-0.040481284
android.sensor.gyroscope,1538165973484,1834932091773097,-0.1033338,-0.0063917814,-0.089484945
android.sensor.gyroscope,1538165973504,1834932111753933,-0.22371235,0.068179004,-0.1022685
android.sensor.gyroscope,1538165973525,1834932131414560,-0.20134112,-0.009587673,-0.09374613
android.sensor.gyroscope,1538165973544,1834932151311124,-0.1054644,-0.12890093,-0.094811425
android.sensor.gyroscope,1538165973565,1834932171386647,-0.05539544,-0.21625528,-0.10759499
android.sensor.gyroscope,1538165973584,1834932191251701,-0.10972559,-0.14274979,-0.117182665
android.sensor.gyroscope,1538165973604,1834932211164255,-0.2109288,-0.031958908,-0.07989727
android.sensor.gyroscope,1538165973624,1834932230869205,-0.19707993,-0.0042611877,-0.07670138
android.sensor.gyroscope,1538165973644,1834932250756707,-0.12463974,-0.12890093,-0.1022685
android.sensor.gyroscope,1538165973663,1834932270798949,-0.04900366,-0.22264706,-0.14701098
android.sensor.gyroscope,1538165973683,1834932290758378,0.019175345,-0.29721785,-0.21625528
android.sensor.gyroscope,1538165973704,1834932310637286,0.0021305939,-0.43996763,-0.28336897
android.sensor.gyroscope,1538165973723,1834932330305882,0.07244019,-0.68924713,-0.42931467
android.sensor.gyroscope,1538165973743,1834932350202654,0.15979454,-0.89165354,-0.64876586
android.sensor.gyroscope,1538165973763,1834932370327396,0.4506206,-1.3177723,-0.92574304
android.sensor.gyroscope,1538165973783,1834932390187346,0.92680836,-1.3465353,-1.4370855
android.sensor.gyroscope,1538165973803,1834932410102140,1.1132354,-1.1036476,-1.7928947
android.sensor.gyroscope,1538165973823,1834932429959433,0.8852618,-0.90869826,-1.8770531
android.sensor.gyroscope,1538165973847,1834932449646779,1.0237503,-1.5457458,-2.1870546
android.sensor.gyroscope,1538165973863,1834932469998344,1.5585294,-2.5194273,-2.8645835
android.sensor.gyroscope,1538165973884,1834932489835012,1.8110048,-2.2445807,-3.5421124
android.sensor.gyroscope,1538165973904,1834932509605848,1.7172587,-1.747087,-3.98208
android.sensor.gyroscope,1538165973923,1834932529439287,1.9814523,-1.9132733,-4.4050026
android.sensor.gyroscope,1538165973942,1834932549150904,2.3330002,-2.0570884,-4.491292
android.sensor.gyroscope,1538165973965,1834932569246583,2.127398,-2.1550958,-4.408199
android.sensor.gyroscope,1538165973983,1834932589097678,1.6565367,-2.2254052,-4.286755
android.sensor.gyroscope,1538165974005,1834932608752420,1.4583915,-2.0783944,-4.434831
android.sensor.gyroscope,1538165974022,1834932628856224,1.7481523,-1.6874304,-4.767204
android.sensor.gyroscope,1538165974041,1834932648775653,2.3042374,-1.7960906,-4.9951773
android.sensor.gyroscope,1538165974064,1834932668635603,2.5812144,-2.360698,-4.6841106
android.sensor.gyroscope,1538165974087,1834932691433314,2.5588431,-2.780425,-4.1280255
android.sensor.gyroscope,1538165974105,1834932710296493,2.3915915,-2.898673,-3.9192274
android.sensor.gyroscope,1538165974122,1834932728307015,2.389461,-2.7090502,-3.96397
android.sensor.gyroscope,1538165974141,1834932748254830,2.7750986,-2.7090502,-3.9234886
android.sensor.gyroscope,1538165974161,1834932768115457,2.9604602,-3.0648594,-3.6134872
