Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538165799493,1834758080068003,0.50278234,4.1132383,8.805874
android.sensor.accelerometer,1538165799505,1834758099800245,0.4165911,4.0174704,8.887277
android.sensor.accelerometer,1538165799514,1834758119654049,0.31124622,3.9312792,8.825027
android.sensor.accelerometer,1538165799533,1834758139337176,0.2633622,4.012682,8.7532015
android.sensor.accelerometer,1538165799554,1834758159630459,0.38307226,4.0892963,9.050082
android.sensor.accelerometer,1538165799572,1834758179289315,0.35434186,4.098873,9.294291
android.sensor.accelerometer,1538165799592,1834758199409786,0.35913026,4.0414124,9.150639
android.sensor.accelerometer,1538165799612,1834758219072392,0.51714754,4.1180267,9.126697
android.sensor.accelerometer,1538165799632,1834758239209894,0.521936,4.0701427,8.968679
android.sensor.accelerometer,1538165799651,1834758258864844,0.5506664,4.0078936,8.853758
android.sensor.accelerometer,1538165799673,1834758278886565,0.37349546,4.0701427,9.097966
android.sensor.accelerometer,1538165799691,1834758298649848,0.38307226,4.10845,9.107543
android.sensor.accelerometer,1538165799712,1834758318584277,0.31603462,4.0797195,9.141062
android.sensor.accelerometer,1538165799733,1834758338448081,0.35434186,4.0557775,8.954314
android.sensor.accelerometer,1538165799753,1834758358525062,0.34476504,4.0797195,8.767567
android.sensor.accelerometer,1538165799773,1834758378268710,0.34955344,4.1276035,8.901642
android.sensor.accelerometer,1538165799791,1834758398317983,0.4165911,4.146757,8.99741
android.sensor.accelerometer,1538165799811,1834758418015485,0.40222588,4.1659107,9.006987
android.sensor.accelerometer,1538165799831,1834758438077414,0.31603462,4.0940847,9.232041
android.sensor.accelerometer,1538165799851,1834758457858666,0.35434186,4.10845,9.112331
android.sensor.accelerometer,1538165799873,1834758477839084,0.34955344,4.132392,8.63828
android.sensor.accelerometer,1538165799892,1834758497780128,0.36870706,4.084508,8.6334915
android.sensor.accelerometer,1538165799913,1834758517880078,0.4165911,4.060566,8.983045
android.sensor.accelerometer,1538165799932,1834758537261799,1.163582,3.53863,9.035717
