Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538165807633,1834766214755844,0.04261188,-0.034089502,-0.05113425
android.sensor.gyroscope,1538165807633,1834766234837773,0.039415985,-0.08096257,-0.05539544
android.sensor.gyroscope,1538165807647,1834766254325327,0.0042611877,-0.07883197,-0.08415846
android.sensor.gyroscope,1538165807667,1834766274616110,-0.031958908,0.009587673,-0.091615535
android.sensor.gyroscope,1538165807687,1834766294312987,-0.04900366,0.091615535,-0.09907261
android.sensor.gyroscope,1538165807707,1834766314389239,-0.005326485,0.015979454,-0.091615535
android.sensor.gyroscope,1538165807727,1834766334151846,0.05113425,-0.1043991,-0.09587672
android.sensor.gyroscope,1538165807747,1834766354158514,-0.0063917814,-0.15340276,-0.13529271
android.sensor.gyroscope,1538165807768,1834766373699506,-0.10013791,-0.039415985,-0.17151281
android.sensor.gyroscope,1538165807787,1834766393867685,-0.10972559,0.089484945,-0.2087982
android.sensor.gyroscope,1538165807806,1834766413667530,-0.02769772,0.005326485,-0.22158176
android.sensor.gyroscope,1538165807826,1834766433729512,0.014914157,-0.07137489,-0.19921052
android.sensor.gyroscope,1538165807848,1834766453420555,-0.019175345,-0.1043991,-0.19494934
android.sensor.gyroscope,1538165807868,1834766473719984,-0.10759499,-0.09907261,-0.20027582
android.sensor.gyroscope,1538165807888,1834766493415663,-0.14701098,-0.1043991,-0.2109288
android.sensor.gyroscope,1538165807907,1834766513442801,-0.18323107,-0.07457078,-0.2056023
android.sensor.gyroscope,1538165807927,1834766532980928,-0.24927948,-0.09587672,-0.19494934
android.sensor.gyroscope,1538165807948,1834766553233638,-0.2791078,-0.18003519,-0.22584295
android.sensor.gyroscope,1538165807967,1834766572951400,-0.28869548,-0.23649593,-0.27058542
android.sensor.gyroscope,1538165807986,1834766592846454,-0.2119941,-0.33556855,-0.32811147
android.sensor.gyroscope,1538165808008,1834766612549373,0.020240642,-0.5283873,-0.4239882
android.sensor.gyroscope,1538165808027,1834766632805990,0.23116943,-0.67539823,-0.60508865
android.sensor.gyroscope,1538165808046,1834766652223335,0.23649593,-0.8021686,-0.78725445
android.sensor.gyroscope,1538165808067,1834766672633754,0.43783703,-0.9694202,-1.0791458
android.sensor.gyroscope,1538165808086,1834766692334798,0.9822038,-1.4551957,-1.395539
android.sensor.gyroscope,1538165808107,1834766712400633,1.668255,-2.2935843,-1.5340276
android.sensor.gyroscope,1538165808125,1834766732127614,2.2850618,-2.8656487,-1.718324
android.sensor.gyroscope,1538165808146,1834766751814804,2.7452703,-3.2065437,-2.234993
android.sensor.gyroscope,1538165808165,1834766771750639,3.0041373,-3.6241403,-2.81558
android.sensor.gyroscope,1538165808185,1834766791754183,3.3439672,-4.419917,-3.221458
android.sensor.gyroscope,1538165808204,1834766811495591,3.6433156,-5.463908,-3.462215
android.sensor.gyroscope,1538165808227,1834766833349083,3.918162,-6.3385167,-3.5964425
android.sensor.gyroscope,1538165808248,1834766853142210,3.838265,-6.953193,-3.6507726
android.sensor.gyroscope,1538165808270,1834766873230337,3.3013551,-7.31859,-3.5208063
android.sensor.gyroscope,1538165808291,1834766892963255,2.5343413,-7.0991387,-3.1085365
android.sensor.gyroscope,1538165808311,1834766913314091,1.6927568,-6.6101675,-2.6909401
android.sensor.gyroscope,1538165808331,1834766932697478,1.1494554,-6.321472,-2.2701478
android.sensor.gyroscope,1538165808347,1834766952781907,1.0610358,-6.310819,-1.8525513
android.sensor.gyroscope,1538165808369,1834766972519305,1.1515859,-6.3726063,-1.4871545
android.sensor.gyroscope,1538165808388,1834766992580765,1.0162933,-6.391782,-1.2048508
