Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166078132,1835036718242427,6.459556,7.642292,1.1300632
android.sensor.accelerometer,1538166078132,1835036738159669,6.339846,7.575254,1.1971009
android.sensor.accelerometer,1538166078154,1835036758448733,6.0764837,7.5944076,1.460463
android.sensor.accelerometer,1538166078171,1835036777967225,5.8945246,7.4842744,1.5610195
android.sensor.accelerometer,1538166078191,1835036797942956,5.9280434,7.455544,1.436521
android.sensor.accelerometer,1538166078210,1835036817501083,6.105214,7.551312,1.412579
android.sensor.accelerometer,1538166078238,1835036837765512,6.3685765,7.603985,1.364695
android.sensor.accelerometer,1538166078253,1835036857291764,6.38773,7.627927,1.2306197
android.sensor.accelerometer,1538166078269,1835036877348485,6.3829417,7.5800424,1.316811
android.sensor.accelerometer,1538166078289,1835036897346351,5.9807158,7.422025,1.532289
android.sensor.accelerometer,1538166078310,1835036917121301,5.7508726,7.335834,1.5801731
android.sensor.accelerometer,1538166078330,1835036937062605,5.765238,7.335834,1.9536686
android.sensor.accelerometer,1538166078351,1835036956933232,5.932832,7.455544,1.5658079
android.sensor.accelerometer,1538166078370,1835036977046568,6.3063273,7.795521,1.2593501
android.sensor.accelerometer,1538166078391,1835036997099122,6.9623384,7.843405,0.89064306
android.sensor.accelerometer,1538166078411,1835037016809592,6.847417,7.7811556,1.2976574
android.sensor.accelerometer,1538166078431,1835037036871574,6.6415157,7.881712,0.80924016
android.sensor.accelerometer,1538166078451,1835037056582774,6.4978633,7.8290396,0.6560113
android.sensor.accelerometer,1538166078471,1835037076533869,6.3589997,7.8625584,0.78529817
android.sensor.accelerometer,1538166078491,1835037096357882,6.3446345,7.929596,0.34476504
android.sensor.accelerometer,1538166078511,1835037116414342,6.6510925,7.819463,0.11492168
android.sensor.accelerometer,1538166078531,1835037136131271,6.727707,7.8625584,0.2681506
android.sensor.accelerometer,1538166078551,1835037156219450,5.8562174,7.642292,-0.15801731
android.sensor.accelerometer,1538166078562,1835037167224660,5.554548,7.3549876,0.08140286
android.sensor.accelerometer,1538166078581,1835037185870547,5.209783,7.129933,-0.4261679
android.sensor.accelerometer,1538166078599,1835037205587684,5.377377,7.0581064,-1.292869
android.sensor.accelerometer,1538166078620,1835037225519978,5.291186,6.9383965,-0.9911995
android.sensor.accelerometer,1538166078640,1835037245535292,4.7022123,6.6606693,-1.958457
android.sensor.accelerometer,1538166078660,1835037265444044,3.9552212,6.325481,-1.7956513
android.sensor.accelerometer,1538166078684,1835037285178421,4.036624,5.875371,-1.9632454
android.sensor.accelerometer,1538166078699,1835037305067538,4.232949,5.60722,-1.364695
android.sensor.accelerometer,1538166078724,1835037324929311,3.5625722,5.482722,-1.7190368
