Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166078132,1835036718272947,0.022371236,-0.057526033,0.01384886
android.sensor.gyroscope,1538166078132,1835036738190189,-0.04154658,0.05219955,-0.02450183
android.sensor.gyroscope,1538166078154,1835036758479253,-0.08735435,0.13529271,-0.03835069
android.sensor.gyroscope,1538166078171,1835036777997745,-0.02450183,0.01384886,-0.028763017
android.sensor.gyroscope,1538166078191,1835036797973476,0.045807768,-0.1374233,-0.005326485
android.sensor.gyroscope,1538166078210,1835036817531603,0.046873067,-0.10120321,0.014914157
android.sensor.gyroscope,1538166078238,1835036837796032,0.040481284,-0.07137489,0.034089502
android.sensor.gyroscope,1538166078253,1835036857322284,0.033024207,-0.057526033,0.015979454
android.sensor.gyroscope,1538166078269,1835036877379005,-0.0074570784,-0.011718267,-0.0031958907
android.sensor.gyroscope,1538166078289,1835036897376871,0.0085223755,-0.06285252,-0.033024207
android.sensor.gyroscope,1538166078310,1835036917182342,0.046873067,-0.059656627,0.01384886
android.sensor.gyroscope,1538166078330,1835036937123646,0.116117366,-0.09055024,0.089484945
android.sensor.gyroscope,1538166078351,1835036956963752,0.28976077,-0.29402196,0.1374233
android.sensor.gyroscope,1538166078371,1835036977077088,0.3494174,-0.4548818,0.16405573
android.sensor.gyroscope,1538166078391,1835036997129642,0.29721785,-0.40161693,0.1395539
android.sensor.gyroscope,1538166078411,1835037016840112,0.18110047,-0.14914156,0.04900366
android.sensor.gyroscope,1538166078432,1835037036932615,0.25993246,-0.21945117,-0.0031958907
android.sensor.gyroscope,1538166078451,1835037056613294,0.204537,-0.25247538,-0.022371236
android.sensor.gyroscope,1538166078471,1835037076564389,0.16512102,-0.2759119,-0.044742472
android.sensor.gyroscope,1538166078491,1835037096388402,0.23330003,-0.5241261,-0.07350549
android.sensor.gyroscope,1538166078511,1835037116444862,0.122509144,-0.4527512,-0.063917816
android.sensor.gyroscope,1538166078531,1835037136161791,0.02130594,-0.3163932,-0.1043991
android.sensor.gyroscope,1538166078551,1835037156249970,0.08202787,-0.6881818,-0.19175345
android.sensor.gyroscope,1538166078562,1835037167255180,0.08415846,-0.8714129,-0.17790459
android.sensor.gyroscope,1538166078581,1835037185901067,0.18110047,-1.2400056,-0.13209683
android.sensor.gyroscope,1538166078599,1835037205618204,0.14594568,-1.2645074,-0.005326485
android.sensor.gyroscope,1538166078620,1835037225550498,-0.0021305939,-1.1824796,0.040481284
android.sensor.gyroscope,1538166078640,1835037245565812,0.04261188,-1.4775668,0.012783563
android.sensor.gyroscope,1538166078661,1835037265474564,-0.03728539,-1.6906263,0.057526033
android.sensor.gyroscope,1538166078684,1835037285208941,-0.09055024,-1.7215198,0.2056023
android.sensor.gyroscope,1538166078699,1835037305098058,-0.21838588,-1.2506586,0.3206544
android.sensor.gyroscope,1538166078724,1835037324959831,-0.15553336,-1.0322727,0.33556855
android.sensor.gyroscope,1538166078741,1835037344833999,-0.14807628,-1.0919293,0.4133352
android.sensor.gyroscope,1538166078760,1835037364825251,-0.15340276,-1.2730298,0.54649734
android.sensor.gyroscope,1538166078781,1835037384631972,-0.18110047,-1.2123079,0.7382508
android.sensor.gyroscope,1538166078801,1835037404553485,-0.5241261,-0.5933704,0.98753023
android.sensor.gyroscope,1538166078818,1835037425265726,-0.78299326,-0.37285393,1.0599705
android.sensor.gyroscope,1538166078838,1835037444049322,-0.80323386,-0.5496932,1.11217
android.sensor.gyroscope,1538166078858,1835037464076095,-0.6455699,-0.7009654,1.1920673
android.sensor.gyroscope,1538166078878,1835037483863492,-0.6157416,-0.54117084,1.3998002
android.sensor.gyroscope,1538166078898,1835037503737244,-0.8650211,-0.119313255,1.6022066
android.sensor.gyroscope,1538166078919,1835037523729486,-1.004575,0.036220096,1.6735815
android.sensor.gyroscope,1538166078940,1835037543694905,-0.87460876,-0.07989727,1.6693203
android.sensor.gyroscope,1538166078961,1835037563754854,-0.60402334,-0.2087982,1.7683929
android.sensor.gyroscope,1538166078979,1835037583565586,-0.5475626,0.053264845,1.9686687
android.sensor.gyroscope,1538166079000,1835037603434546,-0.43357584,0.045807768,2.1625528
android.sensor.gyroscope,1538166079019,1835037623395381,-0.26206306,-0.07989727,2.1614876
android.sensor.gyroscope,1538166079038,1835037643239914,-0.47618774,0.4239882,2.1827934
android.sensor.gyroscope,1538166079060,1835037663063302,-0.57206446,0.6125457,2.3393922
android.sensor.gyroscope,1538166079078,1835037683433356,0.05539544,-0.059656627,2.4320729
android.sensor.gyroscope,1538166079099,1835037702967993,0.26206306,0.06285252,2.4299424
android.sensor.gyroscope,1538166079120,1835037722868047,0.10013791,0.7797974,2.4160933
android.sensor.gyroscope,1538166079140,1835037742612320,0.23223473,0.77447087,2.4405954
android.sensor.gyroscope,1538166079157,1835037762515551,1.0035098,-0.24927948,2.3692205
android.sensor.gyroscope,1538166079175,1835037782336595,1.2389404,-0.09055024,2.1998382
android.sensor.gyroscope,1538166079195,1835037802167430,0.800038,1.1079088,2.1263328
android.sensor.gyroscope,1538166079218,1835037821939828,0.88419646,0.8234745,2.0229988
android.sensor.gyroscope,1538166079236,1835037841837538,1.6661245,-0.30680552,1.9079468
android.sensor.gyroscope,1538166079255,1835037861712436,1.7630664,0.57099915,1.8387026
android.sensor.gyroscope,1538166079277,1835037881610980,1.3518618,1.5766394,1.7577399
android.sensor.gyroscope,1538166079296,1835037901501815,1.6948874,0.9619631,1.424302
android.sensor.gyroscope,1538166079315,1835037921377859,2.2765396,0.26419365,1.2240262
android.sensor.gyroscope,1538166079336,1835037941353850,2.4331381,0.6540923,1.1068435
android.sensor.gyroscope,1538166079354,1835037961374686,2.410767,0.96089786,0.8703476
android.sensor.gyroscope,1538166079374,1835037981249323,2.6568506,0.78618914,0.506016
android.sensor.gyroscope,1538166079394,1835038001303544,2.8507347,0.5859133,0.32491556
android.sensor.gyroscope,1538166079416,1835038021094640,2.8390164,0.7222713,0.16299044
android.sensor.gyroscope,1538166079434,1835038041025214,2.6430018,0.7989727,-0.12890093
android.sensor.gyroscope,1538166079455,1835038060813029,2.8528652,0.30467492,-0.46340418
android.sensor.gyroscope,1538166079474,1835038080820010,3.1383648,-0.043677174,-0.70735717
android.sensor.gyroscope,1538166079497,1835038100779908,3.0882957,0.15659864,-0.886327
android.sensor.gyroscope,1538166079514,1835038120295899,3.0574021,0.0063917814,-1.1377372
android.sensor.gyroscope,1538166079534,1835038140172516,2.8826935,-0.3398297,-1.3422742
android.sensor.gyroscope,1538166079553,1835038160439185,2.6195652,-0.2769772,-1.5542682
android.sensor.gyroscope,1538166079575,1835038180159603,2.4619012,0.15233746,-1.9452322
android.sensor.gyroscope,1538166079593,1835038200137262,2.3766775,-0.2109288,-2.1497693
android.sensor.gyroscope,1538166079619,1835038219911118,2.6014552,-0.98539966,-2.3585675
android.sensor.gyroscope,1538166079634,1835038239815703,2.3372614,-0.70735717,-2.382004
android.sensor.gyroscope,1538166079653,1835038259630236,1.8024824,0.031958908,-2.4736195
android.sensor.gyroscope,1538166079673,1835038279661592,1.736434,-0.3142626,-2.622761
android.sensor.gyroscope,1538166079694,1835038299453313,1.9644076,-1.1696961,-2.640871
android.sensor.gyroscope,1538166079711,1835038319322846,1.728977,-1.13028,-2.5556474
android.sensor.gyroscope,1538166079731,1835038339286286,1.366776,-0.39415985,-2.5066438
android.sensor.gyroscope,1538166079752,1835038359105871,1.2730298,-0.28123838,-2.5460596
android.sensor.gyroscope,1538166079776,1835038380859571,1.4722403,-1.280487,-2.4171588
