Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166146653,1835105216368261,5.3103395,5.923255,5.78918
android.sensor.accelerometer,1538166146653,1835105235823628,4.936844,5.9280434,6.0525417
android.sensor.accelerometer,1538166146653,1835105256034463,4.7548847,5.793968,6.0477533
android.sensor.accelerometer,1538166146669,1835105275699726,4.984728,5.851429,5.7748146
android.sensor.accelerometer,1538166146689,1835105295961186,5.463568,6.0046577,5.7748146
android.sensor.accelerometer,1538166146709,1835105315762230,5.3821654,6.0142345,5.947197
android.sensor.accelerometer,1538166146729,1835105335597909,4.9416323,5.9519854,5.7748146
android.sensor.accelerometer,1538166146749,1835105355356452,4.817134,5.9041014,5.5641246
android.sensor.accelerometer,1538166146769,1835105375384423,5.2289367,5.947197,5.6359506
android.sensor.accelerometer,1538166146787,1835105395143435,5.401319,6.0142345,5.8322754
android.sensor.accelerometer,1538166146808,1835105415259635,5.425261,5.889736,5.6982
android.sensor.accelerometer,1538166146827,1835105434905158,5.118803,5.793968,5.645528
android.sensor.accelerometer,1538166146848,1835105455003181,5.0374002,5.827487,5.5737014
android.sensor.accelerometer,1538166146867,1835105474619120,4.999093,5.961562,5.7748146
android.sensor.accelerometer,1538166146887,1835105494701518,5.2959743,6.0525417,5.6790466
android.sensor.accelerometer,1538166146907,1835105514518916,6.0860605,6.751649,5.6407394
android.sensor.accelerometer,1538166146927,1835105534591887,6.9527617,7.5800424,7.3166804
android.sensor.accelerometer,1538166146947,1835105554298035,7.690176,8.159439,10.055647
android.sensor.accelerometer,1538166146969,1835105574531630,8.595184,8.1881695,11.066
android.sensor.accelerometer,1538166146989,1835105594241737,9.423578,8.111555,10.903194
android.sensor.accelerometer,1538166147008,1835105614317884,8.42759,7.690176,12.29662
android.sensor.accelerometer,1538166147029,1835105633655490,7.2544312,6.679823,14.010868
android.sensor.accelerometer,1538166147047,1835105654079503,5.741296,6.397307,14.686033
android.sensor.accelerometer,1538166147068,1835105673850911,4.88896,5.3582234,14.235924
android.sensor.accelerometer,1538166147090,1835105693707059,3.7110126,4.721366,12.631808
android.sensor.accelerometer,1538166147110,1835105713632946,2.4995465,4.098873,10.970232
android.sensor.accelerometer,1538166147128,1835105733681230,1.4508862,3.7110126,9.801862
android.sensor.accelerometer,1538166147149,1835105753400294,0.9528923,3.265691,8.743625
android.sensor.accelerometer,1538166147168,1835105773299775,0.51235914,3.0119057,7.043741
android.sensor.accelerometer,1538166147191,1835105794885038,0.1436521,3.2513258,5.8322754
android.sensor.accelerometer,1538166147211,1835105814948477,0.04309563,3.2800562,4.6686935
android.sensor.accelerometer,1538166147231,1835105834664833,0.29209262,3.2273839,4.060566
android.sensor.accelerometer,1538166147249,1835105854684054,0.2873042,3.122039,3.5434184
android.sensor.accelerometer,1538166147271,1835105874449369,0.5410896,3.4715924,2.5474305
android.sensor.accelerometer,1538166147289,1835105894483069,0.62728083,3.323152,1.8674773
android.sensor.accelerometer,1538166147311,1835105914210727,0.19632454,3.0358477,1.7525556
android.sensor.accelerometer,1538166147329,1835105934268802,-0.090979666,2.8634653,1.5562311
android.sensor.accelerometer,1538166147347,1835105952298387,0.7278373,3.083732,0.58897364
android.sensor.accelerometer,1538166147372,1835105974080264,1.7286136,3.2082303,-0.6847417
android.sensor.accelerometer,1538166147391,1835105993781308,2.4851813,2.8443117,-1.6950948
android.sensor.accelerometer,1538166147411,1835106013842403,2.5330653,2.5570073,-1.7669208
android.sensor.accelerometer,1538166147428,1835106033561572,2.4947581,2.585738,-1.2210429
android.sensor.accelerometer,1538166147449,1835106053606366,3.145981,2.0685902,-1.5275006
android.sensor.accelerometer,1538166147469,1835106073329076,3.572149,1.7381904,-1.5035586
android.sensor.accelerometer,1538166147487,1835106091552672,3.9839516,1.2545617,-1.1731589
android.sensor.accelerometer,1538166147514,1835106113090330,4.256891,0.93852705,-1.6950948
android.sensor.accelerometer,1538166147531,1835106133156321,4.606444,1.757344,-1.8579005
android.sensor.accelerometer,1538166147548,1835106152895386,6.0764837,2.3080103,-1.7525556
android.sensor.accelerometer,1538166147573,1835106172928982,6.7851677,2.0159178,-0.31124622
android.sensor.accelerometer,1538166147591,1835106192660390,7.541735,1.5275006,0.22505496
android.sensor.accelerometer,1538166147610,1835106212742840,8.686164,1.3120226,0.05267244
android.sensor.accelerometer,1538166147630,1835106232442946,9.409213,1.4891934,-1.0055647
android.sensor.accelerometer,1538166147651,1835106252483469,8.801085,1.3790601,0.6847417
android.sensor.accelerometer,1538166147671,1835106272226075,9.11712,1.283292,2.336741
android.sensor.accelerometer,1538166147687,1835106290122535,12.650962,1.1971009,0.7422025
android.sensor.accelerometer,1538166147708,1835106312008423,14.671668,0.62728083,-0.79008657
