Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166289053,1835247619892135,5.645528,5.535394,5.9519854
android.sensor.accelerometer,1538166289053,1835247639764897,5.592855,5.7029886,5.923255
android.sensor.accelerometer,1538166289053,1835247659717660,5.755661,5.6359506,5.6790466
android.sensor.accelerometer,1538166289073,1835247679539068,5.4061074,5.631162,5.765238
android.sensor.accelerometer,1538166289093,1835247699442976,5.243302,5.48751,6.1195793
android.sensor.accelerometer,1538166289112,1835247719343655,5.243302,5.4779334,6.1626754
android.sensor.accelerometer,1538166289132,1835247739195949,5.583278,5.5737014,5.923255
android.sensor.accelerometer,1538166289152,1835247759072409,5.707777,5.616797,5.837064
android.sensor.accelerometer,1538166289175,1835247779093609,5.865794,5.5976434,5.78918
android.sensor.accelerometer,1538166289191,1835247798881892,5.731719,5.5976434,5.7125654
android.sensor.accelerometer,1538166289212,1835247818771530,5.5737014,5.66947,5.544971
android.sensor.accelerometer,1538166289231,1835247838678303,5.5641246,5.57849,5.7125654
android.sensor.accelerometer,1538166289251,1835247858483148,5.5258174,5.5880666,5.66947
android.sensor.accelerometer,1538166289271,1835247878495286,5.6790466,5.521029,5.731719
android.sensor.accelerometer,1538166289291,1835247898309663,5.425261,5.4922986,5.66947
android.sensor.accelerometer,1538166289312,1835247918266904,5.3486466,5.5401826,5.6407394
android.sensor.accelerometer,1538166289331,1835247938188417,5.3199162,5.449203,5.482722
android.sensor.accelerometer,1538166289351,1835247958056283,5.386954,5.439626,5.602432
android.sensor.accelerometer,1538166289371,1835247977957900,5.449203,5.7029886,5.6551046
android.sensor.accelerometer,1538166289391,1835247997859933,5.554548,5.899313,5.497087
android.sensor.accelerometer,1538166289411,1835248017513320,6.0238113,6.042965,5.717354
android.sensor.accelerometer,1538166289432,1835248037533114,6.2823853,6.38773,6.373365
android.sensor.accelerometer,1538166289452,1835248057644626,6.727707,7.0341644,7.809886
android.sensor.accelerometer,1538166289471,1835248077391712,7.9966335,7.8625584,9.184157
android.sensor.accelerometer,1538166289493,1835248097464839,9.744401,8.312668,9.543288
android.sensor.accelerometer,1538166289512,1835248117372914,11.386824,8.652645,10.433931
android.sensor.accelerometer,1538166289532,1835248137291353,11.836933,8.384495,12.215217
android.sensor.accelerometer,1538166289551,1835248157127032,10.323798,7.7332716,12.928689
android.sensor.accelerometer,1538166289572,1835248176590888,8.207323,7.311892,11.899182
android.sensor.accelerometer,1538166289595,1835248198606047,6.2584434,6.943185,10.419566
android.sensor.accelerometer,1538166289613,1835248219093340,4.88896,6.349423,9.14585
android.sensor.accelerometer,1538166289632,1835248238382197,4.630386,6.1100025,8.312668
android.sensor.accelerometer,1538166289654,1835248258269334,5.046977,5.9424086,8.42759
android.sensor.accelerometer,1538166289674,1835248278158763,4.5537715,5.377377,8.030152
android.sensor.accelerometer,1538166289692,1835248298023140,3.074155,4.8841715,7.3166804
android.sensor.accelerometer,1538166289712,1835248318006996,2.0733786,4.5441947,6.7085533
android.sensor.accelerometer,1538166289730,1835248335715592,1.7238252,4.3478703,5.463568
android.sensor.accelerometer,1538166289756,1835248355760021,2.2649148,4.1659107,5.118803
android.sensor.accelerometer,1538166289771,1835248375707002,1.9440918,3.8881836,4.4819455
android.sensor.accelerometer,1538166289789,1835248395604973,1.484405,3.5865142,3.466804
android.sensor.accelerometer,1538166289809,1835248415505964,1.091756,3.3614593,1.7956513
android.sensor.accelerometer,1538166289829,1835248435393935,0.79966336,3.3854012,1.2114661
android.sensor.accelerometer,1538166289850,1835248455278520,1.2785037,3.6487634,1.484405
android.sensor.accelerometer,1538166289869,1835248475084928,1.7860745,3.7349546,-0.05267244
android.sensor.accelerometer,1538166289888,1835248495037222,2.1499932,3.7828386,-1.4891934
android.sensor.accelerometer,1538166289908,1835248514882224,2.0638018,4.189853,-1.9536686
