Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166328793,1835287377588595,0.04793836,0.04900366,0.015979454
android.sensor.gyroscope,1538166328793,1835287397211826,0.04793836,0.059656627,0.011718267
android.sensor.gyroscope,1538166328810,1835287417118286,0.06285252,-0.020240642,0.0042611877
android.sensor.gyroscope,1538166328830,1835287437098861,0.09055024,-0.050068956,0.028763017
android.sensor.gyroscope,1538166328850,1835287457147821,0.092680834,-0.045807768,0.04154658
android.sensor.gyroscope,1538166328876,1835287476825428,0.019175345,0.023436533,0.044742472
android.sensor.gyroscope,1538166328889,1835287496907461,-0.033024207,0.01065297,0.04154658
android.sensor.gyroscope,1538166328912,1835287516771786,-0.059656627,0.026632423,0.033024207
android.sensor.gyroscope,1538166328929,1835287536606111,-0.08096257,0.08415846,0.020240642
android.sensor.gyroscope,1538166328950,1835287556415540,-0.015979454,0.10866029,0.02450183
android.sensor.gyroscope,1538166328970,1835287576416896,0.02769772,0.05646074,0.03089361
android.sensor.gyroscope,1538166328990,1835287596168252,0.0074570784,0.02130594,0.050068956
android.sensor.gyroscope,1538166329012,1835287616407108,-0.019175345,0.0692443,0.050068956
android.sensor.gyroscope,1538166329030,1835287636115808,0.0085223755,0.044742472,0.07563608
android.sensor.gyroscope,1538166329051,1835287656190654,0.01065297,-0.046873067,0.13103153
android.sensor.gyroscope,1538166329071,1835287675890708,-0.06178722,-0.026632423,0.1395539
android.sensor.gyroscope,1538166329091,1835287695950918,-0.1043991,-0.16085984,0.15872924
android.sensor.gyroscope,1538166329110,1835287715669201,-0.07776668,-0.51240784,0.32491556
android.sensor.gyroscope,1538166329130,1835287735752328,-0.064983115,-0.7244019,0.16512102
android.sensor.gyroscope,1538166329150,1835287755291809,-0.22903883,-0.6231987,-0.36965802
android.sensor.gyroscope,1538166329170,1835287775369989,-0.37178862,-0.2823037,-0.92254716
android.sensor.gyroscope,1538166329190,1835287795252699,-0.37604982,0.023436533,-1.2250915
android.sensor.gyroscope,1538166329211,1835287815337805,0.045807768,0.22051647,-1.3209682
android.sensor.gyroscope,1538166329231,1835287835075932,0.8905882,-0.058591332,-1.2762257
android.sensor.gyroscope,1538166329251,1835287855126038,1.521244,-0.29082605,-1.1462595
android.sensor.gyroscope,1538166329272,1835287874391717,1.833376,-0.14594568,-1.0290768
android.sensor.gyroscope,1538166329290,1835287894905573,2.1849241,-0.1043991,-1.0961906
android.sensor.gyroscope,1538166329309,1835287914639742,2.350045,-0.06604841,-1.1153659
android.sensor.gyroscope,1538166329331,1835287936376046,2.3255432,-0.16938221,-1.0322727
android.sensor.gyroscope,1538166329351,1835287956121100,2.4246159,-0.33450323,-0.9289389
android.sensor.gyroscope,1538166329372,1835287976147561,2.6270223,-0.4548818,-0.84478045
