Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538922813101,2591825981631810,5.2528787,5.401319,5.506664
android.sensor.accelerometer,1538922813101,2591826001680979,5.3965306,5.5401826,6.215348
android.sensor.accelerometer,1538922813117,2591826021407804,5.3103395,5.410896,6.1866174
android.sensor.accelerometer,1538922813123,2591826041466035,5.2624555,5.3199162,5.913678
android.sensor.accelerometer,1538922813142,2591826061321453,5.1523223,5.3725886,6.172252
android.sensor.accelerometer,1538922813164,2591826081382341,5.085284,5.4061074,6.325481
android.sensor.accelerometer,1538922813183,2591826101144322,5.2624555,5.48751,5.995081
android.sensor.accelerometer,1538922813203,2591826121210053,5.401319,5.5641246,6.033388
android.sensor.accelerometer,1538922813222,2591826140960836,5.530606,5.57849,6.205771
android.sensor.accelerometer,1538922813241,2591826160793494,5.353435,5.45878,6.205771
android.sensor.accelerometer,1538922813263,2591826180512507,5.161899,5.473145,6.0956373
android.sensor.accelerometer,1538922813281,2591826200585478,5.377377,5.554548,6.05733
android.sensor.accelerometer,1538922813301,2591826220313136,5.401319,5.602432,5.9807158
android.sensor.accelerometer,1538922813323,2591826240560690,5.209783,5.5162406,6.0285997
android.sensor.accelerometer,1538922813343,2591826260376421,5.2289367,5.511452,6.38773
android.sensor.accelerometer,1538922813363,2591826280362256,5.21936,5.4683566,6.3063273
android.sensor.accelerometer,1538922813382,2591826300055123,5.1762643,5.506664,5.9998693
android.sensor.accelerometer,1538922813402,2591826320155385,5.353435,5.4779334,6.0764837
android.sensor.accelerometer,1538922813421,2591826339858877,5.415684,5.473145,6.133945
android.sensor.accelerometer,1538922813442,2591826359919921,5.080496,5.3678,5.995081
android.sensor.accelerometer,1538922813461,2591826379630131,5.0661306,5.4061074,5.81791
android.sensor.accelerometer,1538922813482,2591826399706800,5.377377,5.535394,5.9807158
android.sensor.accelerometer,1538922813501,2591826419626281,5.3199162,5.6359506,5.995081
android.sensor.accelerometer,1538922813523,2591826439542012,5.554548,5.746084,5.7269306
android.sensor.accelerometer,1538922813542,2591826459525816,5.78918,5.875371,5.9663506
android.sensor.accelerometer,1538922813562,2591826479511130,5.616797,5.7843914,6.1004257
android.sensor.accelerometer,1538922813582,2591826499199414,5.377377,5.659893,6.205771
android.sensor.accelerometer,1538922813601,2591826519289624,5.161899,5.616797,5.8801594
android.sensor.accelerometer,1538922813621,2591826538842178,5.4061074,5.6359506,5.8801594
android.sensor.accelerometer,1538922813646,2591826560769680,5.080496,5.559336,6.655881
android.sensor.accelerometer,1538922813665,2591826580494526,4.462792,5.410896,7.201759
android.sensor.accelerometer,1538922813683,2591826598688642,3.8307228,5.023035,8.106767
android.sensor.accelerometer,1538922813706,2591826620292290,3.787627,5.0038815,7.7572136
android.sensor.accelerometer,1538922813725,2591826639989323,3.9839516,5.2241483,7.565677
android.sensor.accelerometer,1538922813745,2591826660063753,3.6727054,5.0757074,7.9248075
android.sensor.accelerometer,1538922813765,2591826680144900,3.5865142,4.9416323,7.953538
android.sensor.accelerometer,1538922813785,2591826699847298,4.745308,4.4340615,6.7564373
android.sensor.accelerometer,1538922813803,2591826719898811,8.389283,3.9983168,2.930503
android.sensor.accelerometer,1538922813822,2591826739570479,13.306973,5.161899,-0.7278373
android.sensor.accelerometer,1538922813842,2591826759672200,22.524649,9.083601,1.2354081
android.sensor.accelerometer,1538922813863,2591826779403921,31.962593,13.010092,-4.582502
android.sensor.accelerometer,1538922813882,2591826799461996,33.097443,13.752295,-16.170439
android.sensor.accelerometer,1538922813902,2591826819184393,34.58664,10.716447,-28.605923
android.sensor.accelerometer,1538922813922,2591826839247208,29.429527,7.943961,-30.698454
android.sensor.accelerometer,1538922813941,2591826858970022,25.024197,1.6424223,-24.751257
android.sensor.accelerometer,1538922813960,2591826878743879,18.464083,-4.903325,-4.0940847
android.sensor.accelerometer,1538922813981,2591826898759714,13.460202,-14.346057,11.15698
android.sensor.accelerometer,1538922814001,2591826918793414,5.9663506,-19.598934,23.487118
android.sensor.accelerometer,1538922814021,2591826938798884,0.7374141,-20.891804,34.533966
android.sensor.accelerometer,1538922814041,2591826958603261,-2.2697031,-14.958972,35.35757
android.sensor.accelerometer,1538922814060,2591826978300816,-7.9248075,-8.384495,34.419044
android.sensor.accelerometer,1538922814080,2591826998358995,-9.078813,-5.0996494,33.80613
android.sensor.accelerometer,1538922814098,2591827016307226,-7.4746976,-2.2505496,22.639572
android.sensor.accelerometer,1538922814120,2591827038107384,-6.612785,0.272939,16.457743
android.sensor.accelerometer,1538922814140,2591827057772646,-6.133945,1.0726024,11.243171
android.sensor.accelerometer,1538922814165,2591827078205305,-5.2289367,0.7038953,9.3182335
android.sensor.accelerometer,1538922814181,2591827097634004,-6.339846,-2.0973208,10.405201
android.sensor.accelerometer,1538922814201,2591827117698902,-10.697293,-8.700529,13.9917145
android.sensor.accelerometer,1538922814222,2591827137430258,-15.514427,-18.86631,19.445705
android.sensor.accelerometer,1538922814242,2591827157484427,-18.042704,-27.964275,21.064186
android.sensor.accelerometer,1538922814261,2591827177213283,-13.029245,-37.555447,26.197355
android.sensor.accelerometer,1538922814281,2591827197264535,-2.920926,-40.84987,28.218061
android.sensor.accelerometer,1538922814301,2591827216994746,6.5696893,-33.576286,15.749059
android.sensor.accelerometer,1538922814319,2591827237055008,28.61071,-14.66688,6.1100025
android.sensor.accelerometer,1538922814339,2591827256761677,38.996758,2.3080103,1.8674773
android.sensor.accelerometer,1538922814358,2591827274797251,32.915485,3.5338416,4.0653543
android.sensor.accelerometer,1538922814380,2591827296544910,30.233978,3.3997664,19.953278
android.sensor.accelerometer,1538922814399,2591827314439287,37.181953,4.098873,19.081787
android.sensor.accelerometer,1538922814419,2591827334635122,40.72058,8.341399,9.380483
android.sensor.accelerometer,1538922814441,2591827357054134,34.63931,11.176133,5.5976434
android.sensor.accelerometer,1538922814459,2591827376104293,26.72408,10.295067,11.674128
android.sensor.accelerometer,1538922814481,2591827396164920,25.287558,10.34774,5.2959743
android.sensor.accelerometer,1538922814499,2591827415884713,20.690691,10.228029,-3.7684734
android.sensor.accelerometer,1538922814518,2591827435958622,16.261417,7.991845,0.38307226
android.sensor.accelerometer,1538922814541,2591827455662165,16.361975,7.2352777,2.6431987
android.sensor.accelerometer,1538922814559,2591827475727948,18.914194,6.8043213,-6.019023
android.sensor.accelerometer,1538922814578,2591827495455607,19.603724,5.195418,-6.2392898
android.sensor.accelerometer,1538922814599,2591827513613004,23.1232,2.6048915,-2.030283
android.sensor.accelerometer,1538922814615,2591827533318527,30.061596,-0.05267244,-5.961562
android.sensor.accelerometer,1538922814635,2591827553117956,36.44454,1.8962077,-16.668432
android.sensor.accelerometer,1538922814655,2591827572919312,41.572918,1.8962077,-26.767176
android.sensor.accelerometer,1538922814675,2591827593174158,42.157104,-2.2601264,-36.956898
android.sensor.accelerometer,1538922814694,2591827612880410,41.132385,-13.321339,-23.712173
android.sensor.accelerometer,1538922814717,2591827632924787,32.96816,-24.147919,13.10586
android.sensor.accelerometer,1538922814740,2591827652760935,15.547946,-31.526848,33.38475
android.sensor.accelerometer,1538922814755,2591827672724583,5.3342814,-35.142094,57.40338
android.sensor.accelerometer,1538922814773,2591827692477866,-5.7029886,-27.667395,65.33776
android.sensor.accelerometer,1538922814793,2591827712516045,-9.279925,-19.019539,34.304123
