Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538922804881,2591817767137397,0.022371236,0.09694202,-0.009587673
android.sensor.gyroscope,1538922804881,2591817787091357,0.11505207,0.12570503,-0.094811425
android.sensor.gyroscope,1538922804896,2591817806968339,0.13422741,0.08415846,-0.14701098
android.sensor.gyroscope,1538922804907,2591817826681830,0.02450183,0.12890093,-0.06285252
android.sensor.gyroscope,1538922804928,2591817846743238,-0.12357444,0.16512102,0.0074570784
android.sensor.gyroscope,1538922804947,2591817866419542,-0.091615535,0.014914157,0.02130594
android.sensor.gyroscope,1538922804967,2591817886706471,-0.0074570784,-0.040481284,0.022371236
android.sensor.gyroscope,1538922804987,2591817906382671,-0.0010652969,0.0085223755,0.046873067
android.sensor.gyroscope,1538922805010,2591817926454288,0.044742472,-0.019175345,0.026632423
android.sensor.gyroscope,1538922805026,2591817946127936,0.04261188,-0.0031958907,0.0074570784
android.sensor.gyroscope,1538922805047,2591817966263719,-0.036220096,0.02450183,-0.0010652969
android.sensor.gyroscope,1538922805067,2591817985985804,-0.063917816,0.04900366,-0.020240642
android.sensor.gyroscope,1538922805087,2591818006070858,-0.050068956,0.040481284,-0.029828314
android.sensor.gyroscope,1538922805107,2591818025751329,0.0031958907,-0.0063917814,0.0
android.sensor.gyroscope,1538922805128,2591818045852894,-0.02769772,0.02450183,0.033024207
android.sensor.gyroscope,1538922805147,2591818065501385,-0.04900366,0.02450183,0.04154658
android.sensor.gyroscope,1538922805167,2591818085598523,-0.023436533,-0.031958908,0.028763017
android.sensor.gyroscope,1538922805187,2591818105332483,-0.014914157,-0.0063917814,0.0
android.sensor.gyroscope,1538922805207,2591818125390402,-0.057526033,0.06178722,0.0042611877
android.sensor.gyroscope,1538922805227,2591818145060872,-0.015979454,0.034089502,0.026632423
android.sensor.gyroscope,1538922805246,2591818165142853,0.08096257,-0.10120321,0.033024207
android.sensor.gyroscope,1538922805266,2591818184911241,0.070309594,-0.175774,0.018110048
android.sensor.gyroscope,1538922805286,2591818204956243,-0.08309316,-0.04793836,0.05219955
android.sensor.gyroscope,1538922805308,2591818224717443,-0.37391922,0.089484945,0.035154797
android.sensor.gyroscope,1538922805327,2591818244511872,-0.19601464,0.0031958907,-0.029828314
android.sensor.gyroscope,1538922805348,2591818264684113,0.005326485,-0.18536167,0.017044751
android.sensor.gyroscope,1538922805368,2591818284597813,0.0021305939,-0.18110047,0.015979454
