Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166399033,1835357604241841,3.715801,6.493075,6.042965
android.sensor.accelerometer,1538166399033,1835357624307833,3.9264908,6.4739213,5.9998693
android.sensor.accelerometer,1538166399044,1835357643830387,3.9217024,6.445191,6.3829417
android.sensor.accelerometer,1538166399066,1835357664256899,3.6727054,6.445191,6.5696893
android.sensor.accelerometer,1538166399077,1835357683970704,3.0789435,6.4547677,6.7133417
android.sensor.accelerometer,1538166399097,1835357703882997,3.107674,6.459556,6.4787097
android.sensor.accelerometer,1538166399116,1835357723544405,3.7541082,6.579266,5.9663506
android.sensor.accelerometer,1538166399136,1835357743598782,4.4101195,6.8761473,6.009446
android.sensor.accelerometer,1538166399157,1835357763335816,4.644751,6.823475,6.4404025
android.sensor.accelerometer,1538166399176,1835357783469099,3.8498764,6.775591,6.421249
android.sensor.accelerometer,1538166399196,1835357803161705,3.5098996,6.5601125,6.2632318
android.sensor.accelerometer,1538166399217,1835357823223634,3.53863,6.540959,6.679823
android.sensor.accelerometer,1538166399236,1835357842942699,3.7349546,6.5936313,6.6846113
android.sensor.accelerometer,1538166399258,1835357863111294,3.892972,6.694188,6.1626754
android.sensor.accelerometer,1538166399279,1835357882810255,4.122815,6.742072,5.90889
android.sensor.accelerometer,1538166399296,1835357902764527,3.9360676,6.5696893,5.9567738
android.sensor.accelerometer,1538166399318,1835357922485519,3.3662477,6.4020953,5.851429
android.sensor.accelerometer,1538166399337,1835357942551979,2.528277,5.7604494,5.6359506
android.sensor.accelerometer,1538166399356,1835357962265992,2.1547816,4.8458643,5.583278
android.sensor.accelerometer,1538166399376,1835357982328442,0.79487497,4.429273,5.6215854
android.sensor.accelerometer,1538166399395,1835358002041829,-0.320823,3.5673606,4.3861775
android.sensor.accelerometer,1538166399416,1835358022104018,-1.5801731,3.169923,3.3901896
android.sensor.accelerometer,1538166399436,1835358041843031,-1.3024458,2.15957,3.2704794
android.sensor.accelerometer,1538166399456,1835358061897043,-0.7326257,1.5993267,3.8019924
android.sensor.accelerometer,1538166399476,1835358081600483,-0.12928689,2.054225,3.7541082
android.sensor.accelerometer,1538166399496,1835358101667047,0.60812724,2.2649148,3.8307228
android.sensor.accelerometer,1538166399515,1835358121381008,1.3694834,2.585738,4.0318356
android.sensor.accelerometer,1538166399536,1835358141427989,1.8531121,2.0829554,4.927267
android.sensor.accelerometer,1538166399556,1835358161102366,2.327164,2.054225,5.2768207
android.sensor.accelerometer,1538166399575,1835358181787941,3.6056678,2.255338,5.5162406
android.sensor.accelerometer,1538166399598,1835358202085391,4.620809,1.8722657,5.070919
android.sensor.accelerometer,1538166399616,1835358222131070,3.6870706,2.1643584,5.0900726
android.sensor.accelerometer,1538166399637,1835358242131228,3.9264908,2.3702598,6.564901
android.sensor.accelerometer,1538166399659,1835358262214407,6.1100025,2.5330653,7.4746976
android.sensor.accelerometer,1538166399676,1835358282211388,7.73806,2.0829554,5.291186
android.sensor.accelerometer,1538166399697,1835358302422223,8.571242,2.7341783,5.995081
android.sensor.accelerometer,1538166399716,1835358322221496,9.509769,3.5625722,8.264784
android.sensor.accelerometer,1538166399738,1835358342229519,10.70687,4.098873,7.9487495
android.sensor.accelerometer,1538166399756,1835358361988219,11.774684,4.6016555,6.8330517
android.sensor.accelerometer,1538166399780,1835358382047856,12.569559,4.8506527,7.374141
android.sensor.accelerometer,1538166399796,1835358401762858,13.666103,4.927267,9.734824
android.sensor.accelerometer,1538166399815,1835358421828069,14.06354,5.60722,10.280702
android.sensor.accelerometer,1538166399839,1835358441546716,15.763424,6.3206925,8.882488
android.sensor.accelerometer,1538166399855,1835358461590521,17.420212,7.0581064,8.101978
android.sensor.accelerometer,1538166399875,1835358481314481,18.037916,7.4268136,8.528147
android.sensor.accelerometer,1538166399896,1835358501377868,17.927782,7.728483,8.724471
android.sensor.accelerometer,1538166399915,1835358521104537,18.143261,7.575254,7.9631147
android.sensor.accelerometer,1538166399935,1835358541152143,17.851168,7.3789296,6.191406
android.sensor.accelerometer,1538166399958,1835358560872926,18.459295,6.4164605,5.4061074
android.sensor.accelerometer,1538166399978,1835358580135324,17.860744,5.841852,5.841852
android.sensor.accelerometer,1538166399995,1835358598660274,16.567875,5.0996494,6.459556
android.sensor.accelerometer,1538166400013,1835358618731578,13.8959465,4.19943,7.560889
android.sensor.accelerometer,1538166400032,1835358638426997,11.530476,3.1411927,5.9424086
android.sensor.accelerometer,1538166400052,1835358658495696,10.5680065,2.7006595,8.2169
android.sensor.accelerometer,1538166400072,1835358678268094,10.7356,2.0446482,10.0987425
android.sensor.accelerometer,1538166400093,1835358698127680,9.337387,1.4891934,10.433931
android.sensor.accelerometer,1538166400111,1835358718054192,7.40766,0.6751649,10.381259
android.sensor.accelerometer,1538166400132,1835358738127684,5.60722,0.24420857,9.595961
android.sensor.accelerometer,1538166400151,1835358757844144,4.1706996,-0.10055647,8.327033
android.sensor.accelerometer,1538166400174,1835358777902062,2.7102363,-0.12928689,5.813122
android.sensor.accelerometer,1538166400193,1835358799212065,0.9720459,0.11492168,5.1475334
android.sensor.accelerometer,1538166400221,1835358817664254,0.44532153,0.0,4.7405195
android.sensor.accelerometer,1538166400239,1835358840413683,-0.01436521,0.08619126,4.156334
android.sensor.accelerometer,1538166400253,1835358859358008,-0.10534488,-0.038307227,2.5139117
android.sensor.accelerometer,1538166400273,1835358879080145,-1.2210429,-0.2777274,1.9297266
android.sensor.accelerometer,1538166400294,1835358899161033,-2.336741,-0.641646,2.3319526
