Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166399033,1835357604272361,0.04793836,-0.091615535,0.063917816
android.sensor.gyroscope,1538166399033,1835357624368874,-0.04261188,0.011718267,0.05113425
android.sensor.gyroscope,1538166399044,1835357643860907,-0.1374233,0.17044751,0.0
android.sensor.gyroscope,1538166399066,1835357664317940,-0.14701098,0.29934844,-0.050068956
android.sensor.gyroscope,1538166399077,1835357684001224,-0.053264845,0.14594568,-0.08522376
android.sensor.gyroscope,1538166399097,1835357703913517,0.09587672,-0.1043991,-0.018110048
android.sensor.gyroscope,1538166399116,1835357723574925,0.16405573,-0.20027582,0.09694202
android.sensor.gyroscope,1538166399136,1835357743629302,0.060721926,-0.01384886,0.10120321
android.sensor.gyroscope,1538166399157,1835357763366336,-0.036220096,0.091615535,0.0010652969
android.sensor.gyroscope,1538166399176,1835357783530140,-0.01384886,0.017044751,-0.12677033
android.sensor.gyroscope,1538166399196,1835357803192225,0.011718267,-0.04154658,-0.1043991
android.sensor.gyroscope,1538166399217,1835357823254154,-0.01384886,-0.0074570784,-0.02769772
android.sensor.gyroscope,1538166399236,1835357842973219,0.06604841,-0.060721926,0.0010652969
android.sensor.gyroscope,1538166399258,1835357863141814,0.14701098,-0.11292148,-0.005326485
android.sensor.gyroscope,1538166399279,1835357882840775,0.094811425,-0.091615535,-0.04261188
android.sensor.gyroscope,1538166399296,1835357902795047,0.009587673,-0.035154797,-0.11824796
android.sensor.gyroscope,1538166399318,1835357922516039,-0.029828314,-0.05219955,-0.19068815
android.sensor.gyroscope,1538166399338,1835357942582499,-0.04261188,-0.034089502,-0.23330003
android.sensor.gyroscope,1538166399356,1835357962296512,-0.03089361,-0.120378554,-0.22584295
android.sensor.gyroscope,1538166399376,1835357982358962,0.054330144,-0.25247538,-0.26738954
android.sensor.gyroscope,1538166399395,1835358002072349,0.18429637,-0.28123838,-0.19175345
android.sensor.gyroscope,1538166399416,1835358022134538,0.14061919,-0.15766394,-0.03728539
android.sensor.gyroscope,1538166399436,1835358041873551,-0.0063917814,-0.25247538,0.29402196
android.sensor.gyroscope,1538166399456,1835358061927563,-0.07350549,-0.5219955,0.5230608
android.sensor.gyroscope,1538166399476,1835358081631003,-0.053264845,-0.6945736,0.63811284
android.sensor.gyroscope,1538166399496,1835358101697567,-0.116117366,-0.46233886,0.7648832
android.sensor.gyroscope,1538166399515,1835358121411528,-0.29828313,0.0692443,1.0258809
android.sensor.gyroscope,1538166399536,1835358141458509,-0.48151422,0.39629045,1.1963284
android.sensor.gyroscope,1538166399556,1835358161132886,-0.44635943,0.15659864,1.3049887
android.sensor.gyroscope,1538166399575,1835358181848982,-0.4239882,-0.14381509,1.4264326
android.sensor.gyroscope,1538166399598,1835358202115911,-0.4548818,-0.06285252,1.5617253
android.sensor.gyroscope,1538166399616,1835358222161590,-0.6072193,0.24608359,1.5553335
android.sensor.gyroscope,1538166399637,1835358242192269,-0.78725445,-0.13209683,1.7161933
android.sensor.gyroscope,1538166399659,1835358262244927,-0.54117084,-0.8319969,1.9867787
android.sensor.gyroscope,1538166399676,1835358282241908,-0.20027582,-0.94704896,2.0997002
android.sensor.gyroscope,1538166399697,1835358302452743,-0.65196174,-0.22477765,2.156161
android.sensor.gyroscope,1538166399716,1835358322252016,-0.9704855,-0.043677174,2.098635
android.sensor.gyroscope,1538166399738,1835358342260039,-0.71374893,-0.2769772,2.0144765
android.sensor.gyroscope,1538166399756,1835358362018739,-0.65196174,-0.4175964,1.8898368
android.sensor.gyroscope,1538166399780,1835358382078376,-1.0844723,0.015979454,1.7779806
android.sensor.gyroscope,1538166399796,1835358401793378,-1.3891472,0.3494174,1.6128596
android.sensor.gyroscope,1538166399815,1835358421858589,-1.0887334,0.063917816,1.3444047
android.sensor.gyroscope,1538166399839,1835358441577236,-0.7244019,-0.13635801,1.1100394
