Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166369653,1835328238685114,4.6112323,7.5082164,4.6686935
android.sensor.accelerometer,1538166369664,1835328258524022,4.429273,7.61835,4.132392
android.sensor.accelerometer,1538166369673,1835328278193555,4.390966,7.7667904,3.8307228
android.sensor.accelerometer,1538166369692,1835328298349964,4.654328,7.680599,4.0701427
android.sensor.accelerometer,1538166369711,1835328318126580,4.4915223,7.536947,4.4196963
android.sensor.accelerometer,1538166369730,1835328338067520,4.050989,7.422025,4.783615
android.sensor.accelerometer,1538166369750,1835328357974188,3.9073372,7.517793,4.5394063
android.sensor.accelerometer,1538166369770,1835328377891586,4.1946416,7.551312,4.261679
android.sensor.accelerometer,1538166369791,1835328397745234,4.3526587,7.6375036,4.1802764
android.sensor.accelerometer,1538166369811,1835328417413986,4.209007,7.5848308,4.4196963
android.sensor.accelerometer,1538166369831,1835328437291696,4.19943,7.489063,4.453215
android.sensor.accelerometer,1538166369850,1835328457271438,3.9791632,7.6853876,4.4005427
android.sensor.accelerometer,1538166369871,1835328477154565,4.31914,7.843405,4.4436383
android.sensor.accelerometer,1538166369891,1835328497001702,4.5777135,8.054094,4.4436383
android.sensor.accelerometer,1538166369911,1835328517005402,5.2863975,8.250419,4.1946416
android.sensor.accelerometer,1538166369931,1835328536953008,5.1523223,8.389283,4.2425256
android.sensor.accelerometer,1538166369951,1835328556851552,3.6774938,8.0684595,4.7261543
android.sensor.accelerometer,1538166369971,1835328576739002,2.8874073,7.1873937,4.793192
android.sensor.accelerometer,1538166369992,1835328596672233,0.7230489,4.381389,4.4436383
android.sensor.accelerometer,1538166370010,1835328616533381,-3.371036,-2.825158,4.879383
android.sensor.accelerometer,1538166370030,1835328636414008,-13.120225,-11.046846,4.050989
android.sensor.accelerometer,1538166370051,1835328656499218,-19.895817,-17.18558,0.39264908
android.sensor.accelerometer,1538166370072,1835328676423439,-20.465635,-18.650831,-2.8682537
android.sensor.accelerometer,1538166370092,1835328696102295,-11.563994,-15.68681,-1.8962077
android.sensor.accelerometer,1538166370110,1835328716199328,-2.6623523,-9.332599,3.1268275
android.sensor.accelerometer,1538166370130,1835328736098341,10.184934,-3.347094,6.7564373
android.sensor.accelerometer,1538166370151,1835328755984957,19.10573,4.1611223,4.9416323
android.sensor.accelerometer,1538166370170,1835328775446313,23.324312,4.663905,3.4284968
android.sensor.accelerometer,1538166370190,1835328795740638,22.007502,4.0462008,7.599196
android.sensor.accelerometer,1538166370213,1835328817424703,23.195026,4.936844,12.559982
android.sensor.accelerometer,1538166370232,1835328837206892,27.954699,6.564901,11.559206
android.sensor.accelerometer,1538166370251,1835328857146009,29.501354,8.441956,8.552089
android.sensor.accelerometer,1538166370274,1835328877378459,26.355371,10.486604,9.232041
android.sensor.accelerometer,1538166370292,1835328896872263,29.458258,11.477803,8.571242
android.sensor.accelerometer,1538166370312,1835328916766379,35.261803,13.43626,6.7612257
android.sensor.accelerometer,1538166370333,1835328936662736,41.02225,15.74427,6.1530986
android.sensor.accelerometer,1538166370351,1835328956570602,43.57447,15.203181,2.1308396
android.sensor.accelerometer,1538166370373,1835328976446750,39.930496,15.332468,-2.0111294
android.sensor.accelerometer,1538166370393,1835328996348210,38.86747,7.560889,-0.31603462
android.sensor.accelerometer,1538166370413,1835329016223316,30.281862,-0.7278373,7.61835
android.sensor.accelerometer,1538166370432,1835329036906235,15.337256,-9.040505,16.950949
android.sensor.accelerometer,1538166370452,1835329055996966,3.6583402,-11.803414,22.007502
android.sensor.accelerometer,1538166370473,1835329075901031,0.076614454,-11.544841,25.70415
android.sensor.accelerometer,1538166370492,1835329095777439,-2.1547816,-12.373235,26.341007
android.sensor.accelerometer,1538166370512,1835329115673951,-5.7604494,-13.934254,20.853497
android.sensor.accelerometer,1538166370533,1835329135452547,-11.57836,-13.709199,11.286267
android.sensor.accelerometer,1538166370552,1835329155042132,-13.024457,-10.67814,6.588843
android.sensor.accelerometer,1538166370571,1835329175325207,-9.9790325,-8.504205,6.7612257
android.sensor.accelerometer,1538166370591,1835329195135418,-10.443508,-9.461885,2.030283
android.sensor.accelerometer,1538166370612,1835329215109013,-13.857639,-14.4849205,1.5993267
android.sensor.accelerometer,1538166370631,1835329235019953,-18.042704,-19.52232,5.4204726
android.sensor.accelerometer,1538166370651,1835329254876361,-21.006725,-25.139118,2.6623523
android.sensor.accelerometer,1538166370669,1835329274765998,-22.9173,-27.466282,-7.249643
android.sensor.accelerometer,1538166370691,1835329294654386,-14.259866,-28.476635,-8.336611
android.sensor.accelerometer,1538166370710,1835329314545690,-0.7613561,-25.287558,-0.1340753
android.sensor.accelerometer,1538166370730,1835329334440015,9.940725,-19.206285,9.050082
android.sensor.accelerometer,1538166370751,1835329354318975,29.965828,-11.587936,5.1140146
android.sensor.accelerometer,1538166370771,1835329374209810,51.81531,-3.2130187,4.414908
android.sensor.accelerometer,1538166370791,1835329394626323,54.640472,6.766014,12.344504
android.sensor.accelerometer,1538166370811,1835329414000335,46.05965,8.767567,19.31642
android.sensor.accelerometer,1538166370831,1835329433636431,34.112587,10.649409,19.211075
android.sensor.accelerometer,1538166370851,1835329453777579,28.768728,12.014104,9.165004
android.sensor.accelerometer,1538166370870,1835329473653674,27.676971,11.128249,2.7820623
android.sensor.accelerometer,1538166370891,1835329493749979,22.759281,8.700529,6.2584434
android.sensor.accelerometer,1538166370909,1835329513437689,15.399506,5.185841,8.264784
android.sensor.accelerometer,1538166370927,1835329533315972,11.899182,2.5139117,7.417237
android.sensor.accelerometer,1538166370952,1835329553199620,11.075577,1.4030021,7.1107793
android.sensor.accelerometer,1538166370966,1835329571218424,11.587936,0.78529817,7.311892
android.sensor.accelerometer,1538166370992,1835329593000145,10.955867,-0.51714754,5.109226
android.sensor.accelerometer,1538166371008,1835329612875563,7.374141,-0.78050977,4.185065
android.sensor.accelerometer,1538166371030,1835329632758586,6.3542113,-1.1827357,3.7588966
android.sensor.accelerometer,1538166371049,1835329652665411,5.7269306,-1.412579,5.449203
android.sensor.accelerometer,1538166371071,1835329672537809,7.795521,-1.6998832,6.7372837
android.sensor.accelerometer,1538166371090,1835329692422967,7.7332716,-1.6089035,6.105214
android.sensor.accelerometer,1538166371110,1835329712323542,6.3446345,-1.5275006,5.6407394
android.sensor.accelerometer,1538166371130,1835329732203075,6.066907,-1.0486604,5.386954
android.sensor.accelerometer,1538166371149,1835329752094119,7.225701,-0.36391866,5.4539914
android.sensor.accelerometer,1538166371166,1835329771982871,7.9248075,-0.7517793,5.631162
android.sensor.accelerometer,1538166371189,1835329790730737,7.062895,-1.3263878,5.947197
android.sensor.accelerometer,1538166371204,1835329809734437,6.4020953,-0.842759,6.8569937
android.sensor.accelerometer,1538166371229,1835329831658293,6.4020953,-0.6368576,6.847417
android.sensor.accelerometer,1538166371249,1835329851564650,6.8905125,-0.6943185,6.411672
android.sensor.accelerometer,1538166371267,1835329871435172,7.321469,-0.8331822,6.6367273
android.sensor.accelerometer,1538166371289,1835329891325018,7.393295,-0.7374141,7.1873937
android.sensor.accelerometer,1538166371307,1835329911220801,7.3885064,-0.79966336,7.5465236
android.sensor.accelerometer,1538166371325,1835329931118460,7.216124,-1.2066777,7.3166804
android.sensor.accelerometer,1538166371349,1835329950999347,6.090849,-0.3878607,9.998186
android.sensor.accelerometer,1538166371365,1835329970865287,4.7548847,-0.46926352,6.291962
android.sensor.accelerometer,1538166371382,1835329988845028,6.4739213,-0.33039984,7.3789296
android.sensor.accelerometer,1538166371402,1835330008837374,7.2592196,-0.770933,9.308656
