Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538165899813,1834858402100393,1.4556746,2.791639,9.65821
android.sensor.accelerometer,1538165899824,1834858422087270,1.3215994,2.7246015,9.624691
android.sensor.accelerometer,1538165899835,1834858441887168,1.4700398,2.681506,9.581595
android.sensor.accelerometer,1538165899855,1834858461771545,1.5705963,2.6767175,9.734824
android.sensor.accelerometer,1538165899874,1834858481649515,1.5993267,2.6623523,9.720459
android.sensor.accelerometer,1538165899894,1834858501550663,1.5227122,2.7150247,9.56723
android.sensor.accelerometer,1538165899914,1834858521429884,1.532289,2.705448,9.524135
android.sensor.accelerometer,1538165899937,1834858541317490,1.5275006,2.719813,9.323022
android.sensor.accelerometer,1538165899955,1834858561211190,1.6089035,2.801216,9.375694
android.sensor.accelerometer,1538165899974,1834858581098015,1.4508862,2.6479871,9.346964
android.sensor.accelerometer,1538165899994,1834858600988642,1.3982137,2.6240451,9.054871
android.sensor.accelerometer,1538165900017,1834858620883592,1.757344,2.5905263,9.074024
android.sensor.accelerometer,1538165900035,1834858640998594,2.5953147,2.4899697,9.179369
android.sensor.accelerometer,1538165900056,1834858660880158,4.4005427,2.1499932,9.02614
android.sensor.accelerometer,1538165900077,1834858680766410,5.9519854,2.0925324,8.887277
android.sensor.accelerometer,1538165900095,1834858700627714,5.8562174,1.6232687,8.576031
android.sensor.accelerometer,1538165900115,1834858720393133,6.0046577,1.0295067,8.810662
android.sensor.accelerometer,1538165900137,1834858740515166,7.1730285,0.44532153,8.341399
android.sensor.accelerometer,1538165900154,1834858760398762,8.255207,-0.2633622,7.311892
android.sensor.accelerometer,1538165900174,1834858780246837,9.179369,-0.7230489,6.3206925
android.sensor.accelerometer,1538165900193,1834858800117776,8.983045,-1.5035586,5.281609
android.sensor.accelerometer,1538165900213,1834858820190382,8.37013,-1.7669208,4.185065
android.sensor.accelerometer,1538165900234,1834858840141270,8.470686,-1.6759412,4.865018
android.sensor.accelerometer,1538165900254,1834858859805438,8.7292595,-1.9153614,5.267244
android.sensor.accelerometer,1538165900274,1834858879906326,8.887277,-2.480393,5.8466406
android.sensor.accelerometer,1538165900294,1834858899795130,9.452309,-2.7964275,7.16824
android.sensor.accelerometer,1538165900314,1834858919695653,8.552089,-2.777274,7.493851
android.sensor.accelerometer,1538165900334,1834858939402582,7.541735,-2.5761611,7.053318
android.sensor.accelerometer,1538165900354,1834858959399511,6.981492,-2.743755,5.741296
android.sensor.accelerometer,1538165900376,1834858981065867,7.053318,-3.1316159,5.6407394
android.sensor.accelerometer,1538165900396,1834859000932119,8.403648,-3.667917,5.923255
android.sensor.accelerometer,1538165900414,1834859020818840,10.67814,-3.7541082,5.2863975
android.sensor.accelerometer,1538165900435,1834859040733113,12.813767,-3.9983168,5.827487
android.sensor.accelerometer,1538165900458,1834859060513063,14.240712,-4.43885,8.566454
android.sensor.accelerometer,1538165900474,1834859080538950,13.043611,-4.5681367,9.279925
android.sensor.accelerometer,1538165900494,1834859100410567,11.731588,-4.5872903,9.054871
android.sensor.accelerometer,1538165900514,1834859120298017,12.5264635,-4.548983,8.169016
android.sensor.accelerometer,1538165900534,1834859140197654,11.69807,-4.0318356,6.5744777
android.sensor.accelerometer,1538165900548,1834859151390936,11.224017,-3.9935284,5.291186
android.sensor.accelerometer,1538165900567,1834859169961251,11.683704,-4.5298295,3.4955344
android.sensor.accelerometer,1538165900587,1834859190074221,13.034034,-5.00867,5.1810527
android.sensor.accelerometer,1538165900607,1834859209791880,12.689269,-4.8745947,6.483498
android.sensor.accelerometer,1538165900624,1834859229885371,12.612655,-4.2999864,6.0285997
android.sensor.accelerometer,1538165900648,1834859249570581,12.363658,-4.390966,3.6487634
android.sensor.accelerometer,1538165900667,1834859269630479,13.057976,-4.3957543,3.7972038
android.sensor.accelerometer,1538165900686,1834859289349023,15.490485,-3.763685,5.0613422
android.sensor.accelerometer,1538165900701,1834859307512202,15.605407,-3.2848446,4.31914
android.sensor.accelerometer,1538165900725,1834859329125902,16.108189,-3.0310593,4.256891
android.sensor.accelerometer,1538165900741,1834859347325956,14.810532,-1.7429788,5.2863975
android.sensor.accelerometer,1538165900764,1834859368903198,12.919112,-1.0390835,4.8841715
android.sensor.accelerometer,1538165900780,1834859386854606,10.151415,-0.80924016,4.9416323
android.sensor.accelerometer,1538165900801,1834859407537785,7.991845,-1.2785037,6.196194
android.sensor.accelerometer,1538165900820,1834859426842630,5.530606,-1.2785037,7.422025
android.sensor.accelerometer,1538165900839,1834859446460549,5.4061074,-1.0582372,7.297527
android.sensor.accelerometer,1538165900860,1834859466513728,6.5361705,-0.35913026,6.823475
android.sensor.accelerometer,1538165900882,1834859486061595,7.1586633,-0.21068975,6.5026517
android.sensor.accelerometer,1538165900899,1834859506416024,6.4404025,-1.3503298,7.029376
android.sensor.accelerometer,1538165900919,1834859526081338,4.003105,-3.8546648,7.3549876
android.sensor.accelerometer,1538165900940,1834859546147226,2.7629087,-6.205771,8.925584
android.sensor.accelerometer,1538165900959,1834859565864832,4.309563,-8.279149,10.7116585
android.sensor.accelerometer,1538165900984,1834859585937542,6.0956373,-9.581595,11.750742
android.sensor.accelerometer,1538165901005,1834859606193430,7.9822683,-9.792285,11.133038
android.sensor.accelerometer,1538165901023,1834859626269421,9.931149,-10.079589,11.473015
android.sensor.accelerometer,1538165901045,1834859646401038,11.745954,-10.864887,13.599066
android.sensor.accelerometer,1538165901061,1834859665585883,15.648502,-12.689269,15.7825775
android.sensor.accelerometer,1538165901081,1834859685250417,21.839909,-16.850391,18.248606
android.sensor.accelerometer,1538165901099,1834859705350939,28.395231,-21.509508,16.452953
android.sensor.accelerometer,1538165901121,1834859726903546,36.808456,-22.816742,11.779472
android.sensor.accelerometer,1538165901143,1834859747006516,40.869022,-24.837448,6.0381765
android.sensor.accelerometer,1538165901161,1834859764800737,46.624683,-26.585217,1.2737153
android.sensor.accelerometer,1538165901181,1834859784837145,56.17276,-26.341007,-0.9624691
android.sensor.accelerometer,1538165901198,1834859804627251,55.35873,-27.303476,-5.2049947
android.sensor.accelerometer,1538165901220,1834859824610899,44.98705,-29.879637,-8.169016
android.sensor.accelerometer,1538165901240,1834859844241057,39.906555,-28.170177,-9.44752
android.sensor.accelerometer,1538165901261,1834859864423924,40.825928,-25.187002,-12.315774
android.sensor.accelerometer,1538165901280,1834859884122676,35.199554,-26.154259,-9.65821
android.sensor.accelerometer,1538165901300,1834859904191532,27.715279,-23.798365,-13.397953
android.sensor.accelerometer,1538165901319,1834859923885909,23.75527,-17.669209,-16.51999
android.sensor.accelerometer,1538165901341,1834859943986744,20.748152,-15.045163,-15.931018
android.sensor.accelerometer,1538165901359,1834859963750548,15.418659,-11.9853735,-12.780249
android.sensor.accelerometer,1538165901381,1834859983838988,10.577583,-8.714894,-8.815451
android.sensor.accelerometer,1538165901399,1834860003582167,8.882488,-6.3925185,-3.0789435
android.sensor.accelerometer,1538165901419,1834860023794773,9.035717,-4.0078936,-0.61770403
android.sensor.accelerometer,1538165901441,1834860043236077,6.8282633,-3.1411927,-2.4899697
android.sensor.accelerometer,1538165901458,1834860063301496,5.9902925,-1.9728222,-1.1444284
android.sensor.accelerometer,1538165901480,1834860082997696,5.932832,-0.7278373,1.3790601
android.sensor.accelerometer,1538165901501,1834860103057125,6.315904,0.79008657,1.4269443
android.sensor.accelerometer,1538165901518,1834860122909575,6.0525417,1.3694834,1.2641385
android.sensor.accelerometer,1538165901539,1834860142890410,6.033388,2.1643584,3.5769374
android.sensor.accelerometer,1538165901559,1834860162646662,5.81791,2.1930888,5.434838
android.sensor.accelerometer,1538165901578,1834860182698331,4.8027687,2.9640217,6.799533
android.sensor.accelerometer,1538165901598,1834860202412603,5.142745,2.542642,6.090849
android.sensor.accelerometer,1538165901618,1834860222418230,5.329493,3.016694,6.991069
android.sensor.accelerometer,1538165901638,1834860242215628,4.7261543,2.930503,8.39886
android.sensor.accelerometer,1538165901657,1834860262258651,4.6016555,3.323152,7.9343843
android.sensor.accelerometer,1538165901678,1834860282173497,5.779603,3.596091,7.16824
android.sensor.accelerometer,1538165901698,1834860302173811,5.961562,3.7349546,8.0924015
android.sensor.accelerometer,1538165901716,1834860322172980,5.070919,3.5673606,8.6095495
android.sensor.accelerometer,1538165901739,1834860342166472,3.9217024,3.169923,8.475474
android.sensor.accelerometer,1538165901761,1834860362204963,3.0597897,3.1986535,8.978256
android.sensor.accelerometer,1538165901776,1834860382212986,3.667917,3.9791632,9.308656
