Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538165876952,1834835529779520,-0.4825795,-0.47086126,-1.2080467
android.sensor.gyroscope,1538165876952,1834835549260407,-0.6945736,-0.43570644,-1.2954011
android.sensor.gyroscope,1538165876965,1834835569345097,-0.50814664,-0.8341275,-1.2932705
android.sensor.gyroscope,1538165876982,1834835589191974,-0.122509144,-1.7588053,-1.3316212
android.sensor.gyroscope,1538165877003,1834835609266507,-0.05646074,-2.486403,-1.3380129
android.sensor.gyroscope,1538165877021,1834835629023071,-0.5496932,-2.683483,-1.4211061
android.sensor.gyroscope,1538165877041,1834835648864063,-1.6139249,-1.9761258,-1.8078089
android.sensor.gyroscope,1538165877063,1834835668732554,-2.2541683,-1.4008654,-2.0517619
android.sensor.gyroscope,1538165877081,1834835688833598,-2.138051,-1.3262947,-2.138051
android.sensor.gyroscope,1538165877101,1834835708511933,-1.8482902,-1.7896988,-2.0027583
android.sensor.gyroscope,1538165877122,1834835728654019,-1.8972938,-2.8315592,-2.116745
android.sensor.gyroscope,1538165877141,1834835748291833,-2.4469872,-2.9125218,-2.4469872
android.sensor.gyroscope,1538165877161,1834835768201679,-2.6216958,-2.3628285,-2.4246159
android.sensor.gyroscope,1538165877180,1834835788013452,-2.1764016,-2.3404574,-2.3063679
android.sensor.gyroscope,1538165877200,1834835808194964,-1.6735815,-2.741009,-2.4139628
android.sensor.gyroscope,1538165877220,1834835827918820,-2.0869167,-3.2171967,-2.4033098
android.sensor.gyroscope,1538165877244,1834835847918822,-2.4192894,-3.4813905,-2.256299
android.sensor.gyroscope,1538165877262,1834835867617678,-2.4416606,-3.598573,-2.0581536
android.sensor.gyroscope,1538165877280,1834835887730649,-2.5386026,-3.8371994,-1.822723
android.sensor.gyroscope,1538165877300,1834835907254714,-2.8102534,-4.1035237,-1.862139
android.sensor.gyroscope,1538165877320,1834835927458986,-3.278984,-4.445484,-1.8845103
android.sensor.gyroscope,1538165877340,1834835947230186,-3.5069575,-4.774661,-1.7715888
android.sensor.gyroscope,1538165877363,1834835967232793,-3.3354447,-4.9994383,-1.4807627
android.sensor.gyroscope,1538165877380,1834835987138472,-3.3407712,-4.793836,-1.3625147
android.sensor.gyroscope,1538165877400,1834836007134776,-3.5889854,-4.7863793,-1.3188376
android.sensor.gyroscope,1538165877420,1834836026837382,-3.5250676,-4.815142,-1.209112
android.sensor.gyroscope,1538165877441,1834836046938530,-3.537851,-4.393285,-1.0652969
android.sensor.gyroscope,1538165877463,1834836066501240,-3.7871306,-3.842526,-0.9779426
android.sensor.gyroscope,1538165877488,1834836088783742,-3.7296045,-3.5772672,-0.96409374
android.sensor.gyroscope,1538165877504,1834836108511557,-3.4739332,-3.4291909,-1.1185617
android.sensor.gyroscope,1538165877525,1834836128477652,-3.1916296,-2.7868168,-1.1899366
android.sensor.gyroscope,1538165877545,1834836148088123,-3.265135,-2.0869167,-1.2570504
android.sensor.gyroscope,1538165877561,1834836166341458,-3.3013551,-1.8983592,-1.3689066
android.sensor.gyroscope,1538165877584,1834836186412554,-2.9934845,-1.4754362,-1.4179102
android.sensor.gyroscope,1538165877606,1834836206887764,-2.5993245,-0.7968421,-1.392343
android.sensor.gyroscope,1538165877624,1834836226253339,-1.9782565,-0.7595567,-1.1558472
android.sensor.gyroscope,1538165877641,1834836245993549,-1.1238883,-1.6522756,-0.839454
android.sensor.gyroscope,1538165877662,1834836265291676,-0.8053645,-1.5265706,-0.89271885
android.sensor.gyroscope,1538165877680,1834836285594491,-0.9694202,-0.74890375,-0.99392205
android.sensor.gyroscope,1538165877708,1834836305052930,-0.96302843,-0.80323386,-0.8064298
android.sensor.gyroscope,1538165877732,1834836326757985,-0.6977695,-0.8650211,-0.55075854
android.sensor.gyroscope,1538165877738,1834836345048455,-0.7467731,-0.54223615,-0.54649734
android.sensor.gyroscope,1538165877765,1834836366833614,-0.56780326,-0.116117366,-0.57952154
android.sensor.gyroscope,1538165877779,1834836384852470,-0.116117366,-0.25780186,-0.3877681
android.sensor.gyroscope,1538165877799,1834836404669711,0.11292148,-0.46127358,-0.1054644
android.sensor.gyroscope,1538165877821,1834836425161432,0.23543063,-0.089484945,0.20347172
android.sensor.gyroscope,1538165877845,1834836446596851,0.4847101,0.2791078,0.6295905
android.sensor.gyroscope,1538165877858,1834836464462842,0.7957768,0.50814664,0.95876724
android.sensor.gyroscope,1538165877882,1834836485971282,1.2964664,0.84478045,1.1270841
android.sensor.gyroscope,1538165877898,1834836504268784,1.9143386,1.0812764,1.2719646
android.sensor.gyroscope,1538165877921,1834836525930140,2.1050267,1.5073951,1.9857135
android.sensor.gyroscope,1538165877941,1834836543774621,2.504513,2.486403,2.256299
android.sensor.gyroscope,1538165877958,1834836563782644,3.077643,2.7399437,2.0325866
android.sensor.gyroscope,1538165877976,1834836583666135,3.268331,3.024378,1.8919674
android.sensor.gyroscope,1538165877995,1834836603618793,3.7477145,4.495553,2.6770911
android.sensor.gyroscope,1538165878017,1834836623278222,5.3307457,5.2891994,3.003072
android.sensor.gyroscope,1538165878040,1834836643573589,6.941475,4.871603,2.8464735
android.sensor.gyroscope,1538165878056,1834836663115518,6.941475,5.271089,2.3372614
android.sensor.gyroscope,1538165878077,1834836683156458,5.624768,7.578522,2.7825556
android.sensor.gyroscope,1538165878096,1834836702871980,6.3076234,8.34234,3.9916675
android.sensor.gyroscope,1538165878119,1834836722902451,8.1228895,8.156979,4.5903645
android.sensor.gyroscope,1538165878136,1834836742670943,9.697398,7.124706,4.136548
android.sensor.gyroscope,1538165878156,1834836762682559,9.966918,6.329994,3.2427638
android.sensor.gyroscope,1538165878176,1834836782599593,8.784438,5.205041,2.507709
android.sensor.gyroscope,1538165878198,1834836802467303,7.5657387,4.5946255,1.8205925
android.sensor.gyroscope,1538165878216,1834836822174440,5.9209204,4.146136,1.3891472
android.sensor.gyroscope,1538165878235,1834836842236265,4.3346934,3.9629047,0.60402334
android.sensor.gyroscope,1538165878255,1834836861960850,2.966852,4.118438,0.2769772
android.sensor.gyroscope,1538165878275,1834836882012936,1.7321728,4.1493316,0.21732058
android.sensor.gyroscope,1538165878294,1834836901784136,1.2282873,3.918162,0.42292288
android.sensor.gyroscope,1538165878316,1834836921798565,1.7066057,3.0488799,0.73612016
android.sensor.gyroscope,1538165878335,1834836941507004,1.8536167,1.5489417,1.0482522
android.sensor.gyroscope,1538165878355,1834836961567787,1.4083226,0.868217,1.1707613
android.sensor.gyroscope,1538165878374,1834836981298883,0.50068957,1.316707,1.1185617
android.sensor.gyroscope,1538165878394,1834837001363885,0.04900366,1.7896988,1.0003139
android.sensor.gyroscope,1538165878417,1834837022177533,0.2865649,1.1558472,0.8596946
android.sensor.gyroscope,1538165878437,1834837042214410,0.32491556,0.35474387,0.6615494
android.sensor.gyroscope,1538165878457,1834837062202745,-0.23969181,0.653027,0.37072334
android.sensor.gyroscope,1538165878477,1834837082200299,-0.7723403,0.9822038,0.13103153
android.sensor.gyroscope,1538165878496,1834837102199416,-0.87567407,0.6988348,0.08202787
android.sensor.gyroscope,1538165878517,1834837122198897,-0.6839206,0.4133352,0.25460598
android.sensor.gyroscope,1538165878537,1834837142208170,-0.50708133,0.16831692,0.33663383
android.sensor.gyroscope,1538165878557,1834837162203068,-0.60508865,0.059656627,0.3100014
android.sensor.gyroscope,1538165878576,1834837182238122,-0.8064298,0.50068957,0.3483521
android.sensor.gyroscope,1538165878597,1834837202212759,-0.8383887,0.82453984,0.50814664
android.sensor.gyroscope,1538165878617,1834837222179793,-0.53690964,0.18642697,0.5134731
android.sensor.gyroscope,1538165878636,1834837242295472,-0.06285252,-0.5315832,0.29828313
android.sensor.gyroscope,1538165878656,1834837261919380,0.15020686,-0.7084225,0.1736434
android.sensor.gyroscope,1538165878675,1834837279845632,0.12783563,0.29828313,-0.0042611877
android.sensor.gyroscope,1538165878694,1834837299960269,0.1747087,2.2158177,-0.14381509
android.sensor.gyroscope,1538165878717,1834837321782094,0.054330144,2.1252675,0.72759783
android.sensor.gyroscope,1538165878732,1834837339528242,-1.0237503,0.07457078,1.004575
